"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","503262","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","L. B. Smith","R. Reitz","6096","1958","01","10","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2656","-26.1925","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503262","NY00503262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503261","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"L. B. Smith","8512","1956","12","09","South America","Brazil","Santa Catarina","Campo Alegre","Above general tree line. Slopes of Morro Iquererim","-49.2656","-26.1925","1300","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503261","NY00503261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777724","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","O. A. Guimarães","E. P. dos Santos","354","1997","10","15","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777724","NY00777724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:10:29-03","UNESP-IBB","BOTU","29857","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Machado, S.R.","36","2002","12","12",NA,"Brasil","São Paulo","Pratânia",NA,"-49.5725","-23.910278",NA,NA,NA,"Erva até 20 cm de altura, flor amarela","BOTU029857",NA,"49°34'21w","23°54'37s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:35-03","EAO","IAN","35048","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Schenck","1847",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN035048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426075","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Reitz R; Klein RM",NA,"1960","12","26","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina. Brasil. Serra da Boa Vista, São José. Campo. Erva.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426075","NL-L1426075",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426076","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Hatschbach GG",NA,"1959","11","22","Southern America","Brazil",NA,NA,"Paraná(Brasil). Mun. Guaratuba. Serra de Araçtuba.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426076","NL-L1426076",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426077","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Hatschbach GG",NA,"1959","11","11","Southern America","Brazil",NA,NA,"Est. Parana(Brasil). Mun. Bocaiva do Sul. Campina dos Tavares.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426077 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426077","NL-L1426077",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:39:17-02","BGBM","B","B 10 0242247","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"H. Schenck","1347","1886","11","26","Middle and South America","Brazil",NA,NA,"Zwischen km 50 und Campo Allegre, an der Serra Strasse Joinville - S. Bento, prov. Sa. Catharina.",NA,NA,NA,NA,NA,"Habitat: auf sumpfigen Wiesen. Herb. Brasil no. 1347 <a href=http://herbarium.bgbm.org/object/B100242247 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242247","B100242247",NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 08:08:28-03","FPS","FPS","355","MachineObservation","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Schwirkowski, P.","582","2014","11","08",NA,"Brasil","Santa Catarina","Campo Alegre","Rio Vermelho. Propriedade de Elizabete Aebi Eibs","-49.2572","-26.247687",NA,NA,NA,NA,"FPS00355","FPS00355_v01 FPS00355_v02","-49.2572","-26.247687",NA,NA,"2018","07","29",NA,NA,NA,NA,NA
