"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","recordNumber","locality","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-08 15:16:31-03","UNESC","CRI","14175","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","Robson dos Santos & Vanilde Citadini","2001","10","08","Robson dos Santos & Vanilde Citadini","2001","10","08","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habitat: Terrestre Habito: Arbórea","CRI012827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:38-03","UNESC","CRI","7872","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","Vanilde Citadini- Zanette","2008","04","20","Marciel Bonfi Fernandes","2007","10","31","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI004037","30","30","CRI004037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:38-03","UNESC","CRI","5491","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","Vanilde Citadini- Zanette","1997","05","03","Vanilde Citadini Zanette; V. Boff","1997","04","03","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","Habitat: restinga","CRI001660","4","4","CRI001660","2425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:38-03","UNESC","CRI","312","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","Vanilde Citadini- Zanette",NA,NA,NA,"M. Zapellini; J. Magagnim","1997","10","04","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","Habitat: mata ciliar Habito: árvore","CRI004036","30","30","CRI004036",NA,"Morro Chato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402498","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","A. G. M. W. A. Robyns",NA,NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro","Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402498",NA,NA,"NY00402498_01","20189","On Corcovado, Rio de Janeiro, Brazil","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","133608","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum majus","A.Robyns","F. H. E. A. W. Robyns",NA,NA,NA,"Y. E. J. Mexia","1930","05","17","Brazil","Minas Gerais",NA,"-42.860644","-20.766686",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=377247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133608","675","675","NY00133608_01","4711","Agricultural College lands; Chacha Valley, near Chacha House.","Magnoliophyta","Malvales","South America","sheet","majus","isotype",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","778777","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","L. Rossi",NA,NA,NA,"W. Hoehne","1948","06","22","Brazil","São Paulo",NA,"-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778777",NA,NA,NA,"s.n.","Capital, Parque do Estado.","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402495","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","J. A. Kallunki",NA,NA,NA,"R. de Mello-Silva","1993","05","15","Brazil","Rio de Janeiro","Cabo Frio","-42.0183","-22.8794",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402495",NA,NA,"NY00402495_01","874","Arraial do Cabo, praia de Maçambaba.","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","402485","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum majus","A.Robyns","J. G. de Carvalho-Sobrinho",NA,NA,NA,"D. Loss","1983","06","06","Brazil","Rio de Janeiro","Cachoeiras de Macacu","-42.6531","-22.4625",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402485",NA,NA,"NY00402485_01",NA,"Cachoeira de Macacú, 3° Distrito, aprox. Km 18 da estrada Rio-Friburgo","Magnoliophyta","Malvales","South America","sheet","majus",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","402487","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","A. G. M. W. A. Robyns",NA,NA,NA,"R. Reitz","1953","11","28","Brazil","Santa Catarina","Brusque","-48.9172","-27.0983",NA,NA,"Separate Fruit <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402487","100","100",NA,"5824","Sta. Luzia, Brusque","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
