"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","typeStatus","locality","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-04-05 14:25:24-03","UNESC","CRI","3966","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez","Paulo Brack","B. E. Irgang","1983","10","25","Brasil","Santa Catarina","Sangão","-49.129444","-28.638333","49º7'46''W","28º38'18''S","18","18","CRI003785","CRI003785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","69066","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia",NA,NA,"Harley, R.M.; Mayo, S.J.; Storr, R.M.; Santos, T.S. & Pinheiro, R.S.","1977","03","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00069066",NA,"19628","E. Tropical South America","herbarium specimen of unspecif","BGBASE:76992","<a href=http://data.rbge.org.uk/herb/E00069066 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259542","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia",NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00259542",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:271766","<a href=http://data.rbge.org.uk/herb/E00259542 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355510","PreservedSpecimen","Plantae","Lauraceae","Nectandra","stenophylla","Nectandra stenophylla","Meisn.",NA,"J. B. E. Pohl",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00355510","NY00355510_01","5608","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423402' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","isotype","Serra Tingica [sp?].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","886977","PreservedSpecimen","Plantae","Lauraceae","Ocotea","inconspicua","Ocotea inconspicua","Mez",NA,"H. C. de Lima","1990","05","31","Brazil","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,"1100","1100","NY00886977",NA,"3773","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069216' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,"Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronites. Caminho para a parcela 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1016123","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanceolata","Ocotea lanceolata","(Nees) Nees","H. H. van der Werff","R. M. Harley","1977","03","24","Brazil","Bahia",NA,"-41.82","-13.48",NA,NA,"1200","1200","NY01016123",NA,"19915","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142064' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,"Serra do Rio de Contas. Ca. 1 km south of small town of Mato Grosso on the road to Vila do Rio de Contas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539433","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez",NA,"R. Reitz","1953","04","23","Brazil","Santa Catarina","Blumenau","-49.133762","-27.0259",NA,NA,"800","800","NY00539433","NY00539433_01","568","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151920' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","paratype","Morro Spitzkopf, Blumenau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","537997","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez","H. H. van der Werff","G. G. Hatschbach","1967","06","17","Brazil","Paraná","Guaraniaçu","-52.8781","-25.1008",NA,NA,NA,NA,"NY00537997","NY00537997_01","16554","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403436' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,"Rod. BR-277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","538015","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez",NA,"R. M. Klein","1955","05","06","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"350","350","NY00538015","NY00538015_01","1358","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683365' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,"Morro da Ressacada, Itajaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","539431","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez",NA,"R. Reitz","1955","12","20","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"150","150","NY00539431","NY00539431_01","2319","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151918' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales",NA,"Morro da Ressacada, Itajaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
