"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","barcode","imagecode","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","522","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","wittmackiana","Aechmea wittmackiana","(Regel) Mez","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Bruno Rezende Silva; Karl Green","1999","08","27","Brasil","São Paulo","Pariquera-Açú","Fazenda Chá-Pariquera, Mata Atlântica","-47.8800010681152","-24.7099990844727","17990","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:03:42-03","ESALQ","ESA","52366","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","wittmackiana","Aechmea wittmackiana","(Regel) Mez","Wanderley, M.G.L.","1995","05","Scaramuzza, C.A.M. ; Fina, B.G.","1993","02","16","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto","11","943.0","ESA052366","ESA052366",NA,NA
"3","2021-03-04 11:04:38-03","UFRB","HURB","6228","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","wittmackiana","Aechmea wittmackiana","(Regel) Mez",NA,NA,NA,"Aona, L.Y.S.; Biggs, N.; Jardim, J.G.; Lucas. E.; Mazine. F.F.; Victor,V.V. & Costa,G.","2013","03","13","Brasil","Bahia","Ibirapitanga","Serra do Papua, APA do Pratigi, descida da parcela 3, antes do córrego 01;","-39.465833","-13.916111",NA,NA,NA,NA,NA,"2418","HURB000006228","HURB000006228","39°27'57 W","13°54'58 S"
"4","2017-09-11 17:09:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Aechmea","wittmackiana","Aechmea wittmackiana","(Regel) Mez",NA,NA,NA,"?",NA,NA,NA,"?",NA,NA,"Solum adhuc e caldariis Europaeis nota verisimiliter Brasiliae australis incola",NA,NA,NA,NA,"(V. s. in herb. Petrop.)",NA,NA,"s.n.",NA,NA,NA,NA
