"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01092825","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","C. V. Mendonça Filho","H. C. de Lima","2695","1986","08","29","South America","Brazil","Rio de Janeiro","Cabo Frio","Cabo Frio, próximo a Barra, Morro do Farol.","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238285' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092825","NY01092825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-07 11:40:00-02","NY","NYBG","01092824","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","obovatum","Machaerium obovatum",NA,"C. V. Mendonça Filho","B. D. Sucre","1181","1966","11","01","South America","Brazil","Rio de Janeiro",NA,"Morro do lado do canal - Cabo Frio.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092824","NY01092824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01092826","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","C. V. Mendonça Filho","B. B. Klitgaard","3","1993","11","03","South America","Brazil","Rio de Janeiro","Cabo Frio","Near dried-out lake - Lagoa Araruama, on rd. to Praia das Conchas.","-41.9907546","-22.8743366","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092826","NY01092826_01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02423460","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,"H. F. Uller","362","2013","09",NA,"South America","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","Conglomerado 363-Ex3","-42.1027984619141","-22.8391990661621","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685334' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423460","NY02423460_01",NA,"20879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:13:47-03","NBC","NL-BOTANY","U.1244459","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho CV","Klitgaard BB; Lima HC de",NA,"1993","11","03","Southern America","Brazil","Rio de Janeiro",NA,"State Rio de Janeiro. Mun. Cabo Frio. Near dried out lake. Lagoa Araruama, on road to Praia das Conchas.","-41.916667","-22.833333",NA,"Forest on small litoral hills, on pebery, rocky, sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1244459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1244459","NL-U1244459",NA,NA,NA,"Magnoliopsidae","2002","05","01","-41.916667","-22.833333","U 0073597",NA,NA
"6","2020-11-04 11:09:45-03","ESALQ","ESA","132057","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum",NA,"Nobrega, G.A.","Uller, H.F. ; Terra, G.","416.0","2013","09","01",NA,"Brasil","Rio de Janeiro","São Pedro da Aldeia",NA,"-42.1027984619141","-22.8391990661621",NA,NA,"ESA132057",NA,NA,"20879","auto",NA,"2013","11","12",NA,NA,NA,NA,NA
"7","2020-11-04 11:09:45-03","ESALQ","ESA","132061","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum",NA,"Nobrega, G.A.","Uller, H.F. ; Terra, G.","362.0","2013","09","01",NA,"Brasil","Rio de Janeiro","São Pedro da Aldeia",NA,"-42.1027984619141","-22.8391990661621",NA,NA,"ESA132061",NA,NA,"20879","auto",NA,"2013","11","12",NA,NA,NA,NA,NA
"8","2019-08-20 10:14:08-03","UNICAMP","UEC","110989","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","465","1999","09","05",NA,"Brazil","Rio de Janeiro","Cabo Frio","Estrada para Praia das Conchas, Mata seca próxima a restinga.","-42.0186004638672","-22.8794002532959",NA,"Arvoreta ca. 4,5m. 12cm CAP. Folhas maduras. Tronco ramificado na base. Folhas em FAA.","UEC184151","UEC184151",NA,"40069","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:14:08-03","UNICAMP","UEC","110995","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","466","1999","09","05",NA,"Brazil","Rio de Janeiro","Cabo Frio","Estrada para Praia das Conchas, Mata seca próxima a restinga.","-42.0186004638672","-22.8794002532959",NA,"Árvore ca. 6,5m de altura. Brotação de cor avermelhada. Folhas novas em FAA. Foto. Tronco com acúleos robustos, ca. 2 x 0,5cm.","UEC170521","UEC170521",NA,"40069","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:14:08-03","UNICAMP","UEC","110994","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","467","1999","09","05",NA,"Brazil","Rio de Janeiro","Cabo Frio","Estrada para Praia das Conchas, Mata seca próxima a restinga.","-42.0186004638672","-22.8794002532959",NA,"Arvoreta ca. 4m. Folhas maduras, frutos imaturos, abortados. Restos de flores. Solo arenoso, pedregoso.","UEC170520","UEC170520",NA,"40069","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"11","2019-08-20 10:14:08-03","UNICAMP","UEC","110990","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","468","1999","09","05",NA,"Brazil","Rio de Janeiro","Cabo Frio","Estrada para Praia das Conchas, Remanescente de mata seca, isolada na beira da estrada.","-42.0186004638672","-22.8794002532959",NA,"Arvoreta ca. 5m. Folhas maduras. Restos de flores e frutos imaturos. Solo arenoso e pedregoso.","UEC170523","UEC170523",NA,"40069","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:30:50-03","UNICAMP","UEC","110992","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","471","1999","09","07",NA,"Brazil","Rio de Janeiro","Cabo Frio","Morro em frente a Ponte do Canal, ao lado oposto ao centro da cidade.","-42.0186004638672","-22.8794002532959",NA,"Arbusto 1,5-2m. Folhas maduras. Frutos imaturos, restos de flores. Folíolos em sílica gel.; Mata Seca (remanescente).","UEC184152","UEC184152",NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
