"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","day","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","103740","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","australis","Aegiphila australis","Moldenke","H. N. Moldenke","type fragment","E. H. G. Ule","1520","1889","12","South America","Brazil","Santa Catarina","Strauch in Campo d'Una bei Laguna","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103740","NY00103740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","103741","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Aegiphila","australis","Aegiphila australis","Moldenke","H. N. Moldenke","type fragment","E. H. G. Ule","1520","1889","12","South America","Brazil","Santa Catarina","Strauch in Campo d'Una bei Laguna","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103741","NY00103741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:32:06-03","NBC","NL-BOTANY","U.1752278","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Aegiphila","australis","Aegiphila australis","Moldenke",NA,NA,"Lindeman JC; Porto ML",NA,"1971","11","Southern America","Brazil",NA,"Capoeira da restin ga no Morro dos Conventos, E de Ararangua na costa de Sta. Catarina.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752278 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752278","NL-U1752278","Magnoliopsidae","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:30:23-03","IAP","PACA-AGP","11261","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aegiphila","australis","Aegiphila australis","Mold.","Emrich-Rambo",NA,"P. Buck SJ",NA,"1943","01",NA,"Brasil","RS","Cerro Largo",NA,"conf. F. França 08.2003 Habitat: in silvula secundaria Fenofase: infl. novissimis","PACA011261",NA,"Magnoliatae",NA,"1954","09","26","São Luiz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:30:23-03","IAP","PACA-AGP","3334","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aegiphila","australis","Aegiphila australis","Mold.","H. N. Moldenke",NA,"Sehnem, A.",NA,"1939","01",NA,"Brasil","SC","Lagoa",NA,"conf. por F. França, 08.2003 Habitat: in silvula arenosa Fenofase: flor","PACA003334",NA,"Magnoliatae","10","1950","08",NA,"Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,NA,NA,NA
"6","2019-08-27 13:30:23-03","IAP","PACA-AGP","61186","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aegiphila","australis","Aegiphila australis","Mold.","Emrich-Rambo",NA,"Rambo, B.",NA,"1957","10",NA,"Brasil","SC",NA,NA,"conf. F. França 08.2003 Habitat: in silva Fenofase: flor","PACA061186",NA,"Magnoliatae","07","1958","10","01","Itapiranga","-53.7122001647949","-27.1693992614746","18767","auto",NA,NA,NA,NA,NA
"7","2020-12-09 14:46:47-03","FURB","FURB","66512","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Aegiphila","australis","Aegiphila australis","Moldenke","Kassner-Filho, A.",NA,"Kassner-Filho, A.","5689","2020","05",NA,"Brasil","Santa Catarina","Roçado.",NA,"fruto amarelado Habitat: borda do fragmento Habito: arbustiva","FURB66512","FURB66512",NA,"09","2020","05","09","São José","-48.6275","-27.5925",NA,NA,"-48.6275000","-27.5925000","46","46",NA
"8","2020-12-21 16:46:53-03","MBM","MBM","103916","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Aegiphila","australis","Aegiphila australis","Moldenke","Hatschbach, G.",NA,"Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","49551","1985","08","Southern America","Brazil","Paraná","Rod. BR-277",NA,NA,"MBM103916","MBM103916",NA,"18",NA,NA,NA,"Laranjeiras do Sul","-52.4160995483398","-25.4078006744385","28404","auto",NA,NA,NA,NA,NA
"9","2020-12-21 16:46:53-03","MBM","MBM","21995","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Aegiphila","australis","Aegiphila australis","Moldenke","Moldenke, H.N.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","29383","1972","03","Southern America","Brazil","Santa Catarina","Figueira",NA,NA,"MBM021995","MBM021995",NA,"31",NA,NA,NA,"Laguna","-48.7807998657227","-28.4825000762939","21199","auto",NA,NA,NA,NA,NA
"10","1996-02-16 15:14:33-03","MNHN","RECOLNAT_MNHN_P","P00650877","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Aegiphila","australis","Aegiphila australis","Moldenke","Moldenke","isotype","Ule, E.",NA,"1889","12",NA,"Brésil",NA,"Estado de Sta Catharina : Arbusto no campo Perto de Laguna","hb","Donné par Mme Simard, sa fille (A. Glaziou), en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00650877' target='other'> <mi>dwc_moreinfo</mi></a>","P00650877","P00650877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1520"
