"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","phylum","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","order","typeStatus","continentOcean","individualCount"
"1","2015-07-02 14:02:58-03","JBP","HPL","5059","S","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","J.J. Wurdack","H. Lorenzi","1999","09","30","MP","21","1999","09","30","Brasil","RJ","Rio de Janeiro","Coletada no Sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:09:25-03","UFES","SAMES","7067","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Menezes,L.F.T.","2328","2016","09","05","Brasil","Espírito Santo","Águia Branca",NA,"-40.7402992248535","-18.9831008911133","19701","auto","Com flores roxas. Habitat: Afloramento rochoso. Habito: Arbusto","SAMES07067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:09:25-03","UFES","SAMES","1173","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.","216","2015","11","26","Brasil","Espírito Santo","Águia Branca","Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.","-40.7402992248535","-18.9831008911133","19701","auto","Arbusto de 1,5 a 2 metros de altura; habitando ilhas de vegetação em afloramento granítico; folhas verdes; flores rosa claro; caule suculento; fruto redondo; abundante, sol pleno.","SAMES01173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:09:25-03","UFES","SAMES","8220","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.","398","2018","03","22","Brasil","Espírito Santo","Vila Pavão","PEDRA DO VIADINHO.","-40.611400604248","-18.6149997711182","19647","auto","Folhas verdes, sol, habitando a ilha de vegetação inselberg.","SAMES08220","-405558333.0","-186230556.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:25-03","UFES","SAMES","1184","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Pinto Junior, H.V.; Covre, C.","149","2015","06","25","Brasil","Espírito Santo","Águia Branca","Região dos Três Pontões de Águia Branca.","-40.7402992248535","-18.9831008911133","19701","auto","Harbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores rosa claro; frutos redondos; abundante; sol pleno.","SAMES01184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:28-03","UNICAMP","UEC","195215","S","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4712","2016","10","05","Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,NA,"Arbusto rastejante. Flores roxas.; Inselberg, sobre rocha.","UEC149257","-41.202239","-19.459414","Magnoliopsida","213","213","UEC149257",NA,NA,NA,NA,NA
"7","2019-08-20 10:18:50-03","UNICAMP","UEC","10664","S","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5875","1977","09","08","Brazil","Espírito Santo","Vale De Pancas","60 km noroeste de Colatina. Em encosta d",NA,NA,NA,NA,NA,"UEC080391",NA,NA,"Magnoliopsida","100","100","UEC080391",NA,NA,NA,NA,NA
"8","2021-02-11 17:19:52-03","UFPR","UPCB","62570","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","Goldenberg, R.",NA,NA,NA,"Goldenberg, R.","1154","2008","05","11","Brasil","Espírito Santo","Águia Branca","BLOQUEADO",NA,NA,NA,NA,"Arbusto 1.5m, sobre pedra pouco inclinada, estérial, ramos castanhos, espessados e ocos (com lamelas internas transversais), sem formigas no seu interior..","UPCB0014859","9999","9999",NA,"211","211","UPCB0014859",NA,NA,NA,NA,NA
"9","2021-02-11 17:19:52-03","UFPR","UPCB","86566","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","Goldenberg, R.","2016",NA,NA,"Forzza, R.C. et al.","8760","2016","03","14","Brasil","Espírito Santo","Águia Branca","Afloramento a 5km de Águia Branca na estrada para Vila Verde.","-40.777778","-19.006111",NA,NA,"Arvoreta em ilha de vegetação, 2-4m alt., pouco frequente. Folhas discolores. Frutos castanhos. Habitat: Inselbergue..","UPCB0014860","-40.777778","-19.006111",NA,"117","117","UPCB0014860",NA,NA,NA,NA,NA
"10","2021-02-11 17:19:52-03","UFPR","UPCB","96673","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","Bochorny, T.","2016","01",NA,"Bochorny, T. | Bacci, L.F. | Bolson, M.","192","2016","01","17","Brasil","Espiríto Santo","Santa Teresa","Museu de Biologia Mello Leitão","-40.6","-19.936111",NA,NA,"Arbusto cultivado, 1,8m, fruto seco, no jardim interno do Museu Mello Leitão.","UPCB0047107","-40.600000","-19.936111",NA,"600","600",NA,NA,NA,NA,NA,NA
