"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","class","infraspecificEpithet","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00925901","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","cipoana","Microlicia cipoana","Hoehne","H. L. de M. Barreto","7011","1933","08","24","South America","Brazil","Minas Gerais","Serra do Cipó, k. 133. Estrada do Pilar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925901","NY00925901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00925954","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","B. Maguire","49096","1960","08","08","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, road from Hotel Chapéu do Sol to Conceição, km. 120-140.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925954","NY00925954_01","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00925953","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. G. Hatschbach","29953","1972","08","06","South America","Brazil","Minas Gerais","Serra do Cipó.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925953","NY00925953_01",NA,NA,"Jaboticatubas","-43.539757","-19.388386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4218252","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","F. Almeda","9204","2005","09","30","South America","Brazil","Minas Gerais","Serra do Cipó. About 23-24 km from the bridge over the Rio Cipó on the road from Serra do Cipó (formerly Cardeal Mota), about 38 km S of Conceição do Mato Dentro on a temporary detour road while the main Serra do Cipó/Conceição road was being paved.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451441' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218252",NA,"1260","1260","Santana do Riacho","-43.51185989","-19.24702454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925956","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. Gardner","4639","1840",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925956","NY00925956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4218423","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","F. Almeda","9613","2009","02","28","South America","Brazil","Minas Gerais","Cadeia do Espinhaço. 4 km west of Hwy MG-220 along the south side of road to Conselheiro Mata.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451485' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218423",NA,"1409","1409","Diamantina","-43.71281","-18.2763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925955","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. Gardner","X.4639","1840",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925955","NY00925955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:40-03","EAO","IAN","26479","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN026479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U.1387681","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Maguire B; Magalhaes CM; Maguire CK",NA,"1960","08","08","Southern America","Brazil",NA,"Plants of Minas Gerais. Summit of Serra do Cipo, road from Hotel Chapeu do Sol to Concepcao, km 120-140.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1387681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1387681","NL-U1387681",NA,NA,NA,NA,NA,"Magnoliopsidae","latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:04:35-03","NBC","NL-BOTANY","U.1387681","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Maguire B; Magalhaes CM; Maguire CK",NA,"1960","08","08","Southern America","Brazil",NA,"Plants of Minas Gerais. Summit of Serra do Cipo, road from Hotel Chapeu do Sol to Concepcao, km 120-140.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1387681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1387681","NL-U1387681",NA,NA,NA,NA,NA,"Magnoliopsidae","latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
