"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","individualCount","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","barcode","imagecode"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","206","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sanguinea","Neoregelia sanguinea","Leme","Elton. C. M. Leme","2009","05","Roberto A. Kautsky;","Kautsky1013","1992","07","20","Brasil","Espírito Santo","Lúna","Entre os municípios de Iúna-Laranja da Terra","1","254",NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","431","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sanguinea","Neoregelia sanguinea","Leme","Elton. C. M. Leme","2011","08","Elton. M. C. Leme; Siqueira Filho; G. Baracho; João Marcelo",NA,"1997","08","02","Brasil","Ceará","Crato","Chapada do Araripe","1","254","-39.4094009399414","-7.23416996002197","30071","auto",NA,NA,NA
"3","2020-12-21 16:19:25-03","MBM","MBM","173146","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sanguinea","Neoregelia sanguinea","Leme",NA,NA,NA,"Hatschbach, G.","61616","1995","02","04","Brazil","Espírito Santo","Iúna","Laranja da Terra, Cultivada na Reserva Biológica de Sapitanduva",NA,NA,"-41.5358009338379","-20.3458003997803","32198","auto","Southern America","MBM173146","MBM173146"
"4","2020-12-21 16:19:25-03","MBM","MBM","208196","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sanguinea","Neoregelia sanguinea","Leme","Leme, E.M.C.",NA,NA,"Hatschbach, G.","65300","1996","09","01","Brazil","Espírito Santo","Iúna","Iúna",NA,NA,"-41.5358009338379","-20.3458003997803","32198","auto","Southern America","MBM208196","MBM208196"
