"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","8904","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) P.Beauv.","Vanilde Citadini-Zanette","2010","12","14","Alencar Luzzietti Semler","2010","12","05","Brasil","Santa Catarina","Criciúma","Horto Florestal da Unesc","-49.373333","-28.6725","49º22'24''W","28º40'21''S","46","46","CRI010170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:46-03","UNESC","CRI","14192","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","tenella","Alternanthera tenella","Colla","Vanilde Citadini-Zanette","2019","03","01","Aline Votri Guislon","2019","03","01","Brasil","Santa Catarina","Criciúma","Quintal particular.","-49.397222","-28.783333","49º23'50''W","28º47'0''S","27","27","CRI012959","Cultivada. Habitat: Terrestre Habito: Herbácea","CRI012959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","487260","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","J. C. de Siqueira",NA,NA,NA,"H. E. Strang","1961","08","18","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estr. da Vista Chinesa, próx. à Est. Biologica","-43.273873","-22.971901",NA,NA,NA,NA,"NY00487260","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487260_01","Magnoliophyta","Caryophyllales","325","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","487259","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","T. M. Pedersen",NA,NA,NA,"M. M. Arbo","1997","01","16","Brazil","Bahia","Nordestina","18 km SW de Cansançao, camino a Queimadas","-39.58","-10.82",NA,NA,"270","270","NY00487259","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487259_01","Magnoliophyta","Caryophyllales","7289","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 19:02:00-03","NY","NYBG","487255","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea",NA,"R. L. Liesner",NA,NA,NA,"A. H. Gentry","1978","06","11","Peru","Cajamarca",NA,"6 km E of Pucara",NA,NA,NA,NA,"860","860","NY00487255","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487255_01","Magnoliophyta","Caryophyllales","22707","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01212715","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","A. S. L. da Silva",NA,NA,NA,"A. S. L. da Silva","1984","03","19","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01212715","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465623' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212715_01","Magnoliophyta","Caryophyllales","1897","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","487258","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","T. M. Pedersen",NA,NA,NA,"M. M. Arbo","1997","01","15","Brazil","Bahia","Tanquinho","Tanquinho, en el cerro","-39.1","-11.98",NA,NA,"250","250","NY00487258","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487258_01","Magnoliophyta","Caryophyllales","7235","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","487262","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","T. M. Pedersen",NA,NA,NA,"Grupo Pedra do Cavalo","1980","05",NA,"Brazil","Bahia",NA,"Margens do R. Jacuipe. Cachoeira/Bahia - Vale dos Rios. Paraguaçu e Jacuipe","-39.08","-12.53",NA,NA,"40","120","NY00487262","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487262_01","Magnoliophyta","Caryophyllales","75","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","487261","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","T. M. Pedersen",NA,NA,NA,"Grupo Pedra do Cavalo","1980","05",NA,"Brazil","Bahia",NA,"Estaçao da EMBASA. Cachoeira/Bahia - Vale dos Rios, Paraguaçu e Jacuipe","-39.08","-12.53",NA,NA,"40","120","NY00487261","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487261_01","Magnoliophyta","Caryophyllales","138","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01212717","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","ficoidea","Alternanthera ficoidea","(L.) R.Br.","K. M. Becker",NA,NA,NA,"G. T. Prance","1971","10","23","Brazil","Amazonas",NA,"Rio Uneiuxi, Makú Indian village, 300 km above mouth.","-67.3556","-1.5556",NA,NA,NA,NA,"NY01212717","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465632' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212717_01","Magnoliophyta","Caryophyllales","15574","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
