"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","kingdom","phylum","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","identifiedBy"
"1","2015-09-04 20:52:38-03","MNHN","RECOLNAT_MNHN_P","P05204693","PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala","Kiaersk.","Glaziou","13875","1881","2","22","Brasil","Minas Gerais","Rio Manso","-44.3078002929688","-20.2653007507324","15709","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05204693' target='other'> <mi>dwc_moreinfo</mi></a>","P05204693","P05204693_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:39:03-03","UFMG","BHCB","121023","PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala",NA,"Meireles, LD; Nunes, JA; Neto, JOC; Cordeiro, TR",NA,"2007","09","15","Brasil","Minas Gerais","Passa Quatro","-44.907783","-22.450842",NA,NA,"Arbusto ereto, cc 2m., botões florai verdes.; Mata de candeia","BHCB011123",NA,NA,"Plantae","Dicotyledon","2013","11","14","3340","Southern America","Serra Fina","-44.907783","-22.450842","1500","1575",NA,NA,NA
"3","2019-09-04 18:11:31-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala",NA,"A. Glaziou",NA,"1881","2","22","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Plantae","Spermatophyta",NA,NA,NA,"13875","South America",NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA
"4","2019-09-04 18:21:20-03","F","FMNH-SEEDPLANTS","V0064888F","PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala",NA,"A. Glaziou",NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0064888F","V0064888F_01",NA,"Plantae","Spermatophyta",NA,NA,NA,"13875","South America",NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA
"5","2019-11-01 15:05:12-03","UnB","UB","148495","PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala","Kiaersk.","Meireles, LD",NA,"2007","09","15","Brasil","Minas Gerais","Passa Quatro","-44.9667015075684","-22.3903007507324","17293",NA,"Arbusto ereto, 2m, botões florais verdes.; Mata de Candeia.",NA,NA,"auto","Plantae","Dicotyledoneae","2012",NA,NA,"3340","Southern America","Serra Fina,Capim Amarelo.",NA,NA,NA,NA,NA,NA,"Proença, CEB"
"6","2021-02-23 13:22:50-03","MN","R-TIPOS","8969","PreservedSpecimen","Myrtaceae","Campomanesia","prosthecesepala","Campomanesia prosthecesepala","Kiaersk.","Glaziou, A.F.M.",NA,"1881","02","22","Brasil","Minas Gerais","Rio Manso","-44.3078002929688","-20.2653007507324","15709",NA,NA,"R000008969","R000008969_001","auto","Plantae",NA,"1983",NA,NA,"13875",NA,NA,NA,NA,NA,NA,NA,"Isotypus","Landrum, L.R."
