"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12916","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Alexandre Medeiros","2017","12","06","Alexandre Medeiros","2017","12","06","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Indivíduo Rupícola. Flores Brancas. Coleta 828. Habitat: Terrestre Habito: Herbácea","CRI011524","CRI011524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:44-03","UNESC","CRI","3506","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Marcos Sobral",NA,NA,NA,"Robson dos Santos","1994","06","07","Brasil",NA,"Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S",NA,"CRI005631","CRI005631","84","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:44-03","UNESC","CRI","8727","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","Nova Veneza",NA,NA,NA,NA,NA,NA,"CRI005632","CRI005632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418436","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1908",NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418436","NY00418436_01","s.n.",NA,NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA
"5","2019-12-04 15:26:36-03","PUCPR","HUCP","21122","S","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Lemos, JV",NA,NA,NA,"Lemos, JV","2008","03","06","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,"HUCP00002451","HUCP00002451","065",NA,NA,"Monocotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA
"6","2019-10-09 11:28:41-03","UFBA","ALCB","86005","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Stancik, JF","2007",NA,NA,"Silva, JM; Ribas, OS; Cunha, EM; Costa, AS","2004","05","01","Brasil","Paraná","Bocaiúva do Sul","Fazenda Capivari Grande.","-49.1150016784668","-25.2061004638672",NA,NA,"flor alvacenta.","ALCB006865","ALCB006865","4038",NA,NA,"Monocotyledon",NA,"Southern America",NA,"61623","auto",NA,NA,NA
"7","2021-03-31 13:40:58-03","MN","R","2784","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Dusén, P.K.H.",NA,NA,NA,"Dusén, P.K.H.","1902","07","18","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"720","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:40:58-03","MN","R","36321","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Stancik, J.F.","2004","02",NA,"Dusén, P.K.H.","1904","04","19","Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:40:58-03","MN","R","36316","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","Hoehne, F.C.",NA,NA,NA,"s.col.",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
"10","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1127","S","Plantae","Orchidaceae","Epidendrum","vesicatum","Epidendrum vesicatum","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R.Pansarin",NA,NA,NA,"Brasil","Santa Catarina","Blumenau",NA,"-49.066667","-26.9","49°04'W","26°54'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
