"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02491403","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","parvifolia","Stevia parvifolia","Hassl.","R. R. Brooks","BRASPEX152","1988","04","21","South America","Brazil","Goiás","Macedo, ca. 15 km N of Niquelândia.","-48.38","-14.3","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2733917' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491403","NY02491403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 03:19:00-03","NY","NYBG","8275","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","parvifolia","Stevia parvifolia",NA,"T. Rojas","9979","1908","01",NA,"South America","Paraguay",NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008275","NY00008275_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:06-03","UFRJ","RFA","11487","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","G.G. Hatschbach","26335","1971","02","19",NA,"Brasil","Paraná","Guarapará. Fazenda Três Capões",NA,NA,NA,NA,"Capítulos alvos.","RFA10888",NA,NA,"G.G. Hatschbach","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:54-03","PUCPR","HUCP","21851","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Selusniaki, M","3025",NA,NA,NA,NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,"HUCP00008279","HUCP00008279",NA,"Acra, LA","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:24:54-03","PUCPR","HUCP","21842","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Selusniaki, M","3024","2011","10",NA,NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,"HUCP00008241","HUCP00008241",NA,"Acra, LA","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:55:08-03","ESALQ","ESA","136624","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","J.M. Silva","8506.0","2014","03","27",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,"ESA136624",NA,NA,"P. Larocca","Balsa Nova","27346","auto","2014","05","14",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:02:12-03","ESALQ","ESA","25566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Souza, V.C. et al.","8648.0","1995","05","28",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA025566",NA,NA,"Nakajima, J.N.","Itararé","27729","auto","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:02:25-03","ESALQ","ESA","78853","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stevia","parvifolia","Stevia parvifolia","Hassler","Ribas, O.S. et al.","3334.0","2001","03","03",NA,"Brasil","Santa Catarina",NA,"-49.2655982971191","-26.1924991607666",NA,NA,NA,"ESA078853","ESA078853",NA,"Robinson, H.","Campo Alegre","37493","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-19 10:22:55-03","CPAP","CPAP","11655","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Hatschbach, G.","38681","1976","05","16",NA,"Brasil","MS","Ponta Porã, 25 km L","-55.7256011962891","-22.5361003875732",NA,NA,". FLOR: capítulos alvos. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo limpo. SUBSTRATO: . RELEVO: .",NA,NA,NA,"J. N. Nakajima","Ponta Porã","102608","auto","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0028699","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","parvifolia","Stevia parvifolia","Hassl.","O. S. Ribas; C. B. Poliquesi, E. Barbosa, E. F. Costa","3334","2001","3","3",NA,"Brazil","Santa Catarina","Serra Quiriri (Mun. Campo Alegre).","-49.265918","-26.192803","1500",NA,"Subarbusto, até 50 cm, capítulo lilás.",NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:32:13-03","UFJF","CESJ","65128","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","O.S. Ribas; J.M. Silva; C.B. Poliquesi","8546","2012","03","30","América do Sul","Brasil","Paraná","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611",NA,NA,"Herbácea, flores rosadas. Campo cerrado.","CESJ065128",NA,NA,"E. Barbosa; E.L. dos Santos","Jaguariaíva","44368","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:32:14-03","UFJF","CESJ","18951","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Stevia","parvifolia","Stevia parvifolia","Hassl.","Ponce","s.n.","1981","08","29","América do Sul","Brasil","Rio de Janeiro","Morro da Glória","-43.7002983093262","-22.2455997467041",NA,NA,"Árvore grande, flores brancas, procedência cálice esverdeado claro.","CESJ018951",NA,NA,"N.Roque","Valença","47830","auto","1997","08",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:32:14-03","UFJF","CESJ","37793","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Stevia","parvifolia","Stevia parvifolia","Hassl.","O.S. Ribas; et al.","3334","2001","03","03","América do Sul","Brasil","Santa Catarina","Serra Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,"Subarbusto, até 50 cm, capítulo lilás. Campo de altitude; solo turfoso. Alt: 1500 m.","CESJ037793",NA,NA,"H.Robinson","Campo Alegre","37493","auto","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:25:19-03","UNICAMP","UEC","76306","S","Plantae","Magnoliopsida",NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Souza, VC; Miyagi, PH; Souza, JP; Scalon, VR","8648","1995","05","28",NA,"Brazil","São Paulo","Estrada Itararé - Itapeva, próximo à ponte do Rio Verde.","-49.3400001525879","-24.1100006103516",NA,NA,"Erva, até 60 cm alt.; flores alvas.; Campo. Cerrado com banhado adjacente.","UEC130394","UEC130394",NA,"Nakajima, JN","Itararé","27729","auto","1997","03",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-10-14 09:59:25-03","FURB","FURB","40817","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Ribas, O.S.; Silva, J.M. & Poliquesi, C.B.","8546","2012","03","30",NA,"Brasil","Paraná","Parque Estadual do Cerrado.","-49.7057991027832","-24.2511005401611",NA,NA,NA,"FURB04262","FURB04262",NA,"Barbosa, E; Santos, EL dos","Jaguariaíva","44368","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:51:07-03","UCS","HUCS","40310","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Ribas, O.S.","8546","2012","03","30",NA,"Brasil","Paraná","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611",NA,NA,"herbácea flores rosadas&nf;Herbário MBM; campo cerrado",NA,NA,NA,"Barbosa, E.; Santos, E.L.","Jaguariaíva","44368","auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-16 08:38:39-03","UTFPR","HCF","6788","S","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron","M.G. Caxambu","2162","2008","04","20",NA,"Brasil","PR","Rio dos Papagaios","-49.776444","-25.471111","960",NA,"erva ereta, heliófita, terrestre, ca. 0,3 m.",NA,NA,NA,"M.G. Caxambu","Palmeira",NA,NA,"2008","06","04","49°46'35,2 W","25°28'16 S","960",NA,NA,NA,NA
"18","2019-08-16 08:38:39-03","UTFPR","HCF","3550","S","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron","M.G. Caxambu","1089","2006","04","02",NA,"Brasil","PR","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"herbácea, ereta, heliófita, com flores roxas próxima a afloramento do arenito.",NA,NA,NA,"J. Cordeiro & E. Barboza","Palmeira","35166","auto","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:17:21-03","MBM","MBM","6036","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Hatschbach, G.","18932","1968","03","23","Southern America","Brazil","Paraná","Entre Jaguariaíva e Arapoti","-49.7057991027832","-24.2511005401611",NA,NA,NA,"MBM006036","MBM006036",NA,"Cabrera, A.L.","Jaguariaíva","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:17:21-03","MBM","MBM","300639","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Dombrowski, L.T.","10261","1979","03","20","Southern America","Brazil","Paraná","Arredores","-50.1618995666504","-25.0949993133545",NA,NA,"Em campo; frequente","MBM300639","MBM300639",NA,"Nakajima, J.","Ponta Grossa","46557","auto","2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:17:21-03","MBM","MBM","255874","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Ribas, O.S.; Silva, J.M.; Silva, J.M.","3284","2001","02","11","Southern America","Brazil","Santa Catarina","Serra Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,"Erva, capítulo lilás.; Matinha nebular do topo do morro.","MBM355874","MBM355874",NA,"Nakajima, J.","Campo Alegre","37493","auto","2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:17:21-03","MBM","MBM","191761","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Gter; et al.; et al.","s.n.","1988","03","21","Southern America","Brazil","Paraná","Viad. S.Luiz do Purunã",NA,NA,NA,NA,"Erva ereta, flores (inflorescência) rósea. Do campo","MBM191761","MBM191761",NA,"Nakajima, J.",NA,NA,NA,"2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:17:21-03","MBM","MBM","389115","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Silva, J.M.; Souza, V.C.; Moraweta, J.; Randle, C.; Souza, V.C.; Moraweta, J.; Randle, C.","8506","2014","03","27","Southern America","Brazil","Paraná","Serra São Luiz do Purunã","-49.640833","-25.471667","1190",NA,"Herbácea; capítulos rosados.; Lajeado de pedra.","MBM389115","MBM389115",NA,"Larocca, P.","Balsa Nova",NA,NA,"2014","05","14","-49.640833","-25.471667","1190",NA,NA,NA,NA
"24","2020-12-21 16:17:21-03","MBM","MBM","402501","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Barboza, E.","4453","2016","03","15","Southern America","Brazil","Paraná","Jardim Botânico Municipal, Coleção do Campo Nativo","-49.2375","-25.443611","920",NA,"Herbácea; capítulos de cor lilás.; Estepe gramíneo-lenhosa (Campos de Curitiba).","MBM402501",NA,NA,"Barboza, E.","Curitiba",NA,NA,"2016","03","30","-49.2375","-25.443611","920",NA,NA,NA,NA
"25","2020-12-21 16:17:21-03","MBM","MBM","48084","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Hatschbach, G.","38681","1976","05","16","Southern America","Brazil","Mato Grosso","Ponta Porã, 25km L",NA,NA,NA,NA,NA,"MBM048084","MBM048084",NA,"Nakajima, J.N.","Ponta Porã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:17:21-03","MBM","MBM","156692","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","59082","1993","02","09","Southern America","Brazil","Mato Grosso do Sul","27 km O na rod. para Antonio João","-55.7256011962891","-22.5361003875732",NA,NA,"Ascendente, capítulos alvos. Campo de solo rochoso das encostas de colina. Unicata","MBM156692","MBM156692",NA,"Nakajima, J.","Ponta Porã","102608","auto","2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:17:21-03","MBM","MBM","42526","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","alternifolia","Stevia alternifolia","Hieron.","Hatschbach, G.; Smith, L.B.; Klein, R.; Smith, L.B.; Klein, R.","12233","1965","01","17","Southern America","Brazil","Paraná","Estrada Jaguariaíva - Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,"MBM042526","MBM042526",NA,"Cabrera, A.L.","Arapoti","41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
