"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","class","order","typeStatus","sex"
"1","2021-04-08 17:36:59-03","EAO","IAN","27011","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","costatipes","Eupatorium costatipes","H.Rob.","Saint-Hilaire","424","Southern America","Brasil","IAN027011","IAN027011_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:15:45-03","UFV","VIC","037927","PreservedSpecimen","Plantae",NA,"Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L.Rob.) R.M.King & H.Rob.","Tinti, B.V.","s.n.",NA,"Brasil","VIC037927","VIC037927","2010","04","23","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Pedra do pato.","-42.2789001464844","-20.7255992889404","20038","Herbácea de campo rupestre de velózia.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:15:53-03","UFV","VIC","30862","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","costatipes","Eupatorium costatipes","B.L. Rob.","Silva, A.F. da","2440",NA,"Brasil","VIC030862","VIC030862","2006","01","25","Minas Gerais",NA,"Parque Estadual Serra do Brigadeiro (PESB), Laje do Ouro.","-42.4","-20.633333",NA,"Subarbusto, c.a. de 1,5 metros de altura; capítulos lilases com estiletes e estigmas brancos.",NA,"Almeida, G.S.S.","2006","06","10","-42.4","-20.633333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:23:44-03","UNICAMP","UEC","28184","S","Plantae","Magnoliopsida","Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L.Rob.) R.M.King & H.Rob.","Hensold, N; Menezes, NL; Kawasaki, ML; Rodrigues, MT","22210",NA,"Brazil","UEC123348","UEC123348","1982","01","07","Minas Gerais",NA,"Estr. Lavras- S. João Del Rey, a 33 Km de Lavras. ( Km 117).",NA,NA,NA,"Erva. Flores lilases.",NA,"Esteves, RL","2002","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:23:44-03","UNICAMP","UEC","111807","S","Plantae","Magnoliopsida","Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L.Rob.) R.M.King & H.Rob.","Nakajima, JN; Romero, R","684",NA,"Brazil","UEC123350","UEC123350","1994","12","07","Minas Gerais","São Roque de Minas","Vale da nascente do rio São Francisco, PARNA Serra da Canastra.","-46.3657989501953","-20.2453002929688","57119","Herbáceo, ca. 0,3m. Brácteas esverdeadas. Corola e Estigmas lilás.; CAmpo úmido, 2 meses após queimada.","auto","Esteves, RL","2002","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:23:44-03","UNICAMP","UEC","47599","S","Plantae","Magnoliopsida","Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L.Rob.) R.M.King & H.Rob.","Leitão Filho, HF; Santin, DA; Grombone-Guaratini, MT; Meira Neto, JAA; Franco, ADC; Francini, R","19356",NA,"Brazil","UEC123352","UEC123352","1987","07","01","Minas Gerais","São Tomé das Letras","Alt. 1300m.","-44.9852981567383","-21.7222003936768","16076","Subarbusto 20cm, flores azuis.","auto","Esteves, RL","2002","04","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:23:44-03","UNICAMP","UEC","34228","S","Plantae","Magnoliopsida","Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L.Rob.) R.M.King & H.Rob.","Leitão Filho, HF; Semir, J; Yamamoto, K; Tozzi, AMGA; et al.","15276",NA,"Brazil","UEC123353","UEC123353","1983","12","06","Minas Gerais","Tiradentes","Campo rupestre, próximo á cidade.","-44.1781005859375","-21.1103000640869","10355","Capítulos roxos.; Campo rupestre.","auto","Esteves, RL","2002","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:15:26-03","MBM","MBM","414761","PreservedSpecimen","Plantae",NA,"Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L. Rob.) R.M. King & H. Rob.","Barboza, E.; Brotto, M.L.; Vaz, J.; Brotto, M.L.; Vaz, J.","4795","Southern America","Brazil","MBM414761","MBM414761","2018","09","09","Minas Gerais","Tiradentes","Serra de São José","-44.2","-21.105833",NA,"Subarbusto com 60 cm de altura; capítulos lilases.; Campo rupestre, próximo a um córrego.",NA,"Barboza, E.","2018","09","20","-44.2","-21.105833","1045","1045",NA,NA,NA,NA,NA,NA,NA
"9","2015-09-19 10:32:31-03","MNHN","RECOLNAT_MNHN_P","P00603174","PreservedSpecimen",NA,NA,"Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,NA,"Brésil","P00603174","P00603174_01",NA,NA,NA,NA,NA,"Province de Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603174' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Robinson",NA,NA,NA,NA,NA,NA,NA,"C1 826","hb",NA,NA,NA,NA,NA
"10","2009-06-29 16:14:00-03","MO","MOBOT","100197535","PreservedSpecimen","Plantae",NA,"Asteraceae","Chromolaena","costatipes","Chromolaena costatipes","(B.L. Rob.) R.M. King & H. Rob.","R. Romero|J.N. Nakajima","Romero 3785","South America","Brazil",NA,NA,"1996","11","20","Minas Gerais",NA,"Estrada para Sacramento, 3 km da sede administrativa, Parque Nacional da Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,"J.N. Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
