"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","phylum","order","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:11-03","E","E","161775","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","J.H.Kirkbride","5498","1983","11","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169982","<a href=http://data.rbge.org.uk/herb/E00161775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","202828","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","34","1999","01","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217211","<a href=http://data.rbge.org.uk/herb/E00202828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:11-03","E","E","373475","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica",NA,NA,NA,NA,NA,"E. Tropical South America","BR","photograph of unspecified type","BGBASE:431861","Prov. de M. Geras [There are two separate labels. One says Prov. d. Rio de Janeiro, the other Prov. de M. Geras.]<a href=http://data.rbge.org.uk/herb/E00373475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373475","unspecified kind of","Bois vierges de la Prov. d. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:11-03","E","E","161774","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","J.H.Kirkbride","4519","1981","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169981","<a href=http://data.rbge.org.uk/herb/E00161774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 01:30:00-03","NY","NYBG","1147683","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","J. A. Silva","564","1986","08","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01147683",NA,"Estrada da Serra Grande","Magnoliophyta","Magnoliales","Roraima","Boa Vista","-60.666667","2.833333","NY01147683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836985","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","S. G. da Fonsêca","343","1967","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836985",NA,"Ilha do Bananal.","Magnoliophyta","Magnoliales","Tocantins","Lagoa da Confusão","-49.6233","-10.7936","NY00836985_01","(Lam.) Mart.","M. C. Dias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00837579","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","H. S. Irwin","6607","1964","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837579",NA,"5 km. S. of Garapú.","Magnoliophyta","Magnoliales","Mato Grosso",NA,"-52.57","-13.27","NY00837579_01","(Lam.) Mart.","M. C. Dias","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","503374","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","H. Lorenzi",NA,"1991","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503374",NA,"Registro. Estaçao do IAC","Magnoliophyta","Magnoliales","São Paulo","Registro","-47.84","-24.48","NY00503374_01","(Lam.) Mart.","H. Lorenzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00836986","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","D. Philcox","3097","1967","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836986",NA,"KM. 254 Xavantina-Cachimbo road","Magnoliophyta","Magnoliales","Mato Grosso",NA,NA,NA,"NY00836986_01","(Lam.) Mart.","M. C. Dias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00836996","PreservedSpecimen","Plantae","Annonaceae","Xylopia","aromatica","Xylopia aromatica","G. L. Esteves","21-21990","1990","09","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836996",NA,"Valley of Rio das Velhas: along the main road Almeida- Lagoa Santa near Campo Allegre, ca. 22 km SSE Baldim","Magnoliophyta","Magnoliales","Minas Gerais",NA,"-43.9","-19.47","NY00836996_01","(Lam.) Mart.",NA,"700","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
