"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","individualCount","yearIdentified","coordinatePrecision","geoFlag"
"1","2020-12-21 16:11:09-03","MBM","MBM","266967","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","stenophyllum","Stenandrium stenophyllum","Kameyama","Kameyama, C.","ISOTYPE","Oliveira, A.A.; Zappi, D.C.; Pirani, J.R.; Simão-Bianchini, R.; Zappi, D.C.; Pirani, J.R.; Simão-Bianchini, R.","12982","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Estrada para Cristalina, Estrada para Cristalina a ca. 800m da ponte sobre o Rio Itacambiruçu.","-42.916667","-16.6","-42.916667","-16.6","750","750","Erva de 1,5m, decumbente. Tubo corolino violeta, lobos alvo-rosados. Fruto verde.&nf;; Carrasco, entre rochas.","MBM266967","MBM266967",NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3432948","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","stenophyllum","Stenandrium stenophyllum","Kameyama",NA,"Isotype","A. Oliveira, D. C. Zappi, J. R. Pirani & R. Siamao-Bianchini","12982","1990","6","14","South America - Neotropics","Brazil","Minas Gerais",NA,"Grão-Mogol. Estrada para Cristalia a ca. 800 m da ponte sobre o Rio Itacambiruçu.",NA,NA,NA,NA,"750",NA,NA,"US01013651","US01013651_01","Dicotyledonae","Scrophulariales","1",NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3258305","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","stenophyllum","Stenandrium stenophyllum","Kameyama",NA,"Isotype","A. Oliveira, D. C. Zappi, J. R. Pirani & R. Siamao-Bianchini","12982","1990","6","14","South America - Neotropics","Brazil","Minas Gerais","Grão-Mogol","Estrada para Cristalia.","-42.9167","-16.6",NA,NA,"750","750",NA,"US00512895","US00512895_01","Dicotyledonae","Scrophulariales","1",NA,NA,NA
"4","2021-03-15 18:24:20-03","USP","SPF","150000","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","stenophyllum","Stenandrium stenophyllum","Kameyama","Kameyama, C","holotype","Oliveira, AA; Zappi, DC; Pirani, JR; Simão-Bianchini, R","CFCR12982","1990","06","14",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada para Cristálida a ca. 800m da ponte sibre o Rio Itacambiruçu.","-42.916667","-16.6","-42.916667","-16.6","750","750","Erva entre rochas, 1,5m alt., decumbente, sombra parcial. Tubo corolino violeta, lobos alvo-rosados. Fruto verde.; Carrasco.","SPF00150000",NA,NA,NA,NA,"1996",NA,NA
"5","2019-11-13 11:14:06-03","USP","SPF","68090","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","stenophyllum","Stenandrium stenophyllum","Kameyama","Kameyama, C","paratype","Pirani, JR","CFCR12420","1989","12","10",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,"SPF00068090",NA,NA,NA,NA,NA,"67219","auto"
