"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00853768","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","L. Allorge","S. A. Mori","17981","1986","05","11","South America","French Guiana","Saint-Laurent-du-Maroni","Saül. La Fumée Mountain. Antenne Nord. [Data from converted database: Inini; Commune de Saül - Région de Saül]","-53.2","3.62","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853768","NY00853768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01172473","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","A. J. M. Leeuwenberg","S. A. Mori","21487",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1389204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172473","NY01172473_01 NY01172473_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01172472","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","A. J. M. Leeuwenberg","C. A. Sothers","557",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1389202' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172472","NY01172472_01 NY01172472_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:33:57-03","EAO","IAN","129011","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Pereira, A","Pires, JM; Belém, RP","12913","1970","08",NA,"Southern America","Brasil","Pará","Rio Itacaiunas, afluente do Rio Tocantins, Serra Buritirama (B5), região com minério de manganês.","-50.25","-5.5",NA,NA,NA,NA,"IAN129011",NA,"-50.25","-5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:33:57-03","EAO","IAN","159946","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Pereira, ASS","Gentry, AH","48924","1984","11","13","Southern America","Brasil","Pará","Mocambo, EMBRAPA Forest Reserve, ca 10km from Belém, alt sea level.Transecto 2.","-47.983333","-1.5",NA,NA,NA,NA,"IAN159946",NA,"-47.983333","-1.5","2015","04","09","Belém",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:33:57-03","EAO","IAN","124880","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Silva, NT da","Oliveira, E","4695","1968","06","28","Southern America","Brasil","Pará","Rio Jarí; ao longo da estrada que liga Monte Dourado ao Munguba; mata alta, terra firme.",NA,NA,NA,NA,NA,NA,"IAN124880",NA,NA,NA,"1972","03",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:33:57-03","EAO","IAN","124880a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Sillva, NT","Oliveira, E","4695","1968","06","28","Southern America","Brasil","Pará","Rio jarí; ao longo da estrada que liga Monte Dourado ao Munguba; mata alta, terra firme.",NA,NA,NA,NA,NA,"Árvore de 16-18 m. Col. de madeira.","IAN124880a",NA,NA,NA,"1972","03",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:33:57-03","EAO","IAN","124967","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Silva, NT da","Oliveira, E","4795","1968","08","21","Southern America","Brasil","Pará","Rio Jarí, Planalto de Monte Dourado, mata alta; terra firme.",NA,NA,NA,NA,NA,NA,"IAN124967",NA,NA,NA,"1972","03",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:33:57-03","EAO","IAN","124967a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Sillva, NT","Oliveira, E","4795","1968","08","21","Southern America","Brasil","Pará","Rio jarí, Planalto de Monte Dourado; mata alta, terra firme.",NA,NA,NA,NA,NA,"Árvore de 20-22 m; cálice branco; pelas verde.&nf;Col. de madeira.","IAN124967a",NA,NA,NA,"1972","03",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:33:57-03","EAO","IAN","128804","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","sandwithianum","Aspidosperma sandwithianum","Markgr.","Pereira, A","Pires, JM; Belém, RP","12699","1970","08",NA,"Southern America","Brasil","Pará","Rio Itacaiunas, afluente do Rio Tocantins, Serra Buritirama (B4), região com minério de manganês.","-50.216667","-5.516667",NA,NA,NA,NA,"IAN128804",NA,"-50.216667","-5.516667","2016","12","19",NA,NA,NA,NA,NA,NA,NA
