"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","894755","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","H. S. Irwin","12430","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894755","NY00894755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894757","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","W. R. Anderson","36205","1972","02","18","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.566908","-19.391522","1225","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894757","NY00894757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894756","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","H. S. Irwin","32173","1971","03","19","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso","-47.5167","-13.93593","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894756","NY00894756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:23-03","UFRJ","RFA","14768","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart. ex Baker","P. Occhioni","5370","1972","11","26",NA,"Brasil","Paraná","Paraná","Rodovia do café, km 70",NA,NA,NA,NA,NA,"40 - 50 cm de altura. Capítulos arroxeados","RFA39186",NA,"N. Nascimento; D. Medina","2005","08","19",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:18-03","EAO","IAN","63764","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Pires, JM; Black, GA","3318","1951","01","16","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó.",NA,NA,NA,NA,NA,NA,"IAN063764","IAN063764 IAN063764_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:18-03","EAO","IAN","69682","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Black, GA; Magalhães, MG","11857","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó, entre os km 130 e 132.",NA,NA,NA,NA,NA,NA,"IAN069682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:26:08-03","UNICAMP","UEC","60196","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Arbo, MM; Mello-Silva, R; Schinini, A; Souza, VC","4170","1990","05","15",NA,"Brazil","Minas Gerais","Serra do Cipó","10-20 km NE de Cardeal MOta, caminho a Conceição do Mato Dentro.","-43.583333","-19.333333","1000","1320",NA,"Arbusto 1m. capitulos lilaceos.; campo rupestre","UEC137294","UEC137294",NA,NA,NA,NA,"-43.583333","-19.333333",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:26:08-03","UNICAMP","UEC","27685","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Pirani, JR; Cordeiro, I; Wagner, HL; Hensold, N","8109","1982","03","22",NA,"Brazil","Minas Gerais","Santana do Riacho","Santana de Pirapama. Fazenda Inhame (Serra Mineira).","-43.9","-18.916667",NA,NA,NA,"Erva de flores roxas.","UEC137293","UEC137293","Leitão Filho, HF","1985","07","17","-43.9","-18.916667",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:26:08-03","UNICAMP","UEC","3584","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F; Giulietti, AM","1756","1972","04","16",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da estrada da Usina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Subarbusto 30 cm. Capítulos lilás.","UEC137299","UEC137299","Boun, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"10","2019-08-20 10:07:29-03","UNICAMP","UEC","62494","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Prado, PIKL","23786","1989","08","17",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rodovia MG 010 - Km 114. Fazenda Cipó.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"UEC137302","UEC137302",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"11","2021-03-01 16:26:08-03","UNICAMP","UEC","62525","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Prado, PIKL","23784","1989","08","10",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rodovia MG 010. Km 121 (Fazenda Palácio)","-43.7449989318848","-19.513599395752",NA,NA,NA,"Herbácea.","UEC137305","UEC137305",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"12","2021-03-01 16:26:08-03","UNICAMP","UEC","3587","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Semir, J; Joly, AM; Martins, F","2297","1972","05","28",NA,"Brazil","Minas Gerais","Jaboticatubas","Estrada da Usina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Altura 20 a 30 cm. Flores rosada.","UEC137298","UEC137298","Leitão Filho, HF",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"13","2021-03-01 16:26:08-03","UNICAMP","UEC","3589","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F; Giulietti, AM","1697","1972","04","16",NA,"Brazil","Minas Gerais","Jaboticatubas","Estrada da Usina, à 10 km da Pensão Chapéu de Sol.","-43.7449989318848","-19.513599395752","1020","1020",NA,"subarbusto 15 cm, capítulo roxo.","UEC137295","UEC137295","Leitão Filho, HF",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
