"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:39:34-03","E","E","264224","PreservedSpecimen","Plantae","Gramineae","Eriochloa","distachya","Eriochloa distachya","Hunt, David R.","1966","06","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:274101","<a href=http://data.rbge.org.uk/herb/E00264224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00264224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00862679","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","Y. E. J. Mexia","1931","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862679","Magnoliophyta","Poales","Kunth","M. A. Chase","5595","Minas Gerais","Corinto","Corinto. Fazenda do Diamante; Pasto da Matta","-44.4564","-18.3808","590","590","NY00862679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00862653","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","H. S. Irwin","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862653","Magnoliophyta","Poales","Kunth","G. Davidse","17304","Mato Grosso",NA,"Lower slopes of Serra Azul, ca. 75 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.28","525","525","NY00862653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00862677","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","M. A. Chase","1930","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862677","Magnoliophyta","Poales","Kunth",NA,"11469","Goiás","Goiânia","Vicinity of Goyaz capital, Goyaz","-49.2539","-16.6786","1000","1000","NY00862677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","639910","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","L. W. Williams","1938","11","29","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639910","Magnoliophyta","Poales","Kunth","G. Davidse","98","Guárico",NA,"Around San Juan de los Morros",NA,NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","639909","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","H. S. Irwin","1970","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639909","Magnoliophyta","Poales","Kunth","G. Davidse","27279-A","Minas Gerais",NA,"Serra do Cabral. Ca. 2.5km W. of Cantoni",NA,NA,"850","850","NY00639909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","639911","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","R. Spruce","1855",NA,NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639911","Magnoliophyta","Poales","Kunth",NA,"4368",NA,NA,"Prope Tarapoto. Peruvia orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00862654","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","W. R. Anderson","1973","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862654","Magnoliophyta","Poales","Kunth","G. Davidse","9773","Mato Grosso",NA,"Ca. 30 km (straight line) ENE of Barra do Garças","-51.9912","-15.77955","450","450","NY00862654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00862652","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","M. A. Chase","1930","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862652","Magnoliophyta","Poales","Kunth",NA,"10563","Minas Gerais",NA,"Sao Miguel (Northwest of Formiga)",NA,NA,"600","625","NY00862652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862678","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","E. P. Heringer","1980","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862678","Magnoliophyta","Poales","Kunth","T. de S. Filgueiras","4508","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,"NY00862678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00862680","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","W. R. Anderson","1973","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862680","Magnoliophyta","Poales","Kunth","G. Davidse","9633","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia","-51.81666667","-17.0566","840","840","NY00862680_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","639908","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","P. K. H. Dusén","1915","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639908","Magnoliophyta","Poales","Kunth","P. K. H. Dusén","16869","Paraná",NA,"Capao Bonito",NA,NA,NA,NA,"NY00639908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00862676","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","M. A. Chase","1925","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862676","Magnoliophyta","Poales","Kunth",NA,"8798","Minas Gerais",NA,"Lavras",NA,NA,NA,NA,"NY00862676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:53:23-03","EAO","IAN","162509","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","Killeen, TJ","1986","03","27",NA,"Bolívia",NA,NA,"Caespitose perennial, innovations extravaginal, culms spreading but not decumbent or geniculate, foliage pale green with purple sheaths, on the culm; blades strictly erect, embracing the culm, flat to involute; infl. silvery. Occasiona","IAN162509","Monocotiledônea",NA,"Kunth","Killeen, TJ","1859",NA,NA,"Santa Cruz, Nulo de Chavez, Estado Santa Maria, 10km S of Concepción. Eroded tertiary planation surface overlying precambrian shield; mosaic of semideciduous forest, wooded savanna and savanna wetland.","-62","-16.216667","500","500",NA,"1988","-62","-16.216667",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:53:23-03","EAO","IAN","38736","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","Guedes, M","1910","10","04","Southern America","Brasil",NA,NA,NA,"IAN038736","Monocotiledônea",NA,"Kunth",NA,"s.n.","Pará",NA,"Ilha de Mexiana; fazenda Santa Maria; campo. (Herb. Museu Paraense 2397).",NA,NA,NA,NA,"IAN038736 IAN038736_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:53:23-03","EAO","IAN","62561","PreservedSpecimen","Plantae","Poaceae","Eriochloa","distachya","Eriochloa distachya","Chase, A","1930","03","02","Southern America","Brasil",NA,NA,NA,"IAN062561","Monocotiledônea",NA,"Kunth",NA,"11469","Goiás",NA,"Vizinhanças da cidade de Goiás. (Herbario do Jardim Botânico do Rio).",NA,NA,NA,NA,"IAN062561 IAN062561_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
