"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:40:04-03","E","E","119619","PreservedSpecimen","Plantae","Labiatae","Hypenia","vitifolia","Hypenia vitifolia","Guedes, M.L.;","2032","1995","06","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:175913","<a href=http://data.rbge.org.uk/herb/E00119619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00119619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 13:29:00-03","NY","NYBG","2099684","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","M. L. S. Guedes","PCD5514","1997","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2239372' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099684","Magnoliophyta","Lamiales","Bahia","Mucugê","Caminhio para Abaíra.","-41.3744","-13.0067","970","970","NY02099684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00526975","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","R. M. Harley","16084","1974","02","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00526975","Magnoliophyta","Lamiales","Bahia",NA,"Serra do Sincorá. 8 km. S.W. of Mucugé, on road from Cascavel near Fazenda Paraguacú.","-41.42","-13.03","1000","1000","NY00526975_01","(Pohl ex Benth.) Harley","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01019262","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","R. M. Harley","55405","2005","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280226' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019262","Magnoliophyta","Lamiales","Bahia","Mucugê","Ca. 44 km da cidade de Mucugê, em direção a Brejo de Cima e João Correa (indo do entroncamento de Cascavel)","-41.6033","-13.3086","1128","1128","NY01019262_01","(Pohl ex Benth.) Harley","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00498845","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","R. M. Harley","15160","1974","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498845","Magnoliophyta","Lamiales","Bahia",NA,"Serra do Rio de Contas. 12-14 km. N. of town of Rio de Contas on the road to Mato Grosso","-41.83","-13.47","1200","1200","NY00498845_01","(Pohl ex Benth.) Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00857076","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","H. S. Irwin","23880","1969","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857076","Magnoliophyta","Lamiales","Minas Gerais",NA,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 48 km west of Montes Claros, road to Agua Boa.","-43.44586","-16.83155","950","950","NY00857076_01","(Pohl ex Benth.) Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00857101","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","L. Riedel","1312","1825","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857101","Magnoliophyta","Lamiales","Minas Gerais",NA,"Iter Brasiliensis",NA,NA,NA,NA,"NY00857101_01 NY00857101_02","(Pohl ex Benth.) Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00498843","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","H. S. Irwin","32425","1971","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498843","Magnoliophyta","Lamiales","Bahia","Morro do Chapéu","Cerrado at base of Morro do Chapéu, ca. 7 km S. of town of Morro do Chapéu","-41.1558","-11.5503","1100","1100","NY00498843_01","(Pohl ex Benth.) Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00638980","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","R. M. Harley","H52712","1992","03","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00638980","Magnoliophyta","Lamiales","Bahia","Abaíra","Estrada Catolés-Ribeirao de Baixo-Inúbia, 9-12 km de Catolés","-41.66","-13.25","1060","1060","NY00638980_01","(Pohl ex Benth.) Harley","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00498847","PreservedSpecimen","Plantae","Lamiaceae","Hypenia","vitifolia","Hypenia vitifolia","H. S. Irwin","32425","1971","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498847","Magnoliophyta","Lamiales","Bahia","Morro do Chapéu","Cerrado at base of Morro do Chapéu, ca. 7 km. S. of town of Morro do Chapéu","-41.1558","-11.5503","1100","1100","NY00498847_01","(Pohl ex Benth.) Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
