"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03837395","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Strophopappus","bicolor","Strophopappus bicolor","DC.","R. L. Esteves","B. Maguire","56338","1963","08","26","South America","Brazil","Mato Grosso","Guiratinga","Serra da Saudade, camp 120 km beyond Alto Araguaia. Brasilia-Acre Highway","-53.7581","-16.3494","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4160340' target='other'> <mi>dwc_moreinfo</mi></a>","NY03837395","NY03837395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4106290","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Strophopappus","bicolor","Strophopappus bicolor","DC.","R. L. Esteves","Martii Herbar. Florae Brasil.","691",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,"Prope Cujabá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4529090' target='other'> <mi>dwc_moreinfo</mi></a>","NY04106290",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4106291","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Strophopappus","bicolor","Strophopappus bicolor","DC.","R. L. Esteves","Martii Herbar. Florae Brasil.","691",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,"[Prope Cuajabá, see NY 4106290]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4529094' target='other'> <mi>dwc_moreinfo</mi></a>","NY04106291",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:37:11-03","EAO","IAN","34823","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","(DC.) Mart.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN034823","IAN034823_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-26 15:10:33-03","UFPI","TEPB","19943","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","DC.","R. BARROS","R. BARROS","1098","2000","12","02",NA,"Brasil","Piauí","Currais","Subida da serra, semelhante ás formações rochosas","-44.812528","-8.852389",NA,NA,NA,"Subarbusto 1,20m, frutificado, papus paliáceo, dolha verde-escuro, coriáceas, discolor, face adaxial ferrugínea; caule ferrugíneo. Frequencia regular solo areno-pedregoso. Ambiente: Cerrado seco sem afloramento",NA,NA,NA,"2001","03","15","44°48'45,1W","08°51'08,6S",NA,NA,NA,NA
"6","2021-03-31 16:50:35-03","UFPI","TEPB","14212","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","DC.","R. BARROS","R. BARROS","1098","2000","12","02",NA,"Brasil","Piauí","Currais","Subida da Serra, semelhante às formações rochosas","-44.8125","-8.852222",NA,NA,NA,"Subarbusto de 1,2 m; frutificado. Pápus paliáceo, folha verde-escuro, coriácea, discolor, face adaxial ferrugínea; caule ferrugíneo; Frequência regular; solo areno-pedregoso Ambiente: Cerrado seco sem afloramento",NA,NA,NA,"2001","03","15","44°48'45W","08°51'08S",NA,NA,NA,NA
"7","2021-03-31 16:50:35-03","UFPI","TEPB","12698","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","DC.","R. BARROS","R. BARROS","681","2000","05","22",NA,"Brasil","Piauí","Currais","Descida da Serra de Uruçuí, próximo às formações rochosas","-44.811389","-8.852139","465","465",NA,"Subarbusto de 1 m, flor mauve, folha coriácea, discolor, face adaxial verde escuro, face abaxial marrom claro, pouco frequente, solo areno-pedregoso Ambiente: Cerrado sobre afloramento rochoso",NA,NA,NA,"2000","06","15","44°48'41W","08°51'07,7S",NA,NA,NA,NA
"8","2020-08-12 14:34:33-03","UFPI","TEPB","17932","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","DC.","L.Coradin","A.Fernandes & V.Rodrigues",NA,"1981","09","03",NA,"Brasil","Piauí","Ribeiro Gonçalves","Brejo das meninas","-45.2421989440918","-7.55833005905151","470","470",NA,"Subarbusto Ambiente: Cerrado",NA,NA,NA,"1987","07","04",NA,NA,"121004","auto",NA,NA
"9","2021-03-26 15:10:33-03","UFPI","TEPB","17923","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Strophopappus","bicolor","Strophopappus bicolor","DC.","R. BARROS","L.P. de Queiroz","1013","1986","11","13",NA,"Brasil","Bahia","Feira de Santana","BA 052, km 25 NW de Feira de Santana","-39.183333","-12.166667",NA,NA,NA,"Subarbusto de até 0,8m de alt., folhas semicoriáceas, discolores, flores lilases",NA,NA,NA,"2002","11","30","39°11'W","12°10'S",NA,NA,NA,NA
"10","2019-11-19 14:04:56-03","UFRPE","PEUFR","37211","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stilpnopappus","bicolor","Stilpnopappus bicolor","(DC.) Mart. ex Baker","R. Barros","R. Barros; L. Santos; F.A.R. Soares; J.O.S. Oliveira","1098","2000","12","02",NA,"Brasil","Piauí","Currais",NA,"-44.812528","-8.852389",NA,NA,NA,"Subarbusto com 1,20 m; frutificado; papus paliáceo; folha verde-escuro; coriácea discolor; face adaxial ferrugínea; caule ferrugíneo; frequência regular","PEUFR037211",NA,NA,"2001","03","15","44°48'45,1''W","08°51'8,6''S",NA,NA,NA,NA
