"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","imagecode","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:25:10-03","UNESC","CRI","13239","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","Trevisan, R","2015","Funez, L.A.; Trevisan, R.; Venturi, S. & Ferreira, J.P.R.","4062","2014","11","04","Brasil","Santa Catarina","Garuva","Alto Quiriri. Alto Quiriri.","-48.954444","-26.039167","48º57'16''W","26º2'21''S","1200","1200","CRI011811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","195615","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis",NA,NA,NA,"Davis, P.H., Da Cruz, N.D., Semir, J., Felippe, G.M., Kinoshita, L.S. & Shepherd, G.J.","3994","1976","09","30","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00195615","E. Tropical South America","herbarium specimen of unspecif","BGBASE:199930","<a href=http://data.rbge.org.uk/herb/E00195615 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","636833","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","H. K. Svenson",NA,"C. G. Bertero","613","1828","11",NA,"Chile",NA,NA,"In turfaceis Rancagua.",NA,NA,NA,NA,NA,NA,"NY00636833","South America","sheet",NA,"Unio itiner, 1835 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392990' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622842","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","M. Barros",NA,"L. B. Smith","10449","1957","01","25","Brazil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres, Campo dos Padres.","-49.4892","-27.7972",NA,NA,"1650","1650","NY00622842","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392986' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","NY00622842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622843","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees",NA,NA,"J. E. Leite","461","1941","10",NA,"Brazil","Rio Grande do Sul",NA,"Vicinity of S. Leopoldo.","-51.143791","-29.75136",NA,NA,NA,NA,"NY00622843","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392992' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales","NY00622843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","636830","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","E. R. Guaglianone",NA,"H. Balslev","1315","1980","12","31","Ecuador","Loja",NA,"Loja-Malacatos road km 13-15.",NA,NA,NA,NA,"2100","2200","NY00636830","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392989' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","636832","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees",NA,NA,"B. Rosengurtt","B-2196","1937","11","07","Uruguay","Paysandú",NA,"Agronomia.",NA,NA,NA,NA,NA,NA,"NY00636832","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392991' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 02:02:00-03","NY","NYBG","636831","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis",NA,"H. K. Svenson",NA,"G. Dawson","992","1940","11","11","Argentina","Buenos Aires",NA,"Punta Lara.",NA,NA,NA,NA,NA,NA,"NY00636831","South America","sheet",NA,"Flora del Partido de la Plata <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392988' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687571","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","S. González",NA,"T. M. Koyama","13694","1970","02","06","Brazil","Rio de Janeiro","Itatiaia","Lagoa da Lapa at Km 8 on road to Agulhas Negras","-44.735521","-22.357875",NA,NA,"2000","2000","NY00687571","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877797' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:51:59-03","EAO","IAN","74103","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","Eiten, LT","1963","Black, GA; Ledoux, PVD","14375","1952","05","02","Brasil","Pará",NA,"Rio Ararí. Ilha do Marajó. Fazenda Tuiuiú. Campo semi-inundado. Comum em certos lugares e muito denso.",NA,NA,NA,NA,NA,NA,"IAN074103","Southern America",NA,NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:51:59-03","EAO","IAN","74103","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees","Eiten, LT","1963","Black, GA; Ledoux, PVD","14375","1952","05","02","Brasil","Pará",NA,"Rio Ararí. Ilha do Marajó. Fazenda Tuiuiú. Campo semi-inundado. Comum em certos lugares e muito denso.",NA,NA,NA,NA,NA,NA,"IAN074103","Southern America",NA,NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:27:53-03","UFBA","ALCB","010458","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","bonariensis","Eleocharis bonariensis","Nees",NA,NA,"Krapovickas, A; Cristóbal, CL; Irigoyen, J; Schinini, A","s/n","1974","11","30","Argentina","Corrientes","Esquina","Costa del rio Corriente",NA,NA,NA,NA,NA,NA,"ALCB016225","Southern America",NA,NA,NA,"Monocotyledon",NA,"ALCB016225",NA,NA,NA,NA,NA,NA,NA,NA,NA
