"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","6954","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz","1988","Reitz; Klein","13364","1962","10","24","Brasil","Santa Catarina","Curitibanos","Ponte Alta do Sul.","-50.584722","-27.283333","50º35'5''W","27º17'0''S","1003","1003","Habitat: capão Habito: arbusto","CRI006426","CRI006426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","6878","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein","16265","1963","09","14","Brasil","Santa Catarina","Anita Garibaldi","Colônia Santa Ana.","-51.130278","-27.689722","51º7'49''W","27º41'23''S","600","600","Habitat: Pinhal Habito: arvoreta","CRI006429","CRI006429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","6880","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke",NA,NA,"A. Bresolin; R. M. Klein","1250","1976","11","23","Brasil","Santa Catarina","Videira","Parque Uva.","-51.151944","-27.008889","51º9'7''W","27º0'32''S","730","730",NA,"CRI006478","CRI006478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","6944","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein","14309","1962","12","20","Brasil","Santa Catarina","Campos Novos","Pinhal.","-51.225278","-27.402222","51º13'31''W","27º24'8''S","1000","1000","Habito: árvore","CRI006427","CRI006427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","1854","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein",NA,"1962","10","24","Brasil","Santa Catarina","Ponte Alta",NA,"-50.380556","-27.484722","50º22'50''W","27º29'5''S","900","900","Habitat: capão Habito: arbusto","CRI006421","CRI006421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","8533","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","M. Verdi","2009","M. Verdi; R. P. Hasckel & G. Klemz","1369","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","Arrozal.","-51.162778","-27.633333","51º9'46''W","27º38'0''S","762","762","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI006425","CRI006425","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:06-03","UNESC","CRI","12186","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","Uller, HF","2014","Uller, HF; Piazza, GE & Silva, D da","280","2014","01","01","Brasil","Santa Catarina","Guaramirim","Morro da Antena.","-49.043889","-26.535","49º2'38''W","26º32'6''S",NA,NA,"Doação Herbário FURB (46857) Habito: Arvoreta","CRI010364","CRI010364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:06-03","UNESC","CRI","1858","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein",NA,"1963","09","14","Brasil","Santa Catarina","Anita Garibaldi","Colônia Santa Ana.","-51.130278","-27.689722","51º7'49''W","27º41'23''S","600","600","Habitat: Pinhal Habito: arvoreta","CRI006423","CRI006423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:06-03","UNESC","CRI","6881","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein","13595","1962","10","26","Brasil","Santa Catarina","Canoinhas","Rio dos Poços.","-50.390278","-26.177778","50º23'25''W","26º10'40''S","750","750",NA,"CRI006477","CRI006477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:06-03","UNESC","CRI","6879","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein",NA,"1962","10","24","Brasil","Santa Catarina","Ponte Alta",NA,"-50.380556","-27.484722","50º22'50''W","27º29'5''S","900","900","Habitat: capão Habito: arbusto","CRI006428","CRI006428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:22-03","UNESC","CRI","11294","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","A. L. de Gasper",NA,"M. Verdi; B. Grosch & G. Klemz","1281","2008","12","17","Brasil","Santa Catarina","Capão Alto",NA,"-50.805","-28.125","50º48'18''W","28º7'30''S",NA,NA,"Floresta Estacional Decidual","CRI006479","CRI006479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:06-03","UNESC","CRI","1857","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein",NA,"1962","10","26","Brasil","Santa Catarina","Canoinhas","Rio dos Poços.","-50.390278","-26.177778","50º23'25''W","26º10'40''S","750","750",NA,"CRI006420","CRI006420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:22-03","UNESC","CRI","6953","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. M. Klein","1988","R. Reitz; R. M. Klein","13595","1962","10","29","Brasil","Santa Catarina","Canoinhas","rio dos poços.","-50.390278","-26.177778","50º23'25''W","26º10'40''S","773","773",NA,"CRI006480","CRI006480","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:06-03","UNESC","CRI","1855","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein","13755","1962","10","28","Brasil","Santa Catarina","Caçador","Fazenda Carneiros.","-51.015278","-26.775833","51º0'55''W","26º46'33''S","1100","1100",NA,"CRI006424","CRI006424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:06-03","UNESC","CRI","1856","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","R. Reitz",NA,"Reitz; Klein","16166","1963","09","12","Brasil","Santa Catarina","Campos Novos",NA,"-51.225278","-27.402222","51º13'31''W","27º24'8''S","1000","1000","Habitat: capão Habito: árvore","CRI006422","CRI006422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1795762","PreservedSpecimen","Plantae","Canellaceae","Capsicodendron","pimenteira","Capsicodendron pimenteira","Hoehne",NA,NA,"F. C. Hoehne","s.n. [=herb. SP 27074]","1930","10",NA,"Brazil","São Paulo","São Paulo","Parque de Estado, Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024091' target='other'> <mi>dwc_moreinfo</mi></a>","NY01795762","NY01795762_01",NA,NA,"Magnoliophyta","Canellales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","95011","PreservedSpecimen","Plantae","Canellaceae","Capsicodendron","pimenteira","Capsicodendron pimenteira","Hoehne",NA,NA,"F. C. Hoehne","Herb. No.27074","1930","10",NA,"Brazil","São Paulo",NA,"Sao Paulo (Capital), nativa na mata do Parque do Estado e Jardim Botanico.","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095011","NY00095011_01",NA,NA,"Magnoliophyta","Canellales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","95012","PreservedSpecimen","Plantae","Canellaceae","Capsicodendron","pimenteira","Capsicodendron pimenteira","Hoehne",NA,NA,"F. C. Hoehne","27074","1931","08","10","Brazil","São Paulo",NA,"Parque do Estado, S. Paulo.","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095012","NY00095012_01",NA,NA,"Magnoliophyta","Canellales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","95013","PreservedSpecimen","Plantae","Canellaceae","Capsicodendron","pimenteira","Capsicodendron pimenteira","Hoehne",NA,NA,"F. C. Hoehne","27074",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095013","NY00095013_01",NA,NA,"Magnoliophyta","Canellales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","423968","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","J. Salazar",NA,"G. G. Hatschbach","18340","1968","01","19","Brazil","Paraná","Guarapuava","Pôrto Agro-Pecuário","-51.4581","-25.3956",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423968","NY00423968_01",NA,NA,"Magnoliophyta","Canellales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","423971","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","J. Salazar",NA,"G. G. Hatschbach","16703","1967","07","19","Brazil","Paraná","Sao José dos Pinhais","Purgatório","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423971","NY00423971_01",NA,NA,"Magnoliophyta","Canellales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","423973","PreservedSpecimen","Plantae","Canellaceae","Cinnamodendron","dinisii","Cinnamodendron dinisii","Schwacke","J. Salazar",NA,"K. Kubitzki","8561","1985","04","09","Brazil","Paraná","Curitiba","Capanema","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00423973","NY00423973_01",NA,NA,"Magnoliophyta","Canellales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
