"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode"
"1","2019-11-21 14:32:46-03","UFJF","CESJ","42259","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Billbergia","pohliana","Billbergia pohliana","Mez","A.P.G. de Faria","2010","06","10","F.R.G. Salimena; K. Antunes; C.N. Matozinhos; O.J. Bastos Neto; P.H. Nobre","1283","2004","05","21","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil, cânion.","-43.8278007507324","-22.0891990661621","20815","Epífita, no interior de mata úmida. Brácteas róseas, sépalas e pétalas verdes com ápice roxo, estames verdes, anteras amarelas.","CESJ042259","auto",NA
"2","2017-09-11 17:09:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Bromeliaceae","Billbergia","pohliana","Billbergia pohliana","Mez",NA,NA,NA,NA,"Pohl, JBE","5508",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in Brasilia loco non indicato",NA,NA,NA,"(V. s. in herb. Vindob.)",NA,NA,"P03P3N0078"
"3","2019-11-21 10:02:33-03","IBt","SP","52797","S","Plantae",NA,"Bromeliaceae","Billbergia","pohliana","Billbergia pohliana","Mez","Smith, LB","1953","12",NA,"Heringer, EP","1919","1945","06","06",NA,"Brasil","Minas Gerais","Coronel Pacheco","Estação Experimental do Café","-43.2655982971191","-21.5877990722656","10350",NA,"SP051148","auto","SP051148"
