"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","26953","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","subumbellata","Rhynchosia reticulata subumbellata","Chodat & Hassl.","isotype","E. Hassler","7097","1900","02","South America","Paraguay","Cordillera","Cordillerae Centralis; In regione cursus superioris fluminis Y-acá; in campo pr. Valenzuela","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026953","NY00026953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 13:03:00-02","NY","NYBG","605717","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata",NA,NA,"W. Hoehne","s.n.","1949","05","South America","Brazil","São Paulo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605717","NY00605717_01","27","Jales","-50.54","-20.2603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 14:25:00-02","NY","NYBG","605719","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"A. Gehrt","31736","1934","04","South America","Brazil","São Paulo","Aldeia de Carapicuiba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605719","NY00605719_01","29","Carapicuiba","-46.83","-23.5203","J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-02 14:11:00-02","NY","NYBG","01045132","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"A. P. Duarte","742","1946","12","South America","Brazil","Minas Gerais","Ressaquinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045132","NY01045132_01","02",NA,NA,NA,"J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-02 14:06:00-02","NY","NYBG","01045034","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata",NA,NA,"E. P. Heringer","11862","1969","07","South America","Brazil","Goiás","Margem do Rio Corumbá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187471' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045034","NY01045034_01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 13:03:00-02","NY","NYBG","605713","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata",NA,NA,"R. Schultze-Kraft","5-2/LC3467","1980","10","South America","Brazil","Goiás","Carretera BR 153 (Anápolis-Belém), 32 km SE de Ceres; lado N río Saraiba; Km 111 NO Anápolis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605713","NY00605713_01","03","Jaraguá","-49.3342","-15.7569","R. C. Barneby","610","610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","26952","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","ovalifolia","Rhynchosia reticulata ovalifolia","Chodat & Hassl.","isotype","E. Hassler","4655",NA,NA,"South America","Paraguay",NA,"In campis pr. fluminis Jejuiguazu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026952","NY00026952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01045082","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"H. S. Irwin","5523","1964","08","South America","Brazil","Minas Gerais","Fazenda Furquilho Novo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045082","NY01045082_01","23","Burití","-46.4302778","-15.6171","J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1144858","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"D. B. O. S. Cardoso","815","2005","09","South America","Brazil","Bahia","ARIE Serra do Orobó. Serra da Gameleira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299872' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144858","NY01144858_01","21","Itaberaba","-40.5369","-12.3878","L. P. de Queiroz","540","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","605716","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"H. S. Irwin","17412","1966","06","South America","Brazil","Mato Grosso","Drainage of the upper Rio Araguaia, ca. 96 km. S. of Xavantina.","sheet","Field work conducted with the collaboration of the Universidade de Brasília, Instituto Agronômico do Norte, and the Fundaçao Brasil Central. Supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605716","NY00605716_01","18","Barra do Garças","-52.2567","-15.8903","J. W. Grear","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00605715","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"C. A. Cid Ferreira","4745","1984","06","South America","Brazil","Rondônia","BR 364, rodovia Cuiabá-Porto Velho, km 234, ao Norte da cidade, morro da Torre da EMBRATEL.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605715","NY00605715_01","26","Cacoal","-62.03","-11.2","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:25:00-02","NY","NYBG","605714","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"L. O. Williams","6019","1945","03","South America","Brazil","Minas Gerais","Near the slaughterhouse for Belo Horizonte, 10 km. north of Belo Horizonte.","sheet","Collected for the Arnold Arboretum; distributed by the Gray Herbarium. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605714","NY00605714_01","16","Belo Horizonte","-43.9378","-19.9208","J. W. Grear","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","605718","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Pohl","1995",NA,NA,"South America","Brazil",NA,"Arrayat Frahiras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605718","NY00605718_01",NA,NA,NA,NA,"J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01045107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"G. G. Hatschbach","38823","1976","07","South America","Brazil","Goiás","Rio Corumbá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045107","NY01045107_01","11","Ipameri","-48.1594","-17.7219","J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","26951","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","oblongifolia","Rhynchosia reticulata oblongifolia","Chodat & Hassl.","isotype","E. Hassler","4176",NA,NA,"South America","Paraguay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=24410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026951","NY00026951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 14:25:00-02","NY","NYBG","605719","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"A. Gehrt","31736","1934","04","South America","Brazil","São Paulo","Aldeia de Carapicuiba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605719","NY00605719_01","29","Carapicuiba","-46.83","-23.5203","J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-11-02 14:11:00-02","NY","NYBG","01045132","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"A. P. Duarte","742","1946","12","South America","Brazil","Minas Gerais","Ressaquinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045132","NY01045132_01","02",NA,NA,NA,"J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1144858","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"D. B. O. S. Cardoso","815","2005","09","South America","Brazil","Bahia","ARIE Serra do Orobó. Serra da Gameleira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299872' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144858","NY01144858_01","21","Itaberaba","-40.5369","-12.3878","L. P. de Queiroz","540","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-11-01 14:25:00-02","NY","NYBG","605714","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"L. O. Williams","6019","1945","03","South America","Brazil","Minas Gerais","Near the slaughterhouse for Belo Horizonte, 10 km. north of Belo Horizonte.","sheet","Collected for the Arnold Arboretum; distributed by the Gray Herbarium. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605714","NY00605714_01","16","Belo Horizonte","-43.9378","-19.9208","J. W. Grear","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","605718","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Pohl","1995",NA,NA,"South America","Brazil",NA,"Arrayat Frahiras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605718","NY00605718_01",NA,NA,NA,NA,"J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01045107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"G. G. Hatschbach","38823","1976","07","South America","Brazil","Goiás","Rio Corumbá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045107","NY01045107_01","11","Ipameri","-48.1594","-17.7219","J. W. Grear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","32985","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Gonzaga, D.R.","643","2015","12",NA,"Brasil","Minas Gerais","Sítio Rancho Novo",NA,NA,"BOTU032985",NA,"23","Barbacena","-43.75","-21.216667","Mattos, C,",NA,NA,"2016","06","43°45'00w","21°13'00s",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","33773","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Pereira-Silva, G.","235","1981","07",NA,"Brasil","Mato Grosso","Aldeia São Marcos - Aldeia Namuncurá",NA,NA,"BOTU033773",NA,"31","Barra do Garças",NA,NA,"Bezerra, L.M.P.A.",NA,NA,"2019","08","9999","9999",NA,NA,NA,NA,NA,NA,NA
"24","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","33795","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Dias, T.A.B.","673","1993","07",NA,"Brasil","Goiás","Margem esquerda do rio Corumbá, cerca de 1 km a montante da barragem da UHF Corumbá",NA,NA,"BOTU033795",NA,"30","Caldas Novas","-48.533333","-17.983333","Bezerra, L.M.P.A.",NA,NA,"2019","08","48°32'00w","17°59'00s",NA,NA,NA,NA,NA,NA,NA
"25","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","32986","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Duarte, A.P.","742","1946","12",NA,"Brasil","Minas Gerais",NA,NA,NA,"BOTU032986",NA,"02","Ressaquinhq",NA,NA,"Barros, M.M.",NA,NA,"1962","06","9999","9999","15",NA,NA,NA,NA,NA,NA
"26","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","33771","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Pereira-Silva, G.","5282","2001","08",NA,"Brasil","Goiás","Margem direita do rio do Carmo, próximo á ponte de madeira",NA,NA,"BOTU033771",NA,"22","Cavalcante","-48.113611","-3.406667","Bezerra, L.M.P.A.",NA,NA,"2019","08","48°06'49w","3°24'24s",NA,NA,NA,NA,NA,NA,NA
