"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber"
"1","2020-09-23 10:38:32-03","E","E","273020","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Werdermann, Erich","174","Temperate South America","CL","Región IV [Coquimbo]","Rivadavia","800","800","herbarium specimen of unspecif","BGBASE:275621","<a href=http://data.rbge.org.uk/herb/E00273020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00273020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","151882","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Bang, A. Miguel","1072","W. Tropical South America","BO",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:160078","<a href=http://data.rbge.org.uk/herb/E00151882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","153102","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis",NA,NA,"E. Tropical South America","BR",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:160339","<a href=http://data.rbge.org.uk/herb/E00153102 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","153103","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Reineck, E.M.",NA,"E. Tropical South America","BR",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:160338","<a href=http://data.rbge.org.uk/herb/E00153103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01091824","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","E. L. M. Catharino","1859","South America","Brazil","Mato Grosso do Sul","Brasilandia, estrada Porto Joao André-Brasilandia, várzea do rio Paraná. Margem de mata localmente denominada coroa. Beira da mata",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264243' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091824","Magnoliophyta","Poales","Lam.","C. F. S. Muniz","1992","11","26","Brasilândia","-52.0367","-21.2558","NY01091824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01174576","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","L. Buscalioni","3500","South America","Brazil","Pará",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396018' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174576","Magnoliophyta","Poales","Lam.","A. C. Araújo",NA,NA,NA,NA,NA,NA,"NY01174576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622558","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","S. Tsugaru","B-47","South America","Brazil","São Paulo","In precincts of the Oomoto Hakko-en, Fernando Pessoa, Jandira.","750","750","sheet",NA,"Herb. Oomoto Kameyama Botanical Garden <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622558","Magnoliophyta","Poales","Lam.",NA,"1987","07","06",NA,NA,NA,"NY00622558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01174577","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","J. M. Pires","52388","South America","Brazil","Amapá",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174577","Magnoliophyta","Poales","Lam.","T. M. Koyama",NA,NA,NA,NA,NA,NA,"NY01174577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","688147","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus obtusangulus","C. E. O. Kuntze","s.n.","South America","Bolivia","Santa Cruz","Yapacani [Río Yapacani]",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688147","Magnoliophyta","Poales","Kuntze",NA,"1892","04",NA,"Ichilo",NA,NA,"NY00688147_01","obtusangulus","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","11780","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus trigonus","G. H. E. W. Hieronymus","s.n.","South America","Argentina","Córdoba","Pr. urbom.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011780","Magnoliophyta","Poales","Kuntze","M. F. Denton","1878","12","16",NA,NA,NA,"NY00011780_01","trigonus","lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-10-19 09:38:00-02","NY","NYBG","11779","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","C. Galander","20bis","South America","Argentina","Córdoba",NA,NA,NA,"sheet",NA,"Label on sheet is of Otto Kuntze._ Date is x. 81 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011779","Magnoliophyta","Poales",NA,"C. B. Clarke","1881","10",NA,NA,NA,NA,"NY00011779_01",NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
