"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:34-03","UNESC","CRI","11434","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Meyer, F.S.","Meyer F.S.","123","2005","10","28","Brasil","Santa Catarina","São Bento do Sul","Arredores do Centro de Estudos e Pesquisas Ambientais - CEPA Rugendas - Rio Natal.","-49.378611","-26.250556","49º22'43''W","26º15'2''S","851","851","Floresta Ombrófila Densa Montana Habitat: local aberto, ensolarado Habito: arbusto","CRI003276","CRI003276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:22-03","UNESC","CRI","4835","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Vanilde C. Zanette","Robson dos Santos",NA,NA,NA,NA,"Brasil","Santa Catarina","Siderópolis","Parque ecológico.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,NA,"CRI003278","CRI003278","1995","06","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:22-03","UNESC","CRI","9236","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke",NA,"Birgit Harter Marques",NA,"2006","09","27","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI003339","CRI003339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:34-03","UNESC","CRI","15298","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","João Paulo Gava Just","João Paulo Gava Just",NA,"2020","01","09","Brasil","Santa Catarina","Nova Veneza","Estrada Centenária.","-49.468333","-28.643333","49º28'6''W","28º38'36''S","183","183","Flor verde. (JGJ_003) Habito: Arvoreta","CRI014715",NA,"2020","01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:34-03","UNESC","CRI","11206","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","A. Korte","A. Korte; A. Kniess","1796","2010","02","18","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.130556","-27.000278","50º7'50''W","27º0'1''S","350","350","Floresta Ombrófila Densa Habito: arvoreta","CRI003338","CRI003338","2010","03","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:22-03","UNESC","CRI","3335","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Vanilde Citadini- Zanette","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1993","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003279","CRI003279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:22-03","UNESC","CRI","13823","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Alexandre Medeiros","Alexandre Medeiros","1011","2018","06","27","Brasil","Santa Catarina","Balneário Camboriú","Morro do boi APA Costa Brava","-48.599722","-27.042222","48º35'59''W","27º2'32''S",NA,NA,"Frutos de cor laranja Habitat: Terrestre Habito: Arbórea","CRI012434",NA,"2018","06","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 15:16:31-03","UNESC","CRI","12205","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Guilherme Lodetti","Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha",NA,"2016","07","28","Brasil","Santa Catarina","Orleans","Parque Estadual da Serra Furada","-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450",NA,"CRI010383",NA,"2017","02","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:22-03","UNESC","CRI","11831","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Guilherme Lodetti","Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.392778","-28.191667","49º23'34''W","28º11'30''S","490","490","Floresta Ombrófila Densa Montana Habito: árvore","CRI003340","CRI003340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:22-03","UNESC","CRI","11179","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","A. L. de Gasper","S. Dreveck; F. E. Carneiro","1414","2009","11","24","Brasil","Santa Catarina","Corupá","Sertãozinho.","-49.41","-26.369722","49º24'36''W","26º22'11''S","857","857","Floresta Ombrófila Densa","CRI003341","CRI003341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
