"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","individualCount","phylum","order","infraspecificEpithet","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12919","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina","A.Rich.","Alexandre Medeiros","2017","12","06","Alexandre Medeiros","2017","12","06","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Flores verdes com pintas castanhas. Coleta 818. Habito: Epífita","CRI011527","CRI011527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4241","S","Plantae","Orchidaceae","Cattleya","leopoldii","Cattleya leopoldii",NA,"Carlos Alberto Ferreira Júnior","2017","11","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3941","S","Plantae","Orchidaceae","Cattleya","leopoldii","Cattleya leopoldii alba x alba trilabelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"1","Magnoliophyta","Asparagales","alba x alba trilabelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3941","S","Plantae","Orchidaceae","Cattleya","leopoldii","Cattleya leopoldii alba x alba trilabelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"1","Magnoliophyta","Asparagales","alba x alba trilabelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4175","S","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina",NA,"Carlos Alberto Ferreira Júnior","2017","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843999","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina","A.Rich.",NA,NA,NA,NA,"F. C. Hoehne","1923","03","07","Brazil","Minas Gerais",NA,"Serra do Areião. Cult. na estufa no Horto Osw. Cruz em Butantan",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134400' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843999","NY01843999_01",NA,"Magnoliophyta","Asparagales",NA,"8205","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:36-03","UFBA","ALCB","104777","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","leopoldii","Cattleya leopoldii","(Lern.) Versh.",NA,"2015",NA,NA,"Moura, L","2011","10","14","Brasil","Bahia","Mucugê","Chapada Diamantina, Serra do Sincorá. Morro do Cruzeiro, atrás do cemitério","-41.3708000183105","-13.0052995681763",NA,NA,"Folhas discolores verdes na face adaxial e abaxial vináceo. Ramos da inflorescência e cálice vináceo. Corola laranja.","ALCB006144","ALCB006144",NA,"Monocotyledon",NA,NA,"149","Southern America",NA,"52493","auto",NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:36-03","UFBA","ALCB","62748","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina","A.Rich.","Carvalho, DN","2014","09","09","Dormundo, A","1998",NA,NA,"Brasil","Bahia",NA,"Região Metropolitana Salvador, Planta mantida em cultivo",NA,NA,NA,NA,"60 cm. Flor roxa. Floresceu em Janeiro/2003. Planta cultivada.","ALCB009028",NA,NA,"Monocotyledon",NA,NA,"01","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:36-03","UFBA","ALCB","70828","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina","A.Rich.","Carvalho, DN","2014","09","09","Oliveira, ALPC de","2005","01",NA,"Brasil","Bahia","Salvador","Região Metropolitana Salvador, Planta cultivada","-38.5","-12.966667","-38.5","-12.966667","Planta cultivada.","ALCB009026",NA,NA,"Monocotyledon",NA,NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:28:36-03","UFBA","ALCB","9972","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","tigrina","Cattleya tigrina","A.Rich.","Cruz da","2003","03",NA,"Grupo Pedra do Cavalo","1980","09",NA,"Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Ipuaçu","-39.083333","-12.533333","-39.083333","-12.533333","Ca. de 50cm. Folhas largas. Inflorescências com ca. de dez flores róseo-solferino com labelo bem encarnado e pétalas variegadas.",NA,NA,NA,"Monocotyledon",NA,NA,"759","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
