"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","dayIdentified","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","720518","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","A. F. M. Glaziou","s.n.","South America","Brazil","sheet","Herbier de A. Glaziou donné par Mme Simart, sa fille, en 1907. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720518","NY00720518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","719901","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","G. Gardner","4821","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2524836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719901","NY00719901_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01873441","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","F. A. Santana","97","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933785' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873441","NY01873441_01","Bahia","2011","12","22","Licínio de Almeida","Serra Geral, Espinhaço.","-42.5356","-14.4814","1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:50-03","EAO","IAN","94123","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Haplostephium","ramosissimum","Haplostephium ramosissimum","Sch.Bip.","Glaziou, AFM","14962","Southern America","Brasil",NA,NA,"IAN094123",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:46-03","UFBA","ALCB","106555","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","316","Southern America","Brasil",NA,"ca. 1,20m alt. folhas discolores; brácteas involucrais verdes amarronzadas; corola roxa; ramos do estilete lilases; pápus alvo.",NA,NA,"Bahia","2013","01","22","Licínio de Almeida","Serra Geral, Xaxá, trilha para a gruta","-42.544722","-14.654167","942","Afonso, F","2013","02","-42.544722","-14.654167","942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:46-03","UFBA","ALCB","106559","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","321","Southern America","Brasil",NA,"ca 1m alt. Folhas discolores; brácteas involucrais verdes; corola e ramos do estilete lilases; pápus alvo.",NA,NA,"Bahia","2013","01","23","Licínio de Almeida","Serra Geral, Xaxá, trilha p/ Cachoeirão","-42.543056","-14.676944","931","Afonso, F","2013","02","-42.543056","-14.676944","931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:46-03","UFBA","ALCB","108516","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Roque, N; Alves, M; Santana, FA; Hurbath, F","3275","Southern America","Brasil",NA,"ca 50cm alt. Brácteas involucrais verdes. Flores lilases, pápus alvo.",NA,NA,"Bahia","2011","09","15","Licínio de Almeida","Serra Geral. Curral do Estevão.","-42.568333","-14.586111","1041","Santana, FA","2012","08","-42.568333","-14.586111","1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:46-03","UFBA","ALCB","108530","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Roque, N; Alves, M; Santana, FA; Hurbath, F","3306","Southern America","Brasil",NA,"ca. 60cm alt. Brácteas involucrais esverdeadas com ápice lilás. Flores roxas. Pápus alvo.",NA,NA,"Bahia","2011","09","16","Licínio de Almeida","Serra Geral. Fazenda Santa Clara.","-42.557778","-14.553611","983","Santana, FA","2012","08","-42.557778","-14.553611","983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:46-03","UFBA","ALCB","108578","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Roque, N; Santana, FA; Borges, RL; Oliveira, GR de; Stadnik, A","3611","Southern America","Brasil",NA,"ca. 2,0m alt. Folhas discolores. Brácteas involucrais verdes. Corola lilás passando a alva.",NA,NA,"Bahia","2012","07","19","Licínio de Almeida","Cascarrento.","-42.555278","-14.553611","977","Santana, FA","2012","07","-42.555278","-14.553611","977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:46-03","UFBA","ALCB","108605","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","ramosissima","Lychnophora ramosissima","Gardner","Roque, N; Stadnik, A; Hurbath, F; Oliveira, GR de; Borges, RL","3801","Southern America","Brasil",NA,"ca. 40cm alt., muito ramificado. Brácteas involucrais verdes. Corola lilás. Pápus de páleas alvas, evidentes.",NA,NA,"Bahia","2012","10","28","Licínio de Almeida","Cascarrento.","-42.557778","-14.553611","1003","Santana, FA","2012","10","-42.557778","-14.553611","1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
