"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","yearIdentified","monthIdentified","typeStatus","recordNumber","continentOcean","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","occurrenceRemarks","fieldNumber","preparationType","class","order","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","2813","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","apiculata","Neomitranthes apiculata","(Burret) Mattos","Graziela","P. J. Fontanella; D. Dunn","1970","09","10","Brasil","Rio de Janeiro","Rio de Janeiro","-43.172778","-22.906667","43º10'22''W","22º54'24''S","CRI005229","CRI005229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:56-03","EAO","IAN","93924","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","apiculata","Mitranthes apiculata","Burret","Mattos, JR de","Glaziou, AFM",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN093924",NA,"Dicotiledônea","1963","08","isoparatipo","19875","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 09:31:39-03","UFRRJ","RBR","38201","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","A.L. Peixoto","G.R. Souza","2000","06","11","Brasil","Rio de Janeiro","Volta Redonda","-44.083333","-22.550556","44º5'0''W","22º33'2''S","RBR00038201","RBR00038201",NA,"2001","09",NA,"362",NA,"14","Floresta da Cicuta, Vale do Paraíba do Sul. 22°33#?#2#?##?#S, 44°05#?#00#?# O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:31:39-03","UFRRJ","RBR","42435","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","L.F. Gonçalves","L.F. Gonçalves","2017","03","01","Brasil","Rio de Janeiro","Teresópolis","-43.002222","-22.458333","43º0'8''W","22º27'30''S","RBR00042435",NA,NA,NA,NA,NA,"389",NA,NA,"Parque Nacional da Serra dos Órgãos. Trilha do Rancho Frio. Parque Nacional da Serra dos Órgãos","1251","1251",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 09:31:39-03","UFRRJ","RBR","42941","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","T.P.P. Alverga","T.P.P. Alverga","2015","05","28","Brasil","Rio de Janeiro","Petrópolis","-43.230556","-22.521389","43º13'50''W","22º31'17''S","RBR00042941",NA,NA,NA,NA,NA,NA,NA,NA,"Inventário Carbono - Rio de Janeiro. Inventário complementar S.A.U / A 1615.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:31:39-03","UFRRJ","RBR","42942","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","T.P.P. Alverga","T.P.P. Alverga","2015","05","28","Brasil","Rio de Janeiro","Petrópolis","-43.230556","-22.521389","43º13'50''W","22º31'17''S","RBR00042942",NA,NA,NA,NA,NA,NA,NA,NA,"Inventário Carbono - Rio de Janeiro. Inventário complementar S.A.U nº 1615.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:31:39-03","UFRRJ","RBR","38212","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","M.C. Souza","G.R. Souza; G.R. Alves","2011","06","19","Brasil","São Paulo","Arapeí","-44.439998626709","-22.6700000762939",NA,NA,"RBR00038212","RBR00038212",NA,"2015","11",NA,"1627",NA,"27","Brasil, Arapeí SP, Fragmento da Baleia, Vale do Paraíba do Sul. Floresta semidecidual. ca.22°37#?#16,14#?##?#S 44°26#?#24,93#?##?# O, 619m.",NA,NA,"13253","auto",NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:31:39-03","UFRRJ","RBR","45287","S","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos",NA,"M.C. Souza; L.F.G. Silva, L. Carvalho","2012","09","14","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"RBR00045287","RBR00045287",NA,NA,NA,NA,"1088",NA,NA,"Parque Nacional da Serra dos Orgãos. Estrada subindo para a barragem km2, margem do rio Paqueque.",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:37:35-03","MBM","MBM","425739","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","Gonçalves, L.F.","Gonçalves, L.F.","2017","03","01","Brazil","Rio de Janeiro","Teresópolis","-43.002222","-22.458333","-43.002222","-22.458333","MBM425739",NA,NA,NA,NA,NA,"389","Southern America",NA,"Parque Nacional da Serra dos Orgãos, Trilha do Rancho Frio","1251","1251",NA,NA,"Árvore aprox. 20 m. DAP, 35 cm, flores ainda em botões, caule não descamante.",NA,NA,NA,NA,NA
"10","2015-09-04 22:15:14-03","MNHN","RECOLNAT_MNHN_P","P05238857","PreservedSpecimen",NA,"Myrtaceae","Neomitranthes","amblymitra","Neomitranthes amblymitra","(Burret) Mattos","Giaretta","Glaziou","1872","7","2","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P05238857","P05238857_01 P05238857_02",NA,NA,NA,NA,NA,NA,NA,"Alto Macaé.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05238857' target='other'> <mi>dwc_moreinfo</mi></a>","19350","hb",NA,NA,NA
