"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414842","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.","P. J. Cribb","R. M. Harley","19513","1977","02","17","South America","Brazil","Bahia","Lower NE slopes of the Pico das Almas, ca 25 km WNW of the Vila do rio de Contas","-41.95","-13.55","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414842","NY00414842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 14:39:00-02","NY","NYBG","414844","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa",NA,"Hoehne; Schltr.","A. Gehrt","5356","1921","03","07","South America","Brazil","São Paulo","Alto da Serra, Sao Paulo. Estaçao Biológica","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414844","NY00414844_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414843","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.",NA,"R. M. Harley","20803","1980","03","23","South America","Brazil","Bahia","Serra do Sincorá. W of Barra da Estiva on the road to Jussiape","-41.42","-13.67","1000","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414843","NY00414843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547505","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","paulensis","Cleistes paulensis","Schltr.","G. F. J. Pabst","H. S. Irwin","22350","1969","01","21","South America","Brazil","Minas Gerais","Ca. 20 km SW of Diamantina",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=751538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547505","NY00547505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547502","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","paulensis","Cleistes paulensis","Schltr.","G. F. J. Pabst","H. S. Irwin","32124","1971","03","18","South America","Brazil","Goiás","Ca. 20 km N of Alto do Paraiso","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=751540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547502","NY00547502_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547504","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","paulensis","Cleistes paulensis","Schltr.","G. F. J. Pabst","H. S. Irwin","22378","1969","01","21","South America","Brazil","Minas Gerais","Ca. 20 km SW of Diamantina",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=751539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547504","NY00547504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547503","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","paulensis","Cleistes paulensis","Schltr.","G. F. J. Pabst","H. S. Irwin","22350","1969","01","21","South America","Brazil","Minas Gerais","Ca. 20 km SW of Diamantina",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=751537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547503","NY00547503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:42-03","EAO","IAN","69589","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","Schltr.","Pabst, GFJ","Black, GA; Magalhães, MG","11761","1951","04","06","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Flor rósea.","IAN069589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:42-03","EAO","IAN","138469","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","paulensis","Cleistes paulensis","Schltr.","Pabst, GFJ","Irwin, HS; Santos, RR dos","22378","1969","01","21","Southern America","Brasil","Minas Gerais",NA,NA,NA,"1300","1300",NA,"Terrestrial, to ca. 50 cm tall. Perianth dull red-violet, the labellum white veined purple.","IAN138469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1456850","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.",NA,"Harley RM; et al.",NA,"1977","02","17","Southern America","Brazil",NA,"Brazil: Estado Da Bahia, Serra Das Almas, lower N.E. slopes of the Pico das Almas, ca. 25 km W.N.W. of the Villa do Rio de Contas.","-41.95","-13.55",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1456850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1456850","NL-U1456850",NA,"Magnoliopsidae","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA,NA
