"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00567898","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","microspadix","Butia microspadix","Burret","A. C. Cervi","A. C. Cervi","6311","1997","10","10","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha.","-49.97","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567898","NY00567898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00567899","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","microspadix","Butia microspadix","Burret",NA,"L. R. Noblick","4881","1992","05","18","South America","Brazil","Paraná","Ponta Grossa","Km 518 on BR 376, ca. 2-3 km E. of the turnoff for Vila Velha.","-50.15","-25.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567899","NY00567899_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","567894","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","microspadix","Butia microspadix","Burret","H. Cropper","G. G. Hatschbach","23943","1973","10","20","South America","Brazil","Paraná","Campo Mourao","Aeroporto.","-52.3831","-24.0458","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567894","NY00567894_01 NY00567894_02 NY00567894_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00567900","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","microspadix","Butia microspadix","Burret","H. Cropper","R. Pardini","81","1992","07","14","South America","Brazil","Paraná","Jaguariaíva","Km 135 da rodovia PR 151.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567900","NY00567900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00567901","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","microspadix","Butia microspadix","Burret","L. R. Noblick","G. G. Hatschbach","29229","1972","02","17","South America","Brazil","Paraná","Sengés","Fda. Morungava.","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567901","NY00567901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:00:30-03","ESALQ","ESA","63229","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Butia","microspadix","Butia microspadix",NA,NA,"Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063229","ESA063229",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:00:30-03","ESALQ","ESA","63228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Butia","microspadix","Butia microspadix","Burret","Ellert-Pereira, P.E.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063228","ESA063228",NA,NA,"27729","auto","2015","05","28",NA,NA,NA,NA,NA
"8","2020-11-04 11:00:30-03","ESALQ","ESA","26333","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Butia","microspadix","Butia microspadix","Burret","Boudet Fernandes, H.Q.","Souza, V.C.; Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.","8778.0","1995","08","18",NA,"Brasil","São Paulo","Itararé","Estrada Itararé - Itapeva, próximo à ponte do Rio Verde. Área de brejo com transição para cerrado nos pontos mais altos.","-49.3400001525879","-24.1100006103516",NA,"Planta de ca. 1m alt., com caule curto; flores creme. Cerrado.","ESA026333",NA,NA,NA,"27729","auto","2000","05","11",NA,NA,NA,NA,NA
"9","2015-07-02 14:00:37-03","JBP","HPL","1529","S","Plantae",NA,NA,"Arecaceae","Butia","microspadix","Butia microspadix","Burret","H. Lorenzi","A.G. Ribeiro","196","1999","10","20",NA,"Brasil","PR","Ponta Grossa","Parque Vila Velha.","-50.1619","-25.095",NA,NA,NA,NA,NA,NA,"46557","auto","1999","10","20",NA,NA,NA,NA,NA
"10","2015-07-02 14:00:37-03","JBP","HPL","11628","S","Plantae",NA,NA,"Arecaceae","Butia","microspadix","Butia microspadix",NA,"H. Lorenzi","H. Lorenzi & S. T. B. Flores","6841","2010","03","02",NA,"Brasil","PR","Ponta Grossa","Coletado na localidade de Uvaranas.","-50.1619","-25.095",NA,NA,NA,NA,NA,NA,"46557","auto","2010","03","10",NA,NA,NA,NA,NA
"11","2019-11-21 14:31:02-03","UFJF","CESJ","11286","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Butia","microspadix","Butia microspadix","Burret","H.Q.B.Fernandes","L. Krieger","CESJ11286","1971","12","18","América do Sul","Brasil","Paraná","Vila Vellha",NA,NA,NA,NA,"No campo arenoso, quase acaule, inflorescência em espiga composta. Folhas verdes.","CESJ011286","CESJ011286",NA,NA,NA,NA,"1990","05","11",NA,NA,NA,NA,NA
"12","2019-11-21 14:31:02-03","UFJF","CESJ","7722","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Butia","microspadix","Butia microspadix","Burret","S.M.S. Verardo","L. Krieger","CESJ7722","1965","12","22","América do Sul","Brasil","Paraná","Vila Vellha",NA,NA,NA,NA,"No campo, acaule.","CESJ007722","CESJ007722",NA,NA,NA,NA,"1990","08","16",NA,NA,NA,NA,NA
