"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","895076","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","H. E. Robinson","B. Maguire","49133","1960","08","09","South America","Brazil","Minas Gerais","West of Serra from Concepcao to Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895076","NY00895076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","895075","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","H. E. Robinson","H. S. Irwin","27909","1970","03","19","South America","Brazil","Minas Gerais","Serra do Espinhaço, Ca. 18 km E. of Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895075","NY00895075_01","Diamantina","-43.5366667","-18.1838","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:14-03","EAO","IAN","76566","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","alpestris","Vernonia alpestris fide","(Gardner) Baker",NA,"Glaziou, AFM","19546",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN076566",NA,NA,NA,NA,NA,NA,"fide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:56-03","UFBA","ALCB","131969","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","Nakajima, JN","Martinelli, G; Lima, T; Maurenza, D","19608","2016","11","02","Southern America","Brasil","Minas Gerais","Parque Nacional Sempre Vivas, campo da vargem.",NA,"heliófila, arenícola, folhas verde-argnteas, concolores, inflorescencia com pedúnculo acinzentado, flores passadas com capítulos castalho-amarelados.; Campo rupestre em areia de quartzo","ALCB048648","ALCB048648","Diamantina","-43.903889","-17.926111","1112","1112",NA,"2018","07","-43.903889","-17.926111",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:56-03","UFBA","ALCB","106013","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.",NA,"Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3076","2011","06","24","Southern America","Brasil","Minas Gerais","Instituto Estadual de Floresta, Parque Estadual do Rio Preto, trilha para Vargem das Estrelas acima da Casa de Hóspede",NA,"em roseta, ca. 50 cm diâm., folhas argênteas. Brácteas involucrais vináceas, corola lilás.; borda de mata ciliar",NA,NA,"São Gonçalo do Rio Preto","-43.376111","-18.119167","1121","1121",NA,NA,NA,"-43.376111","-18.119167",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:56-03","UFBA","ALCB","129024","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","Chaves, DA","Faria, JEQ","6588","2016","09","24","Southern America","Brasil","Minas Gerais","Margem da estrada para a Formação próximo à motopista Gabriela",NA,"ca 0,4m de altura, botões florais verdes rosados, flores rosas claras e frutos maduros cremes; Campo rupestre","ALCB046534","ALCB046534","Diamantina","-43.6125","-18.261389","1225","1225",NA,"2016","09","-43.6125","-18.261389",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:57-03","ESALQ","ESA","8642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H. Rob.","Loeuille, B.","Sakuragui, C.M. ; Souza, V.C.","235.0","1990","08","06",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA008642","ESA008642","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,"2011",NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"8","2021-01-14 15:24:28-03","MN","R","6266","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","alpestris","Vernonia alpestris","Baker",NA,"Glaziou, A.F.M.","19548","1892","04","02",NA,"Brasil","Minas Gerais",NA,NA,"Plantas do Brasil Central","R000006266","R000006266_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022867","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","H. Robinson","G. Hatschbach; A. Schinini, J. M. Silva","64718","1996","4","14",NA,"Brazil","Minas Gerais","Serra do Cabral, inicio da subida (Mun. Joaquim Felicio).",NA,"Inflorescência ereta, 1 m, capitulo lilás.",NA,NA,NA,"-44.2","-17.8","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:32:04-03","UFJF","CESJ","44589","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Minasia","alpestris","Minasia alpestris","(Gardner) H.Rob.","H.Robinson","G. Hatschbach; A. Schinini; J.M. Silva","64718","1996","04","14","América do Sul","Brasil","Minas Gerais","Serra do Cabral, inicio da subida",NA,"Inflorescência ereta, 1 m, capítulo lilás. Campo rupestre. Alt: 900 m.","CESJ044589",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242","900","900",NA,"2000",NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA
