"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","continentOcean","occurrenceRemarks","yearIdentified","monthIdentified","typeStatus","preparationType","fieldNumber","dayIdentified","individualCount"
"1","2019-12-04 15:26:23-03","PUCPR","HUCP","16092","S","Plantae","Monocotiledonea","Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.","Ruvinski, JE","Ruvinski, JE","012","2004","04","28","Brasil","Paraná","Curitiba","Santa Felicidade","-49.2731018066406","-25.4277992248535","25180","HUCP00005301","HUCP00005301","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696387","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Sellow F",NA,"1833","01","01","Brazil",NA,NA,"Bras. merid.",NA,NA,NA,"NL-L1696387","NL-L1696387",NA,"Magnoliopsidae","Caryophyllales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:30-03","IAP","PACA-AGP","114125","PreservedSpecimen","Plantae","Magnoliophyta","Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.","L. P. Deble","L.P. Deble","12983","2010","11","24","Brasil","RS","Quaraí","Jarau, sul do Cerro do Jarau.","-56.4514007568359","-30.3875007629395","74636","PACA114125",NA,"auto","Magnoliatae","Caryophyllales",NA,"glomérulos vermelhos&nf;Conf. Por M.S. Marchioretto em 03.2013. Habitat: entre rochas","2011","01",NA,NA,NA,NA,NA
"4","2015-09-21 11:47:40-03","MNHN","RECOLNAT_MNHN_P","P00623727","PreservedSpecimen",NA,NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Sellow, F.",NA,NA,NA,NA,"Brésil",NA,NA,"Montevideo",NA,NA,NA,"P00623727","P00623727_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623727' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"isotype","hb",NA,NA,NA
"5","2015-09-21 11:47:54-03","MNHN","RECOLNAT_MNHN_P","P00623728","PreservedSpecimen",NA,NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Sellow, F.",NA,NA,NA,NA,"Brésil",NA,NA,"Montevideo",NA,NA,NA,"P00623728","P00623728_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00623728' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"isotype","hb",NA,NA,NA
"6","2015-09-04 17:10:03-03","MNHN","RECOLNAT_MNHN_P","P04925373","PreservedSpecimen",NA,NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Gaudichaud, C.",NA,"1833","1","1","Brasil",NA,NA,"Brésil-Province de Rio-Grande.",NA,NA,NA,"P04925373","P04925373_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","1697",NA,NA
"7","2015-09-04 17:10:03-03","MNHN","RECOLNAT_MNHN_P","P04925374","PreservedSpecimen",NA,NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Vauthier",NA,"1845","12","10","Brasil","Rio Grande do Sul",NA,"Brésil.Province de Rio-Grande du Sul.",NA,NA,NA,"P04925374","P04925374_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04925374' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb",NA,NA,NA
"8","2015-09-04 20:39:26-03","MNHN","RECOLNAT_MNHN_P","P05257302","PreservedSpecimen",NA,NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Rambo, B.",NA,"1933","7","26","Brasil","Rio Grande do Sul","Montenegro","Brésil: Etat du Rio Grande do Sul.","-51.4611015319824","-29.6886005401611","21601","P05257302","P05257302_01","auto",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05257302' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","11981",NA,NA
"9","2021-02-11 17:17:48-03","UFPR","UPCB","9851","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.","Pedersen, T.M.","Hatschbach, G.","27349","1971","09","06","Brasil","Minas Gerais","Gouveia","Serra do Espinhaço","-43.7407989501953","-18.4543991088867","37970",NA,NA,"auto",NA,NA,NA,"Solo arenoso de campo pedregoso. Altitude 1200-1300m..","1971","01",NA,NA,NA,"01",NA
"10","2009-09-15 10:55:00-03","MO","MOBOT","2459068","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Gomphrena","sellowiana","Gomphrena sellowiana","Mart.",NA,"Jason R. Swallen","Swallen 7224-b","1945","10","27","Brazil","Rio Grande do Sul",NA,"Pelotas. Pelotas",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
