"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01096235","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","J. A. Lombardi","R. C. Forzza","3053","2004","03","09","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, mata em frente a entrada do Parque","-43.7931","-21.8428","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235698' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096235","NY01096235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096231","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","M. F. Freitas","R. C. Forzza","3981","2005","05","26","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, Ponte de Pedra.","-43.88","-21.7","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096231","NY01096231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:46-03","UFRJ","RFA","24871","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","M. F. Freitas","F. M. de B. Pereira","16/17","2000","06","25",NA,"Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo.","-44.708611","-22.266667","1801","1801",NA,"Sub-arbusto, folha cinza, flor rosa e branca, comum no local.","RFA41911",NA,"2001","03","15","44º42'31''W","22º16'0''S",NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:46-03","UFRJ","RFA","24866","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","M. F. Freitas","F. M. de B. Pereira","mai-17","2000","06","24",NA,"Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo.","-44.8699989318848","-22.283899307251","1680","1680",NA,"Arbusto, 4 m de altura, 3 cm de DAP, folha verde, flor rosada, fruto rosa, comum no local.","RFA41912",NA,"2001","03","15","44º41'74''W","22º15'61''S","26914","auto",NA,NA,NA,NA
"5","2020-02-08 09:03:40-03","NBC","NL-BOTANY","L.2645255","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","glazioviana","Rapanea glazioviana",NA,NA,"Machado O",NA,"1942","12","22","Southern America","Brazil",NA,NA,"Guanabara, Tijuca.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2645255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2645255","NL-L2645255",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"6","2020-11-04 11:17:49-03","ESALQ","ESA","96674","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warn.","Freitas, M.F.","Forzza, R.C. et al.","4136.0","2005","08","09",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA096674",NA,NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA
"7","2016-02-02 14:38:37-02","BGBM","B","B 10 0057147","S","Plantae",NA,NA,"Myrsinaceae","Myrsine","glazioviana","Myrsine glazioviana",NA,NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100057147 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100057147","B100057147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:37-02","BGBM","B","B 10 0057149","S","Plantae",NA,NA,"Myrsinaceae","Myrsine","glazioviana","Myrsine glazioviana",NA,NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100057149 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100057149","B100057149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:37-02","BGBM","B","B 10 0057148","S","Plantae",NA,NA,"Myrsinaceae","Myrsine","glazioviana","Myrsine glazioviana",NA,NA,"F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100057148 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100057148","B100057148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:34-03","UFV","VIC","5238A","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.",NA,"Coons, M.P.","s.n.","1977","07","14",NA,"Brasil","Minas Gerais","Ibitipoca","Parque Florestal da serra do Ibitipoca",NA,NA,NA,NA,NA,"Arbusto, 1m. Nos campo baixos, 1300m.s.m . Flores em botão, acastanhados Planta colata durante estágio em Ecologa vegetal, realizado no periodo de 12/09 de julho de 1977.","VIC05238A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:44:02-03","UFJF","CESJ","13228","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","M.F. Freitas","L. Krieger","CESJ13228","1973","11","03","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"subarbusto","CESJ013228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:44:02-03","UFJF","CESJ","25325","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","glazioviana","Myrsine glazioviana","Warm.","M.F. Freitas","F.R.G. Salimena; G.M.Gomes; M.C.Alves; R.C. Oliveira","s.n.","1991","06","29","América do Sul","Brasil","Minas Gerais","Conceição do Ibitipoca",NA,NA,NA,NA,NA,NA,NA,"CESJ025325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
