"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","158205","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Angelphytum","bahiense","Angelphytum bahiense","H.Rob.","isotype","W. R. Anderson","37028","1972","03","16","South America","Brazil","Bahia","Cocos","Espigao Mestre: 6 km. south of Cocos","-44.53","-14.18","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158205","NY00158205_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:21-03","UFBA","ALCB","041351","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Guedes, ML; Cabral, H","6306","1999","06","26","Southern America","Brasil","Bahia","Belmonte","Extremo Sul, Brasilândia, área da Veracel Celulose. Ponto 10 - 11","-38.866667","-15.85",NA,NA,NA,"Ca. 1,30 m. Folhas simples, cartáceas, discolores. Inflorescência com flores do raio e do disco amarelas.",NA,NA,"Alves, M","2015","01","-38.866667","-15.85",NA,NA,NA,NA,NA
"3","2019-10-09 11:10:21-03","UFBA","ALCB","047295a","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Queiroz, LP de; Torres, DC; Oliveira, AA; Santos, CC dos; Rios, L","6003","2000","02","14","Southern America","Brasil","Bahia","Santana","Oeste, serra a N de Santana na estrada para a torre de TV","-44.055556","-12.945556","663","663",NA,"de ca. 1,5 m alt., ramificado. Folhas membranáceas. Capítulos com filárias verdes. Flores do raio com lígula amarelo-ouro, flores do disco com corola amarelo-alaranjada e anteras nigrescentes.; comdossel a ca. 7 m alt.",NA,NA,"Alves, M","2015","01","-44.055556","-12.945556",NA,NA,NA,NA,NA
"4","2021-03-01 16:24:00-03","UNICAMP","UEC","111262","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Moraes, MD; Aona, LYS","448","2000","03","22",NA,"Brazil","Bahia","Cocos","extensa área de afloramento rochoso ao lado de plantação de milho.","-44.5344009399414","-14.1838998794556","460","460",NA,"subarbusto ca. 1,5m, desprovido de xilopódio, flores amarelas, visita intermitente de borboleta.; área de mata (sucupira e jatobá de ca. 20m altura) solo arenoso, em sombra parcial","UEC122537","UEC122537","Moraes, MD","2005",NA,NA,NA,"199742","auto",NA,NA,NA
"5","2021-03-01 16:24:00-03","UNICAMP","UEC","142559","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Moraes, MD; Aona, LYS","447","2000","03","22",NA,"Brazil","Bahia","Cocos","extensa área de afloramento rochoso ao lado de plantação de milho.","-44.5344009399414","-14.1838998794556","460","460",NA,"subarbusto ca. 1,5m, desprovido de xilopódio, flores amarelas, visita intermitente de borboleta.; área de mata (sucupira e jatobá de ca. 20m altura) solo arenoso, em sombra parcial","UEC122538","UEC122538","Moraes, MD","2005",NA,NA,NA,"199742","auto",NA,NA,NA
"6","2021-03-01 16:24:00-03","UNICAMP","UEC","111261","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Moraes, MD; Aona, LYS","447","2000","03","22",NA,"Brazil","Bahia","Cocos","extensa área de afloramento rochoso ao lado de plantação de milho.","-44.5344009399414","-14.1838998794556","460","460",NA,"subarbusto ca. 1,5m, desprovido de xilopódio, flores amarelas, visita intermitente de borboleta.; área de mata (sucupira e jatobá de ca. 20m altura) solo arenoso, em sombra parcial","UEC082350","UEC082350","Moraes, MD","2005",NA,NA,NA,"199742","auto",NA,NA,NA
"7","2021-03-01 16:24:00-03","UNICAMP","UEC","142558","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","bahiense","Dimerostemma bahiense","(H.Rob.) M.D.Moraes",NA,"Moraes, MD; Aona, LYS","448","2000","03","22",NA,"Brazil","Bahia","Cocos","extensa área de afloramento rochoso ao lado de plantação de milho.","-44.5344009399414","-14.1838998794556","460","460",NA,"subarbusto ca. 1,5m, desprovido de xilopódio, flores amarelas, visita intermitente de borboleta.; área de mata (sucupira e jatobá de ca. 20m altura) solo arenoso, em sombra parcial","UEC082351","UEC082351","Moraes, MD","2005",NA,NA,NA,"199742","auto",NA,NA,NA
"8","2015-10-02 13:07:42-03","MNHN","RECOLNAT_MNHN_P","P00682412","PreservedSpecimen",NA,NA,NA,"Asteraceae","Angelphytum","bahiense","Angelphytum bahiense","H.Rob.","isotype","Anderson, W.R.|Stieber, M., Kirkbride J.H.",NA,"1972","3","16",NA,"Brésil",NA,NA,"Extensive limestone outcrop 6 km S of Cocos, ans adjacent pastures",NA,NA,"520",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00682412' target='other'> <mi>dwc_moreinfo</mi></a>","P00682412","P00682412_01",NA,NA,NA,NA,NA,NA,NA,"37028",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2818843","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Angelphytum","bahiense","Angelphytum bahiense","H. Rob.","Isotype","W. R. Anderson","37028","1972","3","16","South America - Neotropics","Brazil","Bahia",NA,"Espigao Mestre, 6 km S of Cocos.",NA,NA,"520","520",NA,NA,"US00127902","US00127902_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2020-09-12 05:00:02-03","US","US","3022448","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Angelphytum","bahiense","Angelphytum bahiense","H. Rob.",NA,"W. Anderson, M. Stieber & J. H. Kirkbride","37028","1972","3","16","South America - Neotropics","Brazil","Bahia",NA,"Planalto do Brasil. Estado de Bahía. Espigão Mestre. Extensive limestone outcrop 6km S of Cocos, and adjacent pastures",NA,NA,"520",NA,NA,NA,"US01778035","US01778035_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
