"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897778","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","M. L. O. Trovó","G. G. Hatschbach","64212","1996","01","16","South America","Brazil","Minas Gerais","Várzea da Palma","Serra do Cabral, Agropecúaria Serra do Cabral","-44.7306","-17.5983","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897778","NY00897778_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00898498","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","M. L. O. Trovó","J. R. Pirani","2178","1988","02","12","South America","Brazil","Minas Gerais",NA,"Serra do Cabral, alto da serra. 71 km L do Rio das Velhas.","-44.3","-17.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898498","NY00898498_01","1160","1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01039516","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"P. T. Sano","CFCR15292","1994","03","20","South America","Brazil","Minas Gerais","Augusto de Lima","Serra do Cabral, ca. 12 km da cidade em direção á Fazenda Serra do Cabral.","-44.3281","-18.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039516","NY01039516_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00897923","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"P. T. Sano","CFCR15292","1994","03","20","South America","Brazil","Minas Gerais","Augusto de Lima","Serra do Cabral, ca. 12 km da cidade em direção á Fazenda Serra do Cabral.","-44.3281","-18.0111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897923","NY00897923_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:06:56-03","ESALQ","ESA","24223","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis",NA,"Trovó, M.L.O.","Sano, P.T. et al.",NA,"1994","03","20",NA,"Brasil","Minas Gerais","Agusto de Lima",NA,NA,NA,NA,NA,"ESA024223","ESA024223",NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:06:56-03","ESALQ","ESA","26439","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis",NA,"Trovó, M.L.O.","Sano, P.T. et al.",NA,"1994","03","22",NA,"Brasil","Minas Gerais","Francisco Dumont",NA,"-44.2341995239258","-17.3150005340576",NA,NA,"ESA026439","ESA026439",NA,NA,"2009","45152","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:06:56-03","ESALQ","ESA","73772","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis",NA,"Trovó, M.L.O.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25521.0","2001","07","09",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 20 km de Joaquim Felício. Afloramento rochoso com campo arenoso adjacente.","-442.675",NA,NA,"Planta de 50-100 cm alt.; capítulos alvos. Roseta basal seca. Campo arenoso.","ESA073772","ESA073772","1100","1100","2009",NA,NA,"-442,675","-17,696,944",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:27:57-03","MN","R","234471","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Sano, P.T.","Pangaio, L.","498","2006","01","12",NA,"Brasil","Minas Gerais","Buenópolis","Região do Cuba, entre as Lapas dos Peixes e da Dança.","-44.1800003051758","-17.8733005523682",NA,NA,"R010054049",NA,NA,NA,"2008","42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:27:57-03","MN","R","236005","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Silva, R.R.","Guarçoni, E.; Sartori, M.A.","724","2004","05","16",NA,"Brasil","Minas Gerais","Francisco Dumont","Serra do Cabral. Comeche.","-44.2341995239258","-17.3150005340576",NA,"Ex. Herbário Serra das Aranhas (HSA)","R010062304",NA,NA,NA,"2004","45152","auto",NA,NA,"07","21",NA,NA,NA,NA
"10","2021-03-01 16:19:44-03","UNICAMP","UEC","156708","S","Plantae","Liliopsida",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) P.T.Sano","Sauthier, LJ","Romero, R; Nakajima, JN","6128","2001","04","02",NA,"Brazil","Minas Gerais","Joaquim Felício","Estrada para Serra do Cabral, ca. de 20km NE da cidade.","-44.268889","-17.698056",NA,"Planta, ca. de 0,5m. Flores alvas.; Campo Rupestre. Solo arenoso.","UEC008387","UEC008387","1161","1161","2018",NA,NA,"-44.268889","-17.698056","05",NA,NA,NA,NA,NA
"11","2021-03-01 16:19:44-03","UNICAMP","UEC","205584","S","Plantae","Liliopsida",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) P.T.Sano",NA,"Scatigna, AV; Carmo, JAM","621","2015","01","15",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Estrada para SCAI. Campo arenoso, após cancela abandonada.","-44.2925","-17.698056",NA,"Subarbusto, ca. 40cm. Capítulos brancos.","UEC190945","UEC190945",NA,NA,NA,NA,NA,"-44.2925","-17.698056",NA,NA,NA,NA,NA,NA
