"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:19-03","E","E","190495","PreservedSpecimen","Plantae","Leguminosae","Acosmium","dasycarpum","Acosmium dasycarpum","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","14911","1994","03","05","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:211799","<a href=http://data.rbge.org.uk/herb/E00190495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:19-03","E","E","202110","PreservedSpecimen","Plantae","Leguminosae","Acosmium","dasycarpum","Acosmium dasycarpum","Giulietti, A.M., Sakuragui, C.M., Harley, R.M., Atkins, S. & Souza, V.C.","13615","1994","01","12","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:209757","<a href=http://data.rbge.org.uk/herb/E00202110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:19-03","E","E","312801","PreservedSpecimen","Plantae","Leguminosae","Acosmium","dasycarpum","Acosmium dasycarpum","Stannard, B.; Ganev, W.; Queiroz, R.F.","51812","1992","03","09","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:314845","<a href=http://data.rbge.org.uk/herb/E00312801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:19-03","E","E","190484","PreservedSpecimen","Plantae","Leguminosae","Acosmium","dasycarpum","Acosmium dasycarpum","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","14910","1994","03","05","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:211756","<a href=http://data.rbge.org.uk/herb/E00190484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2422807","PreservedSpecimen","Plantae","Fabaceae","Acosmium","dasycarpum","Acosmium dasycarpum","G. Eiten","9111","1968","10","04","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673830' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422807","Magnoliophyta","Fabales","(Vogel) Yakovlev","Barra do Garças","Serra do Roncador. 210 km along new road NNE of village of Xavantina (ca. 50 km due S of Royal Society- Royaly Geographic Society Base Camp. At Corrego do Gato","-51.75","-12.85","450","450","NY02422807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-02 13:35:00-02","NY","NYBG","1040293","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","L. Riedel","2920","1834","05",NA,"South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503269' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040293","Magnoliophyta","Fabales",NA,NA,"In campis Araracoara et V-a Franca.",NA,NA,NA,NA,"NY01040293_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1040243","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","W. R. Anderson","11519","1975","02","22","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040243","Magnoliophyta","Fabales","Vogel","Felixlândia","30 km W of Curvelo","-44.7012","-18.75","750","750","NY01040243_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-02 13:35:00-02","NY","NYBG","1040286","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","J. Ramos","R. & S.73","1967","10",NA,"South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040286","Magnoliophyta","Fabales",NA,NA,"Xavantina - Cachimbo Exepedition. Collected near the base camp of the expedition, ca. 270 km N of Xavantina.","-51.87","-12.9",NA,NA,"NY01040286_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-02 13:35:00-02","NY","NYBG","1040296","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","J. A. Rizzo","7209","1971","11","20","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040296","Magnoliophyta","Fabales",NA,NA,"Est. 7 Serra do Caiapó.",NA,NA,NA,NA,"NY01040296_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1040354","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","H. S. Irwin","25712","1970","01","29","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040354","Magnoliophyta","Fabales","Vogel",NA,"Morro da Pedras, ca. 50 km N.E. of Patrocínio","-43.2485756","-19.9480039","1000","1000","NY01040354_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-02 13:30:00-02","NY","NYBG","1040215","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. A. Wasum","7583","1991","01","26","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502912' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040215","Magnoliophyta","Fabales",NA,NA,"Pirenópolis",NA,NA,"1000","1000","NY01040215_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1040162","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","G. Eiten","2591","1961","04","14","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040162","Magnoliophyta","Fabales","Vogel","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. About 10 km. north-NE of river & village of Padua Sales. (About 30 km. NW of city of Moji-Mirim.)","-47.13","-22.25","625","625","NY01040162_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-11-02 13:37:00-02","NY","NYBG","1040361","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","E. P. Heringer","2779","1979","11","20","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504726' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040361","Magnoliophyta","Fabales",NA,"Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY01040361_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1040338","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","H. S. Irwin","9869","1965","11","03","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040338","Magnoliophyta","Fabales","Vogel","Cristalina","Serra dos Cristais. 12 km S. of Cristalina","-47.6","-16.85843","1150","1150","NY01040338_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-02 13:31:00-02","NY","NYBG","1040221","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","W. R. Anderson","8757","1973","04","13","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040221","Magnoliophyta","Fabales",NA,NA,"5 km by road NE of Rio Manso and Couto de Magalhães.","-43.3833","-18.03476","960","1000","NY01040221_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","777316","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. M. Harley","51812","1992","03","09","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777316","Magnoliophyta","Fabales","Vogel","Piata","Gerais de Piata, na estrada para Inúbia","-41.83","-13.05","1240","1240","NY00777316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
