"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:24:52-03","UNESC","CRI","4718","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Santos, L. C.","1991","10","26","Santos, L. C.","Brasil","Santa Catarina","Urussanga","-49.320833","-28.517778","49º19'15''W","28º31'4''S","Habito: Arbórea","CRI013827","CRI013827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","11565","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Guilherme Alves Elias","2015","12","20","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","Brasil","Santa Catarina","Itapoá","-48.670556","-26.071667","48º40'14''W","26º4'18''S","Floresta Ombrófila Densa de Terras Baixas","CRI008544","CRI008544_1 CRI008544_2","6","2015","12","19","Rerva Volta Velha.","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:52-03","UNESC","CRI","7976","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Vanilde Citadini- Zanette","2007","08","23","Beatriz Wessler; Bruna Alberton","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,"CRI000648","CRI000648",NA,"2007","08","22","SANTEC Resíduos.","48","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:52-03","UNESC","CRI","13935","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","Alexandre Medeiros","2017","10","22","Alexandre Medeiros","Brasil","Santa Catarina","Balneário Camboriú","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Habitat: Terrestre Habito: Arbórea","CRI012546",NA,"579","2017","10","22","Barra APA Costa Brava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:52-03","FZB-BH","CVJBFZB","1738","S","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Equisetopsida","Arecales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01198322","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","A. J. Henderson",NA,NA,NA,"M. das G. Costa Silva","Brazil","Bahia","Mun. Una",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198322","NY01198322_01","3","2001","09","12","Ecoparque de Una. Entrada ca. 46 km da BR-001 IlhéusUna.",NA,NA,"Magnoliophyta",NA,"Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02324122","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.",NA,NA,NA,NA,"A. J. Henderson","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547563' target='other'> <mi>dwc_moreinfo</mi></a>","NY02324122","NY02324122_01","1619","1991","02","28","Mariseas",NA,NA,"Magnoliophyta",NA,"Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00567881","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","J. Dransfield",NA,NA,NA,"R. M. Harley","Brazil","Bahia",NA,"-39.42","-16.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567881","NY00567881_01 NY00567881_02 NY00567881_03 NY00567881_04 NY00567881_05","17818","1977","01","11","Parque Nacional de Monte Pascoal, on the N.W. side of Monte Pascoal at low altitude.","100","200","Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00567883","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","L. R. Noblick",NA,NA,NA,"L. R. Noblick","Brazil","Bahia","Teixeira de Freitas","-39.7","-17.48",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567883","NY00567883_01 NY00567883_02 NY00567883_03 NY00567883_04 NY00567883_05","4776","1983","01","31","Area of preservation on the property of Bahia Sul Cellulose. ca. 5 km SE of the city.","50","100","Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00567892","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","A. J. Henderson",NA,NA,NA,"E. M. Zardini","Paraguay","Alto Paraná",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567892","NY00567892_01 NY00567892_02 NY00567892_03","40076","1994","07","22","Estancia Bertoni (Rio Paraná)",NA,NA,"Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00567884","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","W. W. Thomas",NA,NA,NA,"W. W. Thomas","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"Parcel: 4. Tree #136. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567884","NY00567884_01 NY00567884_02 NY00567884_03 NY00567884_04","6929","1991","07","01","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.",NA,NA,"Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00567869","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","M. Rossato; R. A. Wasum",NA,NA,NA,"M. Rossato","Brazil","Rio Grande do Sul","Terra de Areia","-50.1083","-29.6017",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567869","NY00567869_01","10",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,"Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00567887","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","L. R. Noblick",NA,NA,NA,"L. R. Noblick","Brazil","Bahia","Belmonte","-38.9","-15.85",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567887","NY00567887_01 NY00567887_02 NY00567887_03 NY00567887_04 NY00567887_05 NY00567887_06","4741","1989","01","17","Estaçao Experimental de Gregório Bondar (CEPLAC/CEPEC). 7 km E of the village of Barralandia.","50","100","Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00567886","PreservedSpecimen","Plantae","Arecaceae","Euterpe","edulis","Euterpe edulis","Mart.","A. J. Henderson",NA,NA,NA,"A. M. V. de Carvalho","Brazil","Bahia","Ilhéus","-39.06916667","-14.7819444",NA,NA,"Arvore #1223, Parcela #31 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567886","NY00567886_01 NY00567886_02 NY00567886_03 NY00567886_04 NY00567886_05","5384","1985","01","11","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao.",NA,NA,"Magnoliophyta",NA,"Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA
