"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:37:17-03","E","E","433064","PreservedSpecimen","Plantae","Compositae","Ambrosia","polystachya","Ambrosia polystachya","unspecified kind of","Wallich, Nathaniel","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:458362","<a href=http://data.rbge.org.uk/herb/E00433064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","669992","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","maritima","Ambrosia maritima",NA,"R. M. Harley","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=69343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669992","Magnoliophyta","Asterales","L.","C. Jeffrey","18070","1977","01","18","Bahia","Cumuruxativa, 47 km. N. of Prado on the coast","-39.18","-17.1","NY00669992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00847021","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"Y. E. J. Mexia","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847021","Magnoliophyta","Asterales","DC.","P. C. Standley","5428","1930","12","19","Minas Gerais","Fazenda de Bom Jardim; Reserva.","-42.8817","-20.7542","NY00847021_01","Viçosa","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669978","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"S. Tsugaru","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669978","Magnoliophyta","Asterales","DC.","M. H. Nee","B-2338","1987","12","09","São Paulo","Vicinity of Capelinha, 230km SW from Sao Paulo, along the Rt. BR-116","-48","-24.6903","NY00669978_01","Jacupiranga","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00847019","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"G. Gardner","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847019","Magnoliophyta","Asterales","DC.",NA,"4921","1842",NA,NA,"Minas Gerais",NA,NA,NA,"NY00847019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00847022","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"G. Gardner","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847022","Magnoliophyta","Asterales","DC.",NA,"4921",NA,NA,NA,"Minas Gerais",NA,NA,NA,"NY00847022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669977","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"S. Tsugaru","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669977","Magnoliophyta","Asterales","DC.","M. H. Nee","B-2338","1987","12","09","São Paulo","Vicinity of Capelinha, 230km SW from Sao Paulo, along the Rt. BR-116","-48","-24.6903","NY00669977_01","Jacupiranga","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669970","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"M. Guillemin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669970","Magnoliophyta","Asterales","DC.","W. W. Payne","492","1839",NA,NA,"São Paulo","St. Paul. Brésil Méridional",NA,NA,"NY00669970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669980","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"A. Gehrt","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669980","Magnoliophyta","Asterales","DC.","S. F. Blake","777","1917","10","26","São Paulo","Butantan","-46.724373","-23.565521","NY00669980_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669972","PreservedSpecimen","Plantae","Asteraceae","Ambrosia","polystachya","Ambrosia polystachya",NA,"P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669972","Magnoliophyta","Asterales","DC.","E. L. Ekman","10944","1910","12","10","Paraná","Inter Sengés et Fabio Rego",NA,NA,"NY00669972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
