"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","infraspecificEpithet","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:57-03","UNESC","CRI","4057","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.","Hilda M. Longhi-Wagner","1990","11","30","J. A. Jarenkow","1989","12","10","Brasil","Rio Grande do Sul","Piratini","Serra das Asperesas, BR 293.","-53.104444","-31.448611","53º6'16''W","31º26'55''S","Habito: cespeitosa","CRI006830","CRI006830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","639422","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"L. B. Smith","1956","12","06","Brazil","Santa Catarina","Curitibanos","Campo by Alto da Serra Hotel, on the Estrada de Rodagem Federal, Serra Geral","-50.5842","-27.2831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639422","NY00639422_01","Magnoliophyta","Poales","neesii","8381","South America","1200","1250","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639416","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"W. D. Clayton","1965","01","23","Brazil","Paraná",NA,"Bocaiva do Sul",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639416","NY00639416_01","Magnoliophyta","Poales","neesii","4265","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","639414","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"G. G. Hatschbach","1980","01","08","Brazil","Paraná","Palmeira","Rio Caniu","-50.0064","-25.4294",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639414","NY00639414_01","Magnoliophyta","Poales","neesii","42681","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","639419","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"L. B. Smith","1957","01","15","Brazil","Santa Catarina","Lajes","Morro Pinheiro Seco, 3 km east of Lajes","-50.3258","-27.8161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639419","NY00639419_01","Magnoliophyta","Poales","neesii","10039","South America","900","950","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:04:00-02","NY","NYBG","639424","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"L. B. Smith","1971","12","09","Brazil","Santa Catarina","Campo Alegre","4 km south of Campo Alegre","-49.2656","-26.1925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639424","NY00639424_01","Magnoliophyta","Poales","neesii","15763","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","630842","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.",NA,NA,NA,NA,"J. R. Swallen","1945","11","02","Brazil","Rio Grande do Sul",NA,"Instituto Agronomico do Sul, Pelotas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630842","NY00630842_01","Magnoliophyta","Poales",NA,"7276","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","630843","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.",NA,NA,NA,NA,"J. R. Swallen","1945","12","22","Brazil","Rio Grande do Sul",NA,"Estacao Experimental. Passo Fundo",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630843","NY00630843_01","Magnoliophyta","Poales",NA,"8007","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","630840","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"J. R. Swallen","1945","11","02","Brazil","Rio Grande do Sul",NA,"Instituto Agronomico do Sul, Pelotas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630840","NY00630840_01","Magnoliophyta","Poales",NA,"7275","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","630839","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"J. R. Swallen","1945","11","02","Brazil","Rio Grande do Sul",NA,"Instituto Agronomico do Sul, Pelotas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630839","NY00630839_01","Magnoliophyta","Poales",NA,"7275","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","630841","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.",NA,NA,NA,NA,"J. R. Swallen","1945","11","02","Brazil","Rio Grande do Sul",NA,"Instituto Agronomico do Sul, Pelotas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630841","NY00630841_01","Magnoliophyta","Poales",NA,"7275","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","639426","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"J. E. Leite","1941","12",NA,"Brazil","Rio Grande do Sul",NA,"Vicinity of Sao Leopoldo","-51.143791","-29.75136",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639426","NY00639426_01","Magnoliophyta","Poales","neesii","500","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-28 14:54:00-03","NY","NYBG","630845","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii",NA,"L. H. Harvey",NA,NA,NA,"J. E. Montes","1944","07","03","Argentina","Misiones","Candelaria","Loreto",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630845",NA,"Magnoliophyta","Poales",NA,"76","South America","216","216","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","639417","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"J. C. Lindeman","1966","02","04","Brazil","Paraná",NA,"Curitiba",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639417","NY00639417_01","Magnoliophyta","Poales","neesii","479","South America","850","850","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","639423","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"L. B. Smith","1967","02","20","Brazil","Santa Catarina","Chapecó","9 km west of Campo Erê","-52.6181","-27.0967",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639423","NY00639423_01","Magnoliophyta","Poales","neesii","11536","South America","900","1000","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","639420","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"L. B. Smith","1926","12","21","Brazil","Santa Catarina","Caçador","17 km northeast of Caçador","-50.8806498","-26.673332",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639420","NY00639420_01","Magnoliophyta","Poales","neesii","9034","South America","950","1100","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","630844","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.",NA,NA,NA,NA,"J. R. Swallen","1945","11","29","Brazil","Rio Grande do Sul",NA,"Fazenda Experimental de Criaçao Bagé",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630844","NY00630844_01","Magnoliophyta","Poales",NA,"7487","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","630838","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii","Trin.",NA,NA,NA,NA,"J. R. Swallen","1945","12","19","Brazil","Rio Grande do Sul",NA,"Passo Fundo. Fazenda da Brigada",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630838","NY00630838_01","Magnoliophyta","Poales",NA,"7786","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","639428","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii lindmanii","(Hack.) Ekman","S. de Castro Boechat",NA,NA,NA,"A. F. C. P. Saint-Hilaire","1816",NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"N° M. 264 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639428","NY00639428_01","Magnoliophyta","Poales","lindmanii","B1,1467","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","639427","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii lindmanii","(Hack.) Ekman","S. de Castro Boechat",NA,NA,NA,"G. Grazziotin","1990","02","26","Brazil","Rio Grande do Sul",NA,"Pântano Grande - Antiga Faz. Capivarita",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639427","NY00639427_01","Magnoliophyta","Poales","lindmanii","s.n.","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","639415","PreservedSpecimen","Plantae","Poaceae","Eragrostis","neesii","Eragrostis neesii neesii","Trin.","S. de Castro Boechat",NA,NA,NA,"P. K. H. Dusén","1909","04","04","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639415","NY00639415_01","Magnoliophyta","Poales","neesii","7926","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
