"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","individualCount","class","monthIdentified","dayIdentified","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01874713","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","F. A. Michelangeli","P. Fiaschi","3904","2012","03","07","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, Estrada para o Atelier das Artes. Trilha para os Três Picos, início na antigo Hotel Simon.","-44.60569","-22.43022","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874713","NY01874713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1085732","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins",NA,"F. Pedroni","629","1997","02","02","South America","Brazil","São Paulo","Ubatuba","Picinguaba. Mata Atlantica de encosta, nas margens do Rio da Fazenda","-44.8","-23.37",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085732","NY01085732_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1085733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins",NA,"M. Sanchez","630","1997","03","12","South America","Brazil","São Paulo","Ubatuba","Picinguaba","-44.8","-23.37","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251274' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085733","NY01085733_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:42-03","UNICAMP","UEC","156695","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Sanchez, M; Pedroni, F","666","1997","04","16",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Mata atlântica de encosta, Morro do Corisco","-44.8","-23.366667","900","900",NA,"Árvore de 5 m de altura, com frutos","UEC008665","UEC008665","paratypus","-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:42-03","UNICAMP","UEC","156696","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Sanchez, M; Pedroni, F","630","1997","03","12",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Mata de encosta","-44.8","-23.366667",NA,NA,NA,"Árvore com 7 m de altura, com frutos maduros de cor preta azulada; Nas margens do Rio da Fazenda","UEC008667","UEC008667","paratypus","-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:42-03","UNICAMP","UEC","156697","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Pedroni, F; Sanchez, M","629","1997","02","03",NA,"Brazil","São Paulo","Ubatuba","Picinguaba","-44.8","-23.366667",NA,NA,NA,"Árvore 326 com 5 m altura, com botões e flores brancas, estames e pólen de cor branca; Mata atlântica de encosta, nas margens do Rio da Fazenda","UEC008668","UEC008668","paratypus","-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:34:42-03","UNICAMP","UEC","156797","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Pedroni, F; Sanchez, M","628","1997","01","24",NA,"Brazil","São Paulo","Ubatuba","Picinguaba, Mata atlântica de encosta, nas margens do Rio da Fazenda","-44.8","-23.366667",NA,NA,NA,"Árvore 326 com 5 m de altura, com botões e flores brancas, estames e pólen de cor branca","UEC008670","UEC008670","holotypus","-44.8","-23.366667",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:42-03","UNICAMP","UEC","80306","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Leitão Filho, HF; Rodrigues, RR; Santin, DA; Nave, AG; Sanchez, M; Mansano, VF; Seoane, CE","34796","1996","02","03",NA,"Brazil","São Paulo","Ubatuba","Inicio da encosta - Rodovia Osvaldo Cruz, Transição entre planície e encosta atlântica","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Árvore com 5 metros de altura, flor creme","UEC008673","UEC008673","paratypus",NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:34:42-03","UNICAMP","UEC","172120","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins",NA,"Pedroni, F; Sanchez, M","205","1996","04","30",NA,"Brazil","São Paulo","Ubatuba","Margens do Rio da Fazenda.&nf;Núcleo Picinguaba, 23] 22's ; 44º 48' w.","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Árvore com 5m de alt., com botões e frutos.; Floresta de encosta atlântica.","UEC084588","UEC084588",NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"10","2019-10-14 10:25:14-03","UNICAMP","UEC","112678","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","picinguabensis","Miconia picinguabensis","R.Goldenb. & A.B.Martins","Goldenberg, R","Takahasi, A; Romera, EC","113","1995","05","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba - Trilha do Corisco","-45.0699996948242","-23.4300003051758",NA,NA,NA,"flor, Árvore nº 429, flores brancas. Mata de encosta.","UEC162231","UEC162231",NA,NA,NA,"34265","auto","2001",NA,NA,NA,NA,NA
