"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","440142","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii","E.Fourn.","J. Fontella Pereira","G. G. Hatschbach","7409","1960","11","06","South America","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.90806","-25.93389","100","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440142","NY00440142_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","440143","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","W. Hoehne","W. Hoehne",NA,"1958","12","06","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo: Serra da Cantareira","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440143","NY00440143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:26-03","UTFPR","DVPR","3273","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo","Dettke, GA","Caxambu, MG; et al.","4254","2012","10","03",NA,"Brasil","Paraná","Luiziana","Estação Ecológica Luiziana","-52.26406","-24.31125","675","675",NA,"Trepadeira volúvel, heliófita, pilosa, látex alvo, abundante, flores verdes. Rara.; Relevo: suave-ondulado.","DVPR003273",NA,"2014","-52.26406","-24.31125",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:20:04-03","NBC","NL-BOTANY","L.2725861","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.",NA,"Hatschbach GG",NA,"1961","10","03","Southern America","Brazil",NA,NA,"Parana (Brasil) Cerro Azul, Morro Grande.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2725861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2725861","NL-L2725861",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:21:54-03","MN","R","11787","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","Fontella, J.","Glaziou, A.F.M.","18362","1890","10","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000011787","R000011787_001","2003",NA,NA,NA,"09","22",NA,NA,NA,NA,NA
"6","2021-01-14 15:21:54-03","MN","R","216457","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","Fontella, J.P.","Sucre Benjamin, D. 4128; Braga, P.I.S. 1084",NA,"1968","09","23",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,"1987",NA,NA,NA,"08","04","36524","auto",NA,NA,NA
"7","2020-12-21 16:12:43-03","MBM","MBM","41524","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(Fourn.) Malme","Fontella, J.","Hatschbach, G.","8334","1961","10","03","Southern America","Brazil","Paraná","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043",NA,NA,NA,NA,"MBM041524","MBM041524",NA,NA,NA,NA,NA,NA,"32006","auto",NA,NA,NA
"8","2020-12-21 16:12:43-03","MBM","MBM","391250","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","Cordeiro, J.","Caxambu, M.G.","4254","2012","10","03","Southern America","Brazil","Paraná","Luiziana","Estação Ecológica Luiziana","-52.444611","-24.520139","675","675",NA,"Trepadeira volúvel, heliófita, pilosa, com látex alvo, abundante. Flores verdes. Rara.; Relevo: suave-ondulado.","MBM391250","MBM391250","2014","-52.444611","-24.520139",NA,"04",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:12:43-03","MBM","MBM","41525","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(Fourn.) Malme","Fontella, J.","Hatschbach, G.","8632","1961","11","12","Southern America","Brazil","Paraná","Campina Grande do Sul","Jaguatirica","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM041525","MBM041525",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA
"10","2020-12-21 16:12:43-03","MBM","MBM","41523","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(Fourn.) Malme","Fontella, J.","Hatschbach, G.","7409","1960","11","06","Southern America","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM041523","MBM041523",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA
"11","2015-09-25 07:04:20-03","MNHN","RECOLNAT_MNHN_P","P00645833","PreservedSpecimen",NA,NA,NA,"Asclepiadaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii","E.Fourn.",NA,"Glaziou, A.",NA,"1867","10","9",NA,"Brésil",NA,NA,"Rio Janeiro, St. Louis (Os Orgues)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00645833' target='other'> <mi>dwc_moreinfo</mi></a>","P00645833","P00645833_01",NA,NA,NA,NA,NA,NA,NA,NA,"lectotype","1584",NA
