"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","431312","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.","isotype","H. S. Irwin","23621","1969","02","20","South America","Brazil","Minas Gerais","Serra do Espinhaço: ca. 15 km. west of Grao Mogol, road to Cristália","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431312","NY00431312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","431314","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.","paratype","H. S. Irwin","23520","1969","02","18","South America","Brazil","Minas Gerais","Serra do Espinhaço: Rio Tacambiruçu, ca. 15 km. west of Grao Mogol","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431314","NY00431314_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 20:46:00-03","NY","NYBG","00846967","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii",NA,NA,"A. P. Duarte","7752","1963","04","27","South America","Brazil","Minas Gerais","Faz. Mãe d'Água.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846967","NY00846967_01","H. P. Bautista","Várzea da Palma","-44.749531","-17.411382",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:09:39-03","UFBA","ALCB","106640","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Duarte, AP","7752","1963","04","27","Southern America","Brasil","Minas Gerais","Fazenda Mãe- d'Água",NA,NA,NA,"planta rupestre.; Formação de arenito vermelho mais ou menos friável.",NA,NA,"Barroso, GM","Várzea da Palma","-44.7308006286621","-17.5981006622314","1984","01","60948","auto",NA,NA,NA,NA,NA
"5","2019-02-15 11:33:40-02","IPA","IPA","80679","S","Plantae","Plantae",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"Bautista, H.P.","2683","1998","09","18","Southern America","Brasil","Minas Gerais","Serra do Espinhaço, A 2km de Grão Mogol na estrada para Montes Claros.",NA,NA,NA,"Arbusto, inflorescências passadas. Ocasional.; Campo rupestre.","IPA0080679","IPA0080679","Ortiz, S.","Grão Mogol","-42.8897018432617","-16.5594005584717","1998","09","67219","auto",NA,NA,NA,NA,NA
"6","2019-11-27 13:46:08-03","UFS","ASE","38615","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H. Rob.",NA,"Bautista, HP","2683","1998","09","18","Southern America","Brasil","Minas Gerais","Serra do Espinhaço, a 2Km de Grão Mogol na estrada para Montes Claros.","850","850",NA,"Arbusto, inflorescências passadas. Ocasional: Campo Rupestre.","ASE0040053",NA,NA,"Grão Mogol","-42.5358","-16.345",NA,NA,NA,NA,"-42.5358","-16.345",NA,NA,NA
"7","2019-08-20 10:04:25-03","UNICAMP","UEC","129805","S","Plantae","Magnoliopsida",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Prado, P; Lewinsohn, TM; Buys, B; Motta, V","PIC95362","1995","07","20",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"UEC118057","UEC118057",NA,"Grão Mogol","-42.900278","-16.596389",NA,NA,NA,NA,"-42.900278","-16.596389",NA,NA,NA
"8","2020-12-21 16:13:58-03","MBM","MBM","424048","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"Bautista, H.P.; Ortiz, S.; Ortiz, S.","2683","1998","09","18","Southern America","Brazil","Minas Gerais","Serra do Espinhaço, A 2km de Grão Mogol na estrada para Montes Claros","850","850",NA,"Arbusto, inflorescências passadas. Ocasional.; Campo rupestre.","MBM424048",NA,"Bautista, H.P.; Ortiz, S.","Grão Mogol","-42.899444","-16.580556","1998","09",NA,NA,"-42.899444","-16.580556",NA,NA,NA
"9","2020-12-21 16:13:58-03","MBM","MBM","151342","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"Harley, R.M.; et al.; et al.","24878","1988","10","12","Southern America","Brazil","Minas Gerais","Serra do Cabral",NA,NA,NA,NA,"MBM151342","MBM151342","Hind, D.J.N.","Buenópolis","-44.1800003051758","-17.8733005523682",NA,NA,"42854","auto",NA,NA,NA,NA,NA
"10","2020-12-21 16:13:58-03","MBM","MBM","193664","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"Duarte, A.P.","s.n.","1963","04","27","Southern America","Brazil","Minas Gerais","Fazenda Mãe da Água",NA,NA,NA,NA,"MBM193664","MBM193664","Barroso, M.G.","Várzea da Palma","-44.7308006286621","-17.5981006622314",NA,NA,"60948","auto",NA,NA,NA,NA,NA
