"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2016-09-27 15:21:00-03","NY","NYBG","1365095","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","cinereum","paraguariae","Psidium cinereum paraguariae","D.Legrand","isoparatype","T. M. Pedersen","4366","1956","11","20","South America","Paraguay","Itapúa","Estancia San Migueltio, Colonia Gral. Delgado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365095","NY01365095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 04:38:00-03","NY","NYBG","616981","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","cinereum",NA,"Psidium cinereum",NA,NA,"D. C. Daly","6286","1989","11","21","South America","Bolivia","Santa Cruz","Serranía de Santiago, near Santiago de Chiquitos. 5 km ENE of Santiago","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616981",NA,"L. R. Landrum","Chiquitos","-59.58","-18.32","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616979","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","cinereum",NA,"Psidium cinereum","Mart. ex DC.",NA,"D. J. Carriao","4","1995",NA,NA,"South America","Brazil","Paraná","Parque Estadual do Cerrado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616979","NY00616979_01","S. M. Silva","Jaguariaíva","-49.68","-24.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01096260","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","cinereum",NA,"Psidium cinereum","Mart. ex DC.",NA,"W. Mantovani","1814","1981","04","27","South America","Brazil","São Paulo","Martinho Prado. Reserva Biológica da Fazenda Campininha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235885' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096260","NY01096260_01",NA,"Moji-Guaçu","-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 15:21:00-03","NY","NYBG","1365095","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","cinereum","paraguariae","Psidium cinereum paraguariae","D.Legrand","isoparatype","T. M. Pedersen","4366","1956","11","20","South America","Paraguay","Itapúa","Estancia San Migueltio, Colonia Gral. Delgado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650683' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365095","NY01365095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00958067","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"R. P. Belém","3912","1968","02","03","South America","Brazil","Distrito Federal","Campus da UnB","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958067","NY00958067_01","L. R. Landrum","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00958065","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"E. P. Heringer","18377","1982","04","20","South America","Brazil","Goiás","(15 km ao sul da cidade)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958065","NY00958065_01","L. R. Landrum","Luziânia","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-02-14 16:19:00-02","NY","NYBG","616980","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium",NA,NA,"M. Bernardi","18332","1978","11","01","South America","Paraguay","Canindeyú","Fruticeto Nanduro kai","sheet","cf. no. 18306 videteur ex eodem genere <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616980","NY00616980_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00958052","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","32824","1971","03","20","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 19 km N of Alto Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958052","NY00958052_01","L. R. Landrum","Alto Paraíso de Goiás","-47.5167","-13.94497","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00958076","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"L. R. Landrum","4245","1982","01","31","South America","Brazil","Minas Gerais","Serra do Cipó, between Veu da Novia and Alto do Palacio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958076","NY00958076_01","L. R. Landrum",NA,"-43.67","-19.25","1000","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00958054","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"E. P. Heringer","17352","1979","07","05","South America","Brazil","Goiás",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958054","NY00958054_01","L. R. Landrum","Luziânia","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","720681","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"M. F. d. Santos","596","2010","11","19","South America","Brazil","Minas Gerais","Estrada do Distrito de Sopa para o distrito de Sao Joao da Chapada; estrada saindo da rodovia MG-367, trecho Diamantina - Gouveia. 16 km a partir do inicio da estrada na MG-367, na beira da estrada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720681","NY00720681_01",NA,"Diamantina","-43.72053","-18.14717","1184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00958079","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"R. Goodland","265","1965","11","30","South America","Brazil","Minas Gerais","Melo, 3 km N. of Herto. Paraopeba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958079","NY00958079_01","L. R. Landrum",NA,"-44.5","-19.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00908464","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","7173","1964","10","22","South America","Brazil","Goiás","Ca. 37 km. S. of Caiapônia on road to Jataí. Serra do Caiapó.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908464","NY00908464_01","L. R. Landrum","Caiapônia","-51.82","-17.23","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","617042","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"A. C. Cervi","3206","1990","11","22","South America","Brazil","Paraná","Arredores","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617042","NY00617042_01","C. E. B. Proença","Jaguariaíva","-49.68","-24.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1017394","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"L. R. Landrum","3887","1981","11","30","South America","Brazil","Paraná","Cachoeira and surroundings to Rio Barigui.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206476' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017394","NY01017394_01","L. R. Landrum","Mandirituba","-49.25","-25.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00958080","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","8717","1965","09","27","South America","Brazil","Distrito Federal","Near Sobradinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958080","NY00958080_01","L. R. Landrum","Brasília","-47.8167","-15.6333","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1182383","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","30894","1971","02","24","South America","Brazil","Bahia","Serra da Agua de Rega, ca. 23 km N. of Seabra, road to Agua de Rega, near Rio Riachão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182383","NY01182383_01","L. R. Landrum",NA,"-41.77805","-12.21875","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00958085","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","22078","1969","01","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 25 km S.W. of Diamantina on road to Gouveia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958085","NY00958085_01","L. R. Landrum",NA,"-43.68055","-18.40925","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1017393","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"P. K. H. Dusén","16592","1915","01","05","South America","Brazil","Paraná","Jaguariahyva app.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017393","NY01017393_01","L. R. Landrum","Jaguariaíva","-49.7056","-24.2511","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00958066","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"E. P. Heringer","6221","1981","02","18","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu, altos do Ribeirao Papuda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958066","NY00958066_01","L. R. Landrum","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00958083","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","10692","1965","11","26","South America","Brazil","Distrito Federal","Ca. 12 km W. of Taguatinga on road to Brasilândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958083","NY00958083_01","L. R. Landrum","Brasília","-48.15","-15.8","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00958055","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"R. Goodland","265","1965","11","30","South America","Brazil","Minas Gerais","Melo, 3 km N. of Herto. Paraopeba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958055","NY00958055_01","L. R. Landrum",NA,"-44.5","-19.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00958077","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"A. Macedo","1970","1949","10","16","South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958077","NY00958077_01","L. R. Landrum","Ituiutaba","-49.465","-18.9692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00958064","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"E. P. Heringer","18279","1982","02","11","South America","Brazil","Goiás",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958064","NY00958064_01","L. R. Landrum","Luziânia","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00958063","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"S. A. Mori","16920","1984","07","21","South America","Brazil","Goiás","5-7 km from BR060 on road to Rio Corumbá, ca. 12 km W of Alexânia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958063","NY00958063_01","L. R. Landrum","Alexânia","-48.5069","-16.0822","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00908465","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"G. M. Araújo","332","1987","11","14","South America","Brazil","Minas Gerais","Rodovia Uberlândia-Araguari, km 25, Araguari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908465","NY00908465_01","W. Mantovani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00958082","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","10377","1965","11","17","South America","Brazil","Goiás","Serra do Rio Preto, ca.10 km E. of Cabeceiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958082","NY00958082_01","L. R. Landrum","Cabeceiras","-46.89","-15.8","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00958049","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","7460","1964","10","27","South America","Brazil","Goiás","Ca. 40 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958049","NY00958049_01","L. R. Landrum","Caiapônia","-51.78","-17.27","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00958078","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"E. P. Heringer","8912/1106","1961","10","10","South America","Brazil","Distrito Federal","Zoobotanico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958078","NY00958078_01","L. R. Landrum","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1017395","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"L. R. Landrum","4044","1982","01","02","South America","Brazil","Paraná","Parque Iguacu/","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206477' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017395","NY01017395_01","L. R. Landrum","Curitiba","-49.25","-25.5","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00958086","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","25704","1970","01","29","South America","Brazil","Minas Gerais","Morro das Pedras, ca. 40 km N.E. of Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958086","NY00958086_01","L. R. Landrum",NA,"-43.2485756","-19.9480039","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00958051","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","22839","1969","01","29","South America","Brazil","Minas Gerais","Ca. 7km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958051","NY00958051_01","L. R. Landrum",NA,"-43.57","-18.2","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1017398","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"T. Sendulsky","867","1968","11","22","South America","Brazil","São Paulo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017398","NY01017398_01","L. R. Landrum","Botucatu","-48.4397","-22.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00958053","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","32916","1971","03","21","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 21 km N of Alto do Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958053","NY00958053_01","L. R. Landrum","Alto Paraíso de Goiás","-47.5167","-13.9269","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00958087","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","26826","1970","03","03","South America","Brazil","Minas Gerais","Rio Bicudo, ca. 20 km W of Corinto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958087","NY00958087_01","L. R. Landrum","Corinto","-44.6088","-18.30355","525","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00958084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","10855","1965","12","01","South America","Brazil","Goiás","Serra dos Pirineus, ca. 12 km S. of Corumbá de Goiás.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958084","NY00958084_01","L. R. Landrum","Corumbá de Goiás","-48.8086","-16.03204","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00958062","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","grandifolium",NA,"Psidium grandifolium","Mart. ex DC.",NA,"H. S. Irwin","25998","1970","02","04","South America","Brazil","Minas Gerais","Serra da Anta, summit of chapada, ca. 5 km N.W. of Paracatú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958062","NY00958062_01","L. R. Landrum","Paracatú","-46.8727778","-17.22555","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
