"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00809265","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","A. C. Brade","16289","1940","06","13","South America","Brazil","Rio de Janeiro","Teresopolis","Terezopolis, Garrafão","-42.9656","-22.4122","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809265","NY00809265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00809264","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809264","NY00809264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00809263","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","L. Riedel","1170",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809263","NY00809263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00809266","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","L. Riedel","216",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809266","NY00809266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00809267","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Y. E. J. Mexia","4969","1930","08","18","South America","Brazil","Minas Gerais",NA,"Districto Ilheu. Fazenda da Tabunha",NA,NA,"300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809267","NY00809267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00809262","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","L. Riedel","1372","1833","08",NA,"South America","Brazil",NA,NA,"In silr. Cozcorado",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809262","NY00809262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00809261","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","F. C. Hoehne","s.n.","1940","05","27","South America","Brazil","São Paulo","Ubatuba","Ubatuba","-45.0697","-23.4303",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809261","NY00809261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:15:43-03","MBM","MBM","53693","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","Hatschbach, G.; Pabst, G.; Pereira, E.; Pabst, G.; Pereira, E.","11412","1964","08","30","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra do Carcovado, Ponte do Inferno","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"MBM053693","MBM053693","Dematteis, M.","57442","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:15:43-03","MBM","MBM","34713","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","Pereira, E.","4913","1959","07","21","Southern America","Brazil","Rio de Janeiro",NA,"Silvestre",NA,NA,NA,NA,NA,NA,"MBM034713","MBM034713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2427648","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","M. Kuhlmann","3846","1956","6","29","South America - Neotropics","Brazil","São Paulo",NA,"São Sebastião fazenda Jaraguá",NA,NA,NA,NA,NA,NA,"US01625747","US01625747_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","483790","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","A. F. M. Glaziou","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"US01625751","US01625751_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","1692562","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","L. Riedel","1372","1883","8",NA,"South America","Brazil",NA,NA,"In silv Corcovado",NA,NA,NA,NA,NA,NA,"US01625746","US01625746_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2543222","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","Glaziou, --","484","1880","6",NA,"South America","Brazil",NA,NA,"Corcovado",NA,NA,NA,NA,NA,NA,"US01625749","US01625749_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","1420916","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","ex herb. Miers","3628",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Corcovado",NA,NA,NA,NA,NA,NA,"US01625750","US01625750_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2027476","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H. Rob.","A. C. Brade","14916","1935","6","29","South America - Neotropics","Brazil",NA,NA,"Estado do Rio, Angra do Reis, Serra do Mar, Jussarae",NA,NA,"400",NA,NA,NA,"US01625748","US01625748_01",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"16","2021-03-15 18:25:27-03","USP","SPF","211213","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Martins, EGA; Santos, AS; Mendes, MA","395","2008","08","01",NA,"Brasil","São Paulo","São José dos Campos","São Francisco Xavier, Estrada São Francisco Xavier - Joanópolis. 800 m após a bifurcação Lavras - Canelar, seguindo no sentido lavras.","-45.6535","-22.903","830","830",NA,"Arvoreta ca. 40 cm alt., prostada. Capítulos alvos.; Cerrado.","SPF00211213",NA,"Loeuille, B",NA,NA,NA,NA,"2011","08","-45.6535","-22.903",NA
"17","2019-11-01 14:53:42-03","UnB","UB","126560","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Magalhães, M","15101","1958","09","09","Southern America","Brasil","Minas Gerais","Teófilo Otoni","30km N de Teófilo Otoni","-41.505298614502","-17.8575000762939",NA,NA,NA,"Flores alvas.; Arbusto 1-3m.",NA,NA,NA,"62594","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-11-01 14:53:42-03","UnB","UB","126558","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Kuhlmann, M","3846","1956","06","29","Southern America","Brasil","São Paulo","São Sebastião","Fazenda Jaraguá","-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,NA,NA,NA,"41977","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-01 14:53:42-03","UnB","UB","126559","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Hoehne, FC","mod104","1940","05","27","Southern America","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"Flores alvas.; Arvoreta de vas finas e compridas.",NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 14:53:42-03","UnB","UB","126434","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Leitão Filho, HF","422","1968","05","05","Southern America","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"Flores brancas.; Arbusto 2,5m.",NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 11:53:04-03","UFU","HUFU","30653","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Lutz, B.","1467","1963","04","30",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"HUFU00045189","HUFU00045189","Nakajima, J.N.","36524","auto",NA,NA,"2016","03",NA,NA,NA
"22","2021-03-04 15:42:30-03","IF","SPSF","28151","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Robinson","M.D.Moraes","43","1995","05","27","América do Sul","Brasil","SP","Ubatuba","P.E.Serra do Mar, Núcleo Picinguaba","-44.852778","-23.3525",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Planície litorânea&nf;Arbusto até 4m altura; corola e estames brancos.; GEOGRAFIA: Local encharcado;",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"23","2021-03-04 15:42:30-03","IF","SPSF","28810","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Robinson","F.O. Souza & L.Rossi & F.Bonfim","46","2000","07","18","América do Sul","Brasil","SP","Caraguatatuba","P.E.Serra do Mar, Núcleo Caraguatatuba","-45.4099998474121","-23.6200008392334",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Mata Ombrófila Densa&nf;Arvoreta 5m altura, prostrada; capítulos alvos; GEOGRAFIA: Trilha dos Tropeiros;",NA,NA,NA,"30093","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:00:28-03","IBt","SP","119364","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Hoehne, W","5781","1964","07","15",NA,"Brasil","Rio de Janeiro",NA,"Próximo Vista Chinesa",NA,NA,NA,NA,NA,NA,NA,NA,"Simão Bianchini, R",NA,NA,NA,NA,"2016","08",NA,NA,"25"
"25","2019-11-21 10:00:28-03","IBt","SP","350427","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Souza-Buturi, FO; Rossi, L; Bonfim, F","46","2000","07","18",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, trilha dos Tropeiros","-45.4099998474121","-23.6200008392334",NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","30093","auto",NA,NA,"2016","08",NA,NA,"25"
"26","2019-11-21 10:00:28-03","IBt","SP","102191","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Mattos, J","13746","1966","05","24",NA,"Brasil","São Paulo","Caraguatatuba","Serra do Mar, Reserva Florestal","-45.4099998474121","-23.6200008392334",NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","30093","auto",NA,NA,"2016","08",NA,NA,"25"
"27","2019-11-21 10:00:28-03","IBt","SP","65738","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Kuhlmann, M","3846","1956","06","29",NA,"Brasil","São Paulo","São Sebastião","Fazenda Jaraguá","-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","41977","auto",NA,NA,"2016","08",NA,NA,"25"
"28","2019-11-21 10:00:28-03","IBt","SP","43440","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Smith, C","4823","1939","07","15",NA,"Brasil","São Paulo","Ubatuba","Estação Experimental","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","34265","auto",NA,NA,"2016","08",NA,NA,"25"
"29","2019-11-21 10:00:28-03","IBt","SP","42654","S","Plantae",NA,NA,"Asteraceae","Dasyanthina","serrata","Dasyanthina serrata","(Less.) H.Rob.","Hoehne, FC; Gehrt, A","s.n.","1940","05","27",NA,"Brasil","São Paulo","Ubatuba","Serra de Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","34265","auto",NA,NA,"2016","08",NA,NA,"25"
