"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","individualCount","infraspecificEpithet","continentOcean","preparationType","relationshipType","relatedCatalogItem","class","fieldNumber"
"1","2021-04-05 14:25:04-03","UNESC","CRI","3146","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Jorge Luiz Waechter","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1679","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001730","CRI001730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","10681","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez",NA,"Alecsandro S. Klein",NA,"2002","08","07","Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","164","164","CRI001716","CRI001716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","12754","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Peterson T. Padilha & Renato Colares","Alexandre Medeiros",NA,"2017","06","25","Brasil","Santa Catarina","Balneário Camboriú","PINHONAT (Pinho)","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI011018",NA,"2017","09","18","8793","Coleta 470. Habito: Epífita","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3305","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Elton. C. M. Leme",NA,NA,NA,NA,NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"2006","09","02","53584","254","auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","2873","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","08",NA,NA,"254",NA,"Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1254","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","04","15",NA,"254",NA,"Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1168","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","04","15",NA,"254",NA,"Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","738","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez","Elton. C. M. Leme","Elton M. C. Leme; R. Oliveira",NA,"2010","03","11","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio","-44.603099822998","-21.9755992889404","44°39,44'","22°02'52'",NA,NA,NA,NA,"2011","08",NA,"27460","254","auto","Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1167","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez","Elton C. M. Leme",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"2008","04","15","57442","254","auto","Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1104","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia","(Vell.) Mez",NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","254","auto","Magnoliophyta","Poales","1","var. distachia",NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","389","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var. distachia cultivar 'perrians pride'","(Vell.) Mez","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","08",NA,NA,"254",NA,"Magnoliophyta","Poales","1","var. distachia cultivar 'perrians pride'",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","376438","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia straussiana","(Wittm.) L.B.Sm.","R. Reitz","R. Reitz","6976","1958","08","03","Brazil","Santa Catarina","Rio do Sul","Salto do Pilao, Rio do Sul","-49.6431","-27.2144",NA,NA,"300","300","NY00376438","NY00376438_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257754' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,"straussiana","South America","sheet",NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","376432","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","C. C. Mez","F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00376432","NY00376432_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762685' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"14","2016-09-29 18:36:00-03","NY","NYBG","376436","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"F. C. Hoehne","F. C. Hoehne","29794","1932","08","08","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00376436","NY00376436_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762682' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","376437","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","L. B. Smith","P. K. H. Dusén","s.n.",NA,NA,NA,"Brazil","Paraná","Pinhais","Pinhais","-49.17","-25.42",NA,NA,NA,NA,"NY00376437","NY00376437_01",NA,NA,NA,NA,"cult e. fl. 4.1. 1916 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"16","2016-09-29 18:36:00-03","NY","NYBG","376441","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"M. A. Spencer","R. A. Wasum","8742","1992","10","28","Brazil","São Paulo","Campos do Jordao","Campos do Jordao - Horto Municipal","-45.48067","-22.690526",NA,NA,"1650","1650","NY00376441","NY00376441_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762681' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"17","2016-09-29 18:36:00-03","NY","NYBG","376442","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"O. Handro","O. Handro","2285","1977","08","26","Brazil","São Paulo","Sao Paulo","Sao Paulo, Agua Funda, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00376442","NY00376442_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762680' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
