"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00906251","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","G. Davidse","H. S. Irwin","29573","1971","02","01","South America","Brazil","Minas Gerais","Serra do Espinhaço. Steep rocky lower slopes of Pico de Itacolomí, ca. 3 km S. of Ouro Preto","-43.473094","-20.427823","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906251","NY00906251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00906249","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","J. F. Pensiero","W. D. Maia","s.n.","1967","05","25","South America","Brazil","Distrito Federal","Campo Experimental da UnB","-47.9","-15.95",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906249","NY00906249_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00906252","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","G. Davidse","W. R. Anderson","10191","1973","05","12","South America","Brazil","Goiás","Serra Dourada, ca. 17 km (straight line) S of Goiás Velho, ca. 6 km NE of Mossâmedes, in and along margin of forest on lower eastern slope of serra","-50.1333","-15.9333","700","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906252","NY00906252_01","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-28 16:20:00-02","NY","NYBG","00906250","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima",NA,NA,"M. A. Chase","8950","1925","03","20","South America","Brazil","Minas Gerais","Acaba Mundo. Serra do Curral, Southeast of Bello Horizonte",NA,NA,"900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906250","NY00906250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00906253","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","J. F. Pensiero","J. A. Ratter","R1213","1968","04","27","South America","Brazil","Mato Grosso","Córego Surucucu, 13 km. N of the Base Camp of the Expedition on the Xanvantina-São Felix road.","-51.87","-12.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906253","NY00906253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:20-03","EAO","IAN","67188","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.",NA,"Swallen, JR","4586","1934","05","12","Southern America","Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,"IAN067188",NA,"Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:20:14-03","NBC","NL-BOTANY","L.1341177","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","tenacissima","Setaria tenacissima","Schrad.",NA,"Balansa B",NA,"1876","02","01","Southern America","Paraguay",NA,"environs de Villa-Rica.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341177","NL-L1341177",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-22 17:46:25-03","UFPI","TEPB","9963","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Henk van der Werff","M.S.Bona Nascimento","623","1994","03","23",NA,"Brasil","Maranhão","Fazenda Brejo Comprido","-46.035556","-7.5325","72","72",NA,"Área localizada em baixada, sendo utilizada como pastagem cultivada, solo argilo-arenoso, com mediana drenagem. Erva ereta, disponível na estação de chuvas. Pastada por caprinos, ovinos e bovinos que comem caule, folhas. Ambiente: Cerrado",NA,NA,"Balsas",NA,"1905","06","05","46°02'08W","07°31'57S",NA,NA,NA,NA,NA
"9","2021-03-22 17:46:25-03","UFPI","TEPB","9004","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.",NA,"M. S. B. Nascimento","623","1994","03","23",NA,"Brasil","Maranhão","Fazenda Brejo Comprido","-46.035556","-7.5325",NA,NA,NA,"Área localizada em baixada, sendo utilizada como pastagem cultivada, solo argilo-arenoso, com mediana drenagem. Erva ereta, disponível na estação de chuvas. Pastada por caprinos, ovinos e bovinos que comem caule, folhas. Ambiente: Cerrado",NA,NA,"Balsas",NA,NA,NA,NA,"46°02'08W","07°31'57S",NA,NA,NA,NA,NA
"10","2009-06-27 16:40:00-03","MO","MOBOT","2664876","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Laegaard, S. (AAU)","Simon Lægaard","Lægaard 18543","1998","3","15","South America","Ecuador","Loja","Ca km 8 Catamayo-Loja, Acasia-scrub","-79.0166667","-3.9833333","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
