"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00248086","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","ainensis","Dioscorea ainensis","R.Knuth","isotype","E. P. Killip","22742","1929","05","07","South America","Peru","Ayacucho","Aina, between Huanta and Río Apurimac.","-73.860914","-12.664916","750","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248086","NY00248086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00248112","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","ferruginicaulis","Dioscorea ferruginicaulis","Rusby","holotype","O. E. White","2014A","1922","02",NA,"South America","Bolivia",NA,"[sp?] Esperanzas.",NA,NA,"152.4","152.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248112","NY00248112_01 NY00248112_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02206109","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"P. Fiaschi","2274","2004","06","02","South America","Brazil","Bahia","Fazenda Independência. Rod. Itaimbé-Potiraguá, ca. 15 km a partir da BR 101.","-39.5752778","-15.7033333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2254758' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206109","NY02206109_01","R. S. Couto; D. A. do Araújo","Potiraguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01922490","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"J. M. Schunke-Vigo","6017","1973","04","23","South America","Peru","San Martín","Alonso de Alvarado; Plantáno yacu, Carretera a Moyobamba",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2174676' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922490","NY01922490_01","R. S. Couto; D. A. do Araújo","Lamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 16:04:00-03","NY","NYBG","1801086","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana",NA,NA,"C. N. Fraga","2519","2009","04","14","South America","Brazil","Espírito Santo","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Mata do Fuxico.","-40.4442","-18.7772","360",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016043' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801086","NY01801086_01",NA,"Nova Venécia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01032548","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"J. C. Gomes","2650","1965","03","30","South America","Brazil","São Paulo","Ilha Vitoria, Litoral Norte","-45.024073","-23.736481",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200839' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032548","NY01032548_01","R. S. Couto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01922471","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"W. R. Anderson","36941","1972","03","14","South America","Brazil","Bahia","Espigao Mestre. Ca. 3km S of Cocos.","-44.5344009399414","-14.1838998794556","535","535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2177074' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922471","NY01922471_01","D. A. do Araújo","Cocos","199742","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03097563","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"N. C. Bigio","1734","2015","06","05","South America","Brazil","Rondônia","Vale das Cachoeiras. Trilha pra cachoeira.","-62.3764","-10.9189",NA,NA,"Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3303836' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097563","NY03097563_01","I. Mendes-Silva","Ouro Preto do Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:06-03","UFRJ","RFA","36996","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","257","2009","10","02",NA,"Brasil","Rio de Janeiro","Sana APA do Sana, trilha para a cachoeira da mãe","-41.7868995666504","-22.3708000183105",NA,NA,NA,"Trepadeira crescendo na sombra, estéril. Material coletado para cultivo. Tubérculo crescendo longitudinalmente.","RFA23727",NA,"R.S. Couto","Macaé","47209","auto","2009","10","02",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:30:06-03","UFRJ","RFA","37183","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","475","2011","01","25",NA,"Brasil","Rio de Janeiro","Caminho para o córrego dos micos, estrada para o morro da pedra rolada","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Trepadeira crescendo na beira da estrada, bastante frequente, local com muito sol. Flores verde-claras, aveluladas. Material coletado para anatomia.","RFA23990",NA,"R.S. Couto","Paraty","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
