"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","class","identifiedBy","minimumElevationInMeters","individualCount","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","345662","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Andropogon","scabriflorus","Andropogon scabriflorus","Rupr.","type","L. Riedel","2136","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345662","NY00345662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00896488","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A.Camus",NA,"M. A. Chase","8745","South America","Brazil","Lavras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896488","NY00896488_01","1925","03","06","Minas Gerais","Lavras","-44.99889","-21.24635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:20:03-03","NBC","NL-BOTANY","L.1328892","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"Parodi LR",NA,"Southern America","Argentina","Concepción gobernación de Missiones.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1328892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1328892","NL-L1328892","1926","01","01",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:20:03-03","NBC","NL-BOTANY","L.1328893","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"Parodi LR",NA,"Southern America","Argentina","Apóstoles Gobernación de Missiones.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1328893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1328893","NL-L1328893","1926","01","25",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:20:03-03","NBC","NL-BOTANY","L.1328894","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"Balansa B",NA,"Southern America","Paraguay","Paraguari, dans les prairies. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1328894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1328894","NL-L1328894","1876","02","11",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:20:03-03","NBC","NL-BOTANY","L.1328895","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"Balansa B",NA,"Southern America","Paraguay","Prairies d'Itangu, près de Villa-Rica.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1328895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1328895","NL-L1328895","1876","02","17",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:20:03-03","NBC","NL-BOTANY","L.1328896","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"Balansa B",NA,"Southern America","Paraguay","environs de L'assomption, dans les paturages.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1328896 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1328896","NL-L1328896","1874","02","01",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0064825","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Hack.) A.Camus",NA,"M. C. Peichoto","224",NA,"Argentina","Apóstoles. Camino de entrada al Parque Provincial de la Sierra.",NA,NA,NA,NA,"2012","2","18","Misiones",NA,"-55.62431","-27.845",NA,"M. C. Peichoto","155",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-20 18:12:50-03","UFSM","SMDB","910","S","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Rosengurtt.","6133",NA,"Paraguai",NA,NA,NA,"SMDB000910",NA,"1962","01","20","Depto. Missiones","San Ignácio",NA,NA,NA,"Rosengurt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-03-11 11:25:00-03","MO","MOBOT","100354951","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Timothy J. Killeen","Killeen 772","South America","Bolivia","Estación Las Madres",NA,NA,NA,NA,"1986","2",NA,"Santa Cruz","Nuflo de Chavez",NA,NA,NA,"Peichoto","500.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-27 10:51:00-03","MO","MOBOT","100551078","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Myriam C. Peichoto","Peichoto 136","South America","Argentina","Ruta Nacional 14, 12 km E de San José.",NA,NA,NA,NA,"2009","3","1","Misiones","Apóstoles",NA,NA,NA,"M.C. Peichoto",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-01-29 06:08:00-02","MO","MOBOT","101096687","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Cassiano A.D. Welker|Myriam C. Peichoto","Welker 582","South America","Argentina","Por ruta nacional 14, a 12 km NE del cruce de rutas naconal 14 y provincial 105, camino a ..",NA,NA,NA,NA,"2013","1","27","Misiones","Apóstoles",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1490545","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"José E. Montes","Montes 27640","South America","Argentina","Dpto. Cainguas; Mineral",NA,NA,NA,NA,"1958","3","13","Misiones",NA,NA,NA,NA,"G. Davidse","270.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-03-11 11:19:00-03","MO","MOBOT","1834166","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Timothy J. Killeen","Killeen 2328","South America","Bolivia","40 km S of Concepción",NA,NA,NA,NA,"1986","2","26","Santa Cruz","Nuflo de Chavez","-62","-16.4166667",NA,"M. C. Peichoto (CTES)",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"15","2014-04-03 08:50:00-03","MO","MOBOT","1951578","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Schizachyrium","scabriflorum","Schizachyrium scabriflorum","(Rupr. ex Hack.) A. Camus",NA,"Timothy J. Killeen","Killeen 1772","South America","Bolivia",NA,NA,NA,NA,NA,"1986","2",NA,"Santa Cruz","Nuflo de Chavez","-62","-16",NA,NA,"500.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA
