"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1172953","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","M. G. da Silva","3642","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400736' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172953","NY01172953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00895807","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","H. S. Irwin","17676","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895807","NY00895807_01","G. Davidse","1966","06","23","Piranhas","Drainage of the Upper Rio Araguaia.","-51.85","-16.53","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 01:23:00-03","NY","NYBG","00895739","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum",NA,"J. R. Swallen","3518","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895739","NY00895739_01",NA,"1934","02","18",NA,"Caxias to Barra do Corda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1172955","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","L. Coradin","755","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401051' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172955","NY01172955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00895808","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","G. Eiten","3960","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895808","NY00895808_01","J. R. Swallen","1962","04","03","Lorêto","Ilha de Balsas region, between the Rivers Balsas & Parnaíba. 100 m. NE of main house of Fazenda Morros, about 35 km south of Lorêto. At head of the brook Riacho da Atraca","-45.07","-7.38","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1172959","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","G. Davidse","17964","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400823' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172959","NY01172959_01",NA,"1980","04","06","Maracanã","Ca. 73 airline km NE of Castanhal; savanna adjoining the village of Martins Pinheiro; Campo Martins Pinheiro.","-47.583333","-0.866667","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","696482","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","D. C. Daly","11028","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00696482","NY00696482_01","G. Davidse","2001","10","24","Santa Rosa do Purus","Rio Purus, downstream from Santa Rosa town","-70.5061","-9.4892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","865735","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","G. T. Prance","2942","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865735","NY00865735_01","G. Davidse","1966","10","29","Mâncio Lima","Rio Moa","-72.8956","-7.6144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00895806","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","H. S. Irwin","11890","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895806","NY00895806_01","G. Davidse","1966","01","21","Itaberaí","Serra Dourada, ca. 30 km S.E. of Goiás Velho","-49.93527778","-16.125","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00895832","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","G. Eiten","3735A","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895832","NY00895832_01","J. R. Swallen","1962","03","21","Lorêto","Ilha de Balsas region, between the Rios Balsas & Parnaíba. ca. 100 m. SE of main house of Fazenda Morros, about 35 km south of Lorêto. At head of the brook Riacho da Atraca","-45.07","-7.38","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1172961","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","J. M. Pires","52110","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172961","NY01172961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1172957","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","S. R. Hill","12992","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401921' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172957","NY01172957_01","T. de S. Filgueiras","1983","07","08",NA,"Rio Abacaxis, black water across from Axinim, Fazenda of Francisco Ceará; at margin of river, perhaps floating at high water.","-58.683333","-4.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","229798","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","J. A. Silva","631","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229798","NY00229798_01","T. de S. Filgueiras","1986","08","05",NA,"Estrada BR 174, Boa Vista-Venezuela","-60.67","2.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1172962","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","E. A. Goeldi","211","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172962","NY01172962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1172952","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","melanospermum","Paspalum melanospermum","Desv. ex Poir.","G. T. Prance","14125","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172952","NY01172952_01","E. C. Tenório","1971","07","11",NA,"Rio Ituxi, lake west of Boca do Curuquetê.","-65.6946373","-8.3287049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
