"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","county","locality","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","547161","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén","type","P. K. H. Dusén","3329","1904","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547161","NY00547161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565252","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"J. Cordeiro","1437","1997","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565252","NY00565252_01","G. G. Hatschbach","03","20","Sao José dos Pinhais","Estrada para Usina de Guaricana, Palmital Grande","-49.2064","-25.5347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","565254","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"P. K. H. Dusén","7476","1909","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565254","NY00565254_01","A. O. S. Vieira","01","04","Ipiranga",NA,"-50.5842","-25.0242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565255","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"R. Reitz","3710","1951","South America","Brazil","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565255","NY00565255_01","A. O. S. Vieira","01","12","Campo Alegre",NA,"-49.2656","-26.1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","565253","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"G. G. Hatschbach","26191","1971","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565253","NY00565253_01","A. O. S. Vieira","01","31","Piraquara","Banhado","-49.0631","-25.4419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:12:27-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"Ribas, OS; Silva, JM; Valente, LA","4259","2002","Southern America","Brasil","Paraná",NA,"ereta, 2,5 m., látex alvo, flor lilás.",NA,NA,"Hatschbach, G","01","29","São José dos Pinhais","Lavrinha","-49.2064018249512","-25.5347003936768","2002","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:47:08-03","NBC","NL-BOTANY","L.3002030","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"Hatschbach GG",NA,"1969","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3002030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3002030","NL-L3002030",NA,"01","09",NA,"Est. Parana (Brasil) Mun. Morretes, Estr. Graciosa, Grota Funda.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:47:08-03","NBC","NL-BOTANY","L.3002031","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"Hatschbach GG",NA,"1960","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3002031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3002031","NL-L3002031",NA,"12","27",NA,"Est. Parana (Brasil) Mun. S. José des Pinhaes, Serra de Mar, base Merre do Campininhe.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-12 20:58:06-03","FPS","FPS","1314","MachineObservation","Plantae",NA,NA,"Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"Schwirkowski, P.;",NA,"2020",NA,"Brasil","Santa Catarina",NA,NA,"FPS01314","FPS01314_v01 FPS01314_v02 FPS01314_v03 FPS01314_v04 FPS01314_v05","Schwirkowski, P.","01","11","Campo Alegre","Turvo. Margens do Rio Vermelho","-49.224963","-26.229221","2020",NA,NA,NA,"01","11","-49.224963","-26.229221",NA,NA,NA,NA,NA,NA
"10","2019-12-19 08:15:14-03","FPS","FPS","693","MachineObservation","Plantae",NA,NA,"Campanulaceae","Lobelia","langeana","Lobelia langeana","Dusén",NA,"Schwirkowski, P. & J.F.Bianconcini","947","2015",NA,"Brasil","Santa Catarina",NA,"<ll>dwc_commonname:</ll> Lobélia","FPS00693","FPS00693_v01 FPS00693_v02 FPS00693_v03 FPS00693_v04 FPS00693_v05","Schwirkowski, P.","01","31","São Bento do Sul","Minas de caulim","-49.222126","-26.288067","2015",NA,NA,NA,"01","31","-49.222126","-26.288067",NA,NA,NA,NA,NA,NA
