"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:41:17-03","E","E","146717","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Dubs, Balthasar","2069","1996","01","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170924","<a href=http://data.rbge.org.uk/herb/E00146717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00893525","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","W. R. Anderson","11513","1975","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893525","Magnoliophyta","Malpighiales","A.Juss.","Goiás","Cristalina","Ca. 7 km E of Cristalina on Brasília - Belo Horizonte highway","-47.55358","-16.79473","1200","1200","NY00893525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00893782","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","W. R. Anderson","11314","1975","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893782","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","Rondonopolis","Highway BR-163, 1 km S of Rondonópolis","-54.6333","-16.47574","400","400","NY00893782_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00893529","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","E. P. Heringer","13085","1974","01","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893529","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","Brasília","Chapada da Contagem.","-47.9294","-15.7797","1300","1300","NY00893529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00893523","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","A. F. M. Glaziou","20776",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893523","Magnoliophyta","Malpighiales","A.Juss.","Goiás",NA,NA,NA,NA,NA,NA,"NY00893523_01 NY00893523_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00893524","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","A. F. M. Glaziou","20775",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893524","Magnoliophyta","Malpighiales","A.Juss.","Goiás",NA,NA,NA,NA,NA,NA,"NY00893524_01 NY00893524_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00893528","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","G. G. Hatschbach","33236","1973","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893528","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","Alto Garças","Rod. Br 364.","-53.5281","-16.9442",NA,NA,"NY00893528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00893522","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","W. R. Anderson",NA,"1975","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893522","Magnoliophyta","Malpighiales","A.Juss.","Goiás","Luziania","Cerrado near highway between Brasília and Cristalina","-47.9503","-16.2528","1000","1000","NY00893522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893530","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","R. M. Harley","11349","1968","12","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893530","Magnoliophyta","Malpighiales","A.Juss.","Goiás",NA,"Just S. of Chapada dos Veadeiros, c. 50 km. due North of Brasília.",NA,NA,NA,NA,"NY00893530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00893517","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","H. S. Irwin","10240","1965","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893517","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","Brasília","Ca. 3 km S.E. of Gama","-48.06349","-15.96917","1200","1200","NY00893517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
