"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:25-03","UNESC","CRI","9114","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","uleana","Cyathea uleana","(Samp.) Lehnert","A. Salino","2012","02","01","E. Caglioni; A. Uhlmann e A. L. de Gasper","112","2012","01","03","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí.","-49.078056","-27.058889","49º4'41''W","27º3'32''S","320","320","Floresta Ombrófila Densa Habitat: mata secundária Habito: arborescente","CRI008090","CRI008090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","816282","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana","(Samp.) R.M.Tryon","R. G. Stolze",NA,NA,NA,"L. B. Smith","2077","1929","03","06","Brazil","São Paulo",NA,"Estação Biológica, Alto da Serra","-46.32","-23.78",NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816282","NY00816282_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","816285","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana uleana","(Samp.) R.M.Tryon","R. G. Stolze",NA,NA,NA,"P. K. H. Dusén","14245","1912","10","04","Brazil","São Paulo",NA,"Alto da Serra.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816285","NY00816285_01","Pteridophyta","Cyatheales","South America","sheet","uleana",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","816280","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana","(Samp.) R.M.Tryon","R. G. Stolze",NA,NA,NA,"H. Luederwaldt","22010","1917","10",NA,"Brazil","Paraná","Ipiranga","Ypiranga.","-50.5842","-25.0242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816280","NY00816280_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 19:00:00-03","NY","NYBG","816283","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana",NA,"R. G. Stolze",NA,NA,NA,"A. F. M. Glaziou","2420","1868","05","21","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816283","NY00816283_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","816281","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana","(Samp.) R.M.Tryon","R. G. Stolze",NA,NA,NA,"M. Wacket","90","1906",NA,NA,"Brazil","São Paulo",NA,"Alto da Serra.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816281","NY00816281_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02578025","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana","(Samp.) R.M.Tryon",NA,NA,NA,NA,"A. F. M. Glaziou","2420",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2837998' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578025","NY02578025_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","816284","PreservedSpecimen","Plantae","Cyatheaceae","Cnemidaria","uleana","Cnemidaria uleana","(Samp.) R.M.Tryon","R. G. Stolze",NA,NA,NA,"P. K. H. Dusén","17306","1915","11","04","Brazil","Paraná",NA,"Serra do Mar, Cadeado.",NA,NA,NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816284","NY00816284_01","Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","04004805","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","uleana","Cyathea uleana","(Samp.) Lehnert",NA,NA,NA,NA,"H. H. van der Werff","21071","2006","04","28","Peru","Cusco","La Convención","Above Quillouno","-72.5014","-12.4472",NA,NA,"2300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4305916' target='other'> <mi>dwc_moreinfo</mi></a>","NY04004805",NA,"Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","04004807","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","uleana","Cyathea uleana","(Samp.) Lehnert",NA,NA,NA,NA,"H. H. van der Werff","17546","2003","06","21","Peru","Pasco","Oxapampa","La Suiza Nueva.","-75.45","-10.63",NA,NA,"2240",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4305918' target='other'> <mi>dwc_moreinfo</mi></a>","NY04004807",NA,"Pteridophyta","Cyatheales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
