"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","sex","preparationType"
"1","2019-10-09 11:28:36-03","UFBA","ALCB","108476","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","Barberena, FFVA","2016","05","11","Hurbath, F; Cordeiro, I; Carneiro-Torres, D; Pscheidt, A","587","2012","11","21","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Morro do Gobira.","-41.3708000183105","-13.0052995681763","52493","ca. 10 cm. Folhas concolores. Flores rosa choque. Epífita em uma Velloziaceae.","ALCB007102","ALCB007102","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:29-03","ESALQ","ESA","121860","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Cattleya","sincorana","Cattleya sincorana",NA,"Catharino, E.L.M.",NA,NA,NA,NA,"17723.0",NA,NA,NA,NA,"Brasil","Bahia","Contendas do Sincorá","Serra do Sincorá.","-41.0410995483398","-13.7628002166748","27330",NA,"ESA121860","ESA121860","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-11-06 16:18:29-02","UFPB","EAN","6245","S","Plantae",NA,"Orchidaceae","Laelia","sincorana","Laelia sincorana","Schltr.","L. P. Felix","1991","10","26",NA,"4462","1991","10","26",NA,"Brasil","Bahia","Ibicoara","Serra do sincorá","-41.2847","-13.4106","34188","Erva; flores violáceas; folhas crassas. Frequente em sítio rupestre nas partes mais altas de serra..Habitat: Epífita e rupícola.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:19:53-03","UEFS","HUEFS","134636","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","D.N.Carvalho","2013","10",NA,"Ferreira, M.C.","214","1989","11","04",NA,"Brasil","Bahia","Morro do Chapéu","Ibiquiara, Cascavel, trilha para o Rumo (Machobongo). Entre Riachão e o Morro do Chapéu.","-41.1561012268066","-11.5500001907349","98143",NA,"HUEFS0134636",NA,"auto","Lilianae","Asparagales",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:19:53-03","UEFS","HUEFS","70969","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","D.N.Carvalho","2014","04",NA,"Borba, E.L.","2106","2001","11","17",NA,"Brasil","Bahia","Palmeira","Gerais do Guiné","-41.481111","-12.769444",NA,"Campo rupestre","HUEFS0070969","HUEFS0070969",NA,"Lilianae","Asparagales","41W28'52''","12S46'10''","1363","1363",NA,NA,NA
"6","2019-10-07 09:19:53-03","UEFS","HUEFS","134648","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","D.N.Carvalho","2014","04",NA,"Orlandi, R.P.","287","1980","09","02",NA,"Brasil","Bahia","Mundo Novo",NA,"-40.365278","-11.760556",NA,NA,"HUEFS0134648",NA,NA,"Lilianae","Asparagales","40W21'55''","11S45'38''",NA,NA,NA,NA,NA
"7","2019-10-07 09:19:53-03","UEFS","HUEFS","181174","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg",NA,NA,NA,NA,"Oliveira, R.P.","1934","2011","11","01",NA,"Brasil","Bahia","Mucugê","Distrito de Guiné, Serra do Esbarrancado. No topo da serra.","-41.511389","-12.756111",NA,"Campo rupestre.","HUEFS0181174",NA,NA,"Lilianae","Asparagales","41W30'41''","12S45'22''","1111","1379",NA,NA,NA
"8","2019-10-07 09:19:53-03","UEFS","HUEFS","68376","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","D.N.Carvalho","2014","04",NA,"Smidt, E.C.","294","2002","10","21",NA,"Brasil","Bahia","Mucugê","Guiné.","-41.5","-12.85",NA,"Rupestre.","HUEFS0068376","HUEFS0068376",NA,"Lilianae","Asparagales","41W30'","12S51'",NA,NA,NA,NA,NA
"9","2019-10-07 09:19:53-03","UEFS","HUEFS","114238","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Cattleya","sincorana","Cattleya sincorana","(Schltr.) Van den Berg","D.N.Carvalho","2013","10",NA,"Cardoso, D.","1411","2006","11","18",NA,"Brasil","Bahia","Palmeiras","Parque Nacional da Chapada Diamantina, Morro Mãe Inácia.","-41.466667","-12.45",NA,"Campo rupestre.","HUEFS0114238",NA,NA,"Lilianae","Asparagales","41W28'","12S27'","1100","1100",NA,NA,NA
"10","2014-10-09 13:58:28-03","UHH","HBG","500691","S","Plantae",NA,"Orchidaceae","Laelia","sincorana","Laelia sincorana","Schltr.","E.A. Christenson","1993","05",NA,"Ule, E.","7093","1906","11",NA,"South America","Brazil",NA,NA,"Estado de Bahía, Serra Sincorá",NA,NA,NA,"Epiphyt, Bl. purpurn, auf Vellozia; E. Ule: Herbarium Brasiliense NEOTROP","HBG500691","HBG500691",NA,NA,NA,NA,NA,NA,NA,"Neotype",NA,NA
