"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:38:54-03","E","E","314087","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana","isotype","Riedel, Ludwig","888","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:353724","<a href=http://data.rbge.org.uk/herb/E00314087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:54-03","E","E","274290","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"Pott, A.; Coutinho, M.E.; Ribeiro, G.W.","5640","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284945","<a href=http://data.rbge.org.uk/herb/E00274290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274290","1990","09","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","540709","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"A. M. Amorim","842","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=569850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540709","1992","10","08","Magnoliophyta","Oxalidales","K.Schum.","M. J. E. Coode","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540713","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"J. M. Silva","188","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=569857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540713","1986","09","10","Magnoliophyta","Oxalidales","K.Schum.","G. G. Hatschbach","Paraná","Morretes","Véu de noiva","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540715","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"R. Reitz","2520","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=569844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540715","1956","01","19","Magnoliophyta","Oxalidales","K.Schum.","C. E. Smith, Jr.","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996304","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"E. P. Heringer","5770","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996304","1980","11","25","Magnoliophyta","Oxalidales","K.Schum.","A. Vicentini","Distrito Federal","Brasília","Córrego Rajadinha.","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996289","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"J. A. Ratter","R.1401","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996289","1968","05","12","Magnoliophyta","Oxalidales","K.Schum.","D. A. Castaneda","Mato Grosso",NA,"1.5 km W of the Rio Suia - Missu Ferry. (approx. 290 km N of Xavantina).","-52.35239","-12.356739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02212531","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"J. L. Hage","2359","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2351749' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212531",NA,NA,NA,"Magnoliophyta","Oxalidales","K.Schum.",NA,"Bahia","Una","Reserva Biológica do Mico-Leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. região da Mata hygrófila Sul Bahiana.","-39.08","-15.15",NA,NA,"NY02212531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","868288","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"B. A. Krukoff","5783","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868288",NA,NA,NA,"Magnoliophyta","Oxalidales","K.Schum.","C. E. Smith, Jr.","Acre","Sena Madureira","Basin of Rio Purus, near mouth of Rio Macaua, tributary of Rio Iaco.","-68.72","-9.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996307","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","garckeana","Sloanea garckeana",NA,"M. A. Lopes","555","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996307","1984","10","20","Magnoliophyta","Oxalidales","K.Schum.","N. P. Smith","Minas Gerais",NA,"Est. Biol. de Caratinga M.G. (& Preguiça).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
