"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","infraspecificEpithet","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01164741","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","P. Guiamaraes","F. Almeda","9847","2009","03","16","South America","Brazil","São Paulo","São José do Barreiro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1439","1509","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487664' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164741","NY01164741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01164715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","P. Guiamaraes","F. Almeda","9843","2009","03","16","South America","Brazil","São Paulo","São José do Barreiro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1439","1509","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164715","NY01164715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:52-03","ESALQ","ESA","63114","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Meyer, F.S.","Souza, J.P. et al.","1023.0","1996","12","17",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA063114","ESA063114","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:13:52-03","ESALQ","ESA","140437","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Santos, P.M.L.A.","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","72.0","2016","12","12",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Subarbusto. Flores cremes","ESA140437",NA,"34470","auto","2017","03","11",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:56:10-03","ESALQ","ESA","142011","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Antonio, P.E.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","245.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","1800","1800",NA,"Arbusto, ca. 0,5 m alt., frutos imaturos verdes e maduros marrons.","ESA142011",NA,NA,NA,"2016","05","24","44°48'50W","23°08'25S",NA,NA,NA,NA,NA
"6","2021-03-01 16:35:01-03","UNICAMP","UEC","113486","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Pleroma","cinereum","Pleroma cinereum","(Cogn.) P.F.J. Guim. & Michelang.","Santos, PMLA","Freitas, L; Sazima, M","197","1998","01","24",NA,"Brazil","São Paulo","São José do Barreiro","Brasil, São Paulo, São José do Barreiro, caminho do pico Tira Chapéu.","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto 0,8-1,1 m de altura.Flores pequenas brancas;estames em disposição radial, folhas discolores.; Campo de altitude.","UEC181300","UEC181300","30784","auto","2020","02","10",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:35:16-03","UNICAMP","UEC","25024","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Chiea, SAC","Shepherd, GJ; Shepherd, SLK","12895","1981","09","08",NA,"Brazil","São Paulo",NA,"Serra da Bocaina, Km 25. Estrada para a Fazenda Pinheirinho. Campo ao lado do Rio Manbucaba.",NA,NA,"1600","1600",NA,"Arbusto de até 2m. Pétalas brancas estames castanhadas.",NA,NA,NA,NA,"1987","05",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:35:16-03","UNICAMP","UEC","113487","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Meyer, FS","Freitas, L; Sazima, M","190","1998","01","24",NA,"Brazil","São Paulo","São José do Barreiro","Caminho do Pico Tira Chapéu, Campo de altitude.","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto, 0,8 a 1,1m; flores pequenas brancas; estames em disposição radial.","UEC049605",NA,"30784","auto","2012","12","17",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-01 15:28:26-03","PUC-RIO","FCAB","1918","PreservedSpecimen","Plantae",NA,"Angiospermae","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.",NA,"P. Capell S.J.","s.n.","1953","01","23",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"001918",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-12-29 16:29:55-02","MNHN","RECOLNAT_MNHN_P","P00121035","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Wurdack","Glaziou, A.",NA,"1876","2","11",NA,"Brésil",NA,NA,"Sao Paulo: Campos da Bocaina",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121035' target='other'> <mi>dwc_moreinfo</mi></a>","P00121035","P00121035_01",NA,NA,NA,NA,NA,NA,NA,"isotype","8367",NA,NA,NA
"11","2015-09-04 21:18:28-03","MNHN","RECOLNAT_MNHN_P","P00121036","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Wurdack","Glaziou, A.",NA,"1876","2","11",NA,"Brésil",NA,NA,"Sao Paulo: Campos da Bocaina",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121036' target='other'> <mi>dwc_moreinfo</mi></a>","P00121036","P00121036_01",NA,NA,NA,NA,NA,NA,NA,"isotype","8367",NA,NA,NA
"12","2016-12-29 16:39:47-02","MNHN","RECOLNAT_MNHN_P","P00121037","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea parvifolia","Cogn.","Wurdack","Glaziou, A.",NA,"1889","3",NA,NA,"Brésil",NA,NA,"Sao Paulo: Magy dos Cruzes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121037' target='other'> <mi>dwc_moreinfo</mi></a>","P00121037","P00121037_01",NA,NA,NA,NA,NA,NA,NA,NA,"19306","parvifolia",NA,NA
"13","2015-09-04 21:18:29-03","MNHN","RECOLNAT_MNHN_P","P00121038","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea parvifolia","Cogn.","Wurdack","Glaziou, A.",NA,"1889","3",NA,NA,"Brésil",NA,NA,"Sao Paulo: Magy dos Cruzes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121038' target='other'> <mi>dwc_moreinfo</mi></a>","P00121038","P00121038_01",NA,NA,NA,NA,NA,NA,NA,NA,"19306","parvifolia",NA,NA
"14","2016-12-29 16:37:19-02","MNHN","RECOLNAT_MNHN_P","P00121039","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea parvifolia","Cogn.","Wurdack","Glaziou, A.",NA,"1889","3",NA,NA,"Brésil",NA,NA,"Sao Paulo: Magy dos Cruzes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00121039' target='other'> <mi>dwc_moreinfo</mi></a>","P00121039","P00121039_01",NA,NA,NA,NA,NA,NA,NA,NA,"19306","parvifolia",NA,NA
"15","2021-02-11 17:20:19-03","UFPR","UPCB","84266","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","Meyer, F.S.","Reginato, M.","1432","2013","02","08",NA,"Brasil","São Paulo","São José do Barreiro","P. N. da Bocaina","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto 1m. Frutos verdes. Flores com pétalas e estames alvos. Campos de Altitude..","UPCB0036674","UPCB0036674","30784","auto","2016","06",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-03 10:38:00-03","MO","MOBOT","101202052","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","cinereum","Pleroma cinereum","(Cogn.) P.J.F. Guim. & Michelang.","fide Guimarães et al.","Auguste F.M. Glaziou","Glaziou 8367","1876","2","11","South America","Brazil","São Paulo",NA,"Campos da Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype",NA,NA,"1",NA
"17","2012-10-31 05:11:00-02","MO","MOBOT","3310333","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","J.J. Wurdack","George J. Shepherd|S.L.K. Shepherd","Shepherd 12895","1981","9","8","South America","Brazil","São Paulo",NA,"Serra da Bocaina, km 25 estr.p/Faz. Pinheirinho. Campo ao lado do Rio Manbucaba",NA,NA,"1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-23 13:22:50-03","MN","R-TIPOS","9655","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.",NA,"Glaziou, A.F.M.","8367","1876","02","11",NA,"Brasil","São Paulo",NA,"Campos da Bocaína",NA,NA,NA,NA,NA,NA,"R000009655","R000009655_001",NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA,NA
"19","2017-09-11 17:11:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.",NA,"Glaziou, AFM","8367Herb.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P14P3N0095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014-12-02 13:35:10-02","CAS","CAS-BOT","409233","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","P.J.F. Guimarães","Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9847","2009","3",NA,"South America","Brazil","São Paulo",NA,"Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1493","1509",NA,"Shrub to 1.5 m tall. No flowers seen. Calyx lobes deciduous. Immature capsule green. Common.",NA,NA,NA,NA,NA,NA,NA,"44.61657° W","22.73318° S",NA,NA,NA,NA,"Magnoliopsida"
"21","2017-12-07 11:37:59-02","CAS","CAS-BOT","573929","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.",NA,"Segadas-Vianna","3.205","1951","5",NA,"South America","Brazil",NA,NA,"St. of Säo Paula, Silveiras Co., Serra da Bocaina, Road to Taquaral",NA,NA,"1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"22","2014-12-02 13:35:03-02","CAS","CAS-BOT","409232","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cinerea","Tibouchina cinerea","Cogn.","P.J.F. Guimarães","Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9843","2009","3",NA,"South America","Brazil","São Paulo",NA,"Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1493","1509",NA,"Shrub 0.5 m tall. Flowers 4-merous and pendent. Androecium white, positioned in a wide circle around the style. Uncommon.",NA,NA,NA,NA,NA,NA,NA,"44.61657° W","22.73318° S",NA,NA,NA,NA,"Magnoliopsida"
