"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","148677","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","glaziovii","Alsophila glaziovii","Fée","holotype fragment","A. F. M. Glaziou","3107","South America","Brazil","Rio de Janeiro","[This is not on the label: Prope Rio de Janeiro. Organ Mount. Protologue stated that the specific locality was not known]","-43.0084","-22.5309","sheet","Thsi Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148677","NY00148677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","148675","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","glaziovii","Alsophila glaziovii","Fée","isotype fragment","A. F. M. Glaziou","s.n.","South America","Brazil","Rio de Janeiro","[Rio de Janeiro]",NA,NA,"sheet","This Type Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148675","NY00148675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","148676","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","glaziovii","Alsophila glaziovii","Fée","holotype fragment","A. F. M. Glaziou","3582","South America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,NA,"sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148676","NY00148676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01091276","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"P. Fiaschi","1575","South America","Brazil","Bahia","Ca. 13.5 da estrada de Barro Preto ato o acesso à Serra da Pedra Lascada.","-39.5377778","-14.7727778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091276","NY01091276_01","F. B. Matos","2003","08","13","Barro Preto","960","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","816460","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Trichipteris","glaziovii","Trichipteris glaziovii","(Fée) R.M.Tryon",NA,"J. P. P. Carauta","2054","South America","Brazil","Rio de Janeiro","Parque Nacional da Tijuca, Caminho do Encanamento.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00816460","NY00816460_01",NA,"1976","05","31","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:31-03","UFRJ","RFA","18943","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"P. Occhioni","8550",NA,"Brasil","Paraná","Descida da Serra do Mar","-48.5092010498047","-25.5200004577637",NA,"2m altura","RFA41230",NA,"V. Lino","1978","05","25","Paranaguá",NA,NA,"2011","11","21","24916","auto",NA,NA,NA,NA,NA
"7","2020-06-29 11:29:58-03","UFRJ","RFA","4462","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pereira, E.","4119",NA,"Brasil","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232",NA,NA,"RFA41232",NA,"Lima, V.L & Sylvestre, L.S","1958","09","03","Rio de Janeiro",NA,NA,"2011","11","22","57442","auto",NA,NA,NA,NA,NA
"8","2021-04-05 09:58:59-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","24725","S","Plantae","Tracheophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,NA,NA,"América do Sul","Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serra de Pacatuba",NA,NA,NA,NA,NA,NA,NA,"Polypodiopsida",NA,NA,NA,NA
"9","2021-04-05 09:58:59-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","07123","S","Plantae","Tracheophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"P.G. Windisch","6995","América do Sul","Brasil","Goiás","cachoeira do rio correntes","-51.926399230957","-18.9652996063232",NA,"GEOGRAFIA: mata ciliar, grotão, terrestre;",NA,NA,"M.R. Pietrobom","1992","04","03","Aporé",NA,NA,NA,NA,NA,"65990","auto","Polypodiopsida",NA,NA,NA,NA
"10","2019-12-04 15:26:11-03","PUCPR","HUCP","24739","S","Plantae","Monilofita",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin.",NA,"Kersten, RA","1661",NA,"Brasil","Paraná","Fazenda Experimental Gralha Azul","-49.3081016540527","-25.6574993133545",NA,"Arborescente em área alterada em regeneração 900m s.n.m","HUCP00024739","HUCP00024739_1 HUCP00024739_2 HUCP00024739_3","Kersten, RA","2016","09","03","Fazenda Rio Grande",NA,NA,"2017","12","30","12596","auto",NA,NA,NA,NA,NA
