"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","7796","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) C.B.Clarke","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","872","2004","12","20","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina, próximo ao estacionamento da Joaquina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: erva","CRI002096","CRI002096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","7844","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) C.B.Clarke","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","490","2004","03","05","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina, próximo ao estacionamento da Joaquina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada seca entre dunas, na restinga Habito: erva","CRI002097","CRI002097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:31-03","E","E","514519","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris",NA,NA,"Saint-Hilaire, A.F.C.P.","2496",NA,NA,NA,"UY",NA,NA,"Banda Oriental del Uruguay",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00514519 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514519",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:548736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:31-03","E","E","212407","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris",NA,NA,"Harley, R.M.",NA,"1977","03","28","BR","Bahia","Serra Do Rio de Contas","Between 2.5 and 5 km S. of Vila do Rio de Contas on side road to W. of the road to Livramento, leading to the Rio Brumado.","-41.833333","-13.6","-41.833333","-13.600000","980","980","<a href=http://data.rbge.org.uk/herb/E00212407 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212407",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:226732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","500758","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) Kunth ex C.B.Clarke",NA,"G. O. A. Malme","1553","1902","03","27","Brazil","Rio Grande do Sul",NA,"Rio Grande ofifiid.",NA,NA,NA,NA,NA,NA,"Plantae Itineris Regnelliani IIdi N:o 1553 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500758","NY00500758_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","500750","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) Kunth ex C.B.Clarke",NA,"P. K. H. Dusén","6778","1908","09","30","Brazil","Paraná",NA,"Jacarchy in arenosis.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500750","NY00500750_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","500748","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) Kunth ex C.B.Clarke",NA,"P. E. Gibbs","3511","1976","11","10","Brazil","São Paulo",NA,"Sao Sebastiao - Bertioga.","-45.71323","-23.771129",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500748","NY00500748_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916598","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) Kunth ex C.B.Clarke","W. W. Thomas","W. A. Teixeira","25074","1994","05","26","Brazil","Minas Gerais","Itabirito","Pico do Itabirito.","-43.8014","-20.2533",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916598","NY00916598_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1747906","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) Kunth ex C.B.Clarke","A. C. Araújo","D. C. Zappi","2628","2009","11","28","Brazil","Minas Gerais","Santana do Pirapama","Serra do Cipó, acesso por Inhame, Trilha do João Carrinho.","-43.741569","-19.051508",NA,NA,"843",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01747906","NY01747906_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 14:26:00-03","NY","NYBG","568559","PreservedSpecimen","Plantae","Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris elatior","(Griseb.) Osten","T. M. Pedersen","T. M. Pedersen","10039","1971","11","25","Argentina","Corrientes","Lavalle","Estancia La Pastoril. Banks and erosion gullies by the R. Paraná.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568559",NA,"South America","sheet",NA,"Magnoliophyta","Poales","elatior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
