"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","order","fieldNumber","preparationType","class","individualCount"
"17","2019-11-01 15:33:06-03","PUC-RIO","FCAB","7588","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","Haroldo C. de Lima","2016","11",NA,"Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva","8391","2016","11","02","Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 5,8 km após o entroncamento para a Sede da Rebio, próximo ao rio Nova Estrela.","-43.486111","-22.569444",NA,"796","796","Epífita com ramos pendentes. Flores com cálice verde e corola vermelho-vivo. frequente. Mat. DNA e fotos HCL.; Mata de encosta.","FCAB007588",NA,NA,NA,NA,"-43.486111","-22.569444","Angiospermae",NA,NA,NA,NA
"18","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511645","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Vauthier",NA,"1833","1","1","Brasil","Rio de Janeiro",NA,"Serra dos Orgãos.",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511645' target='other'> <mi>dwc_moreinfo</mi></a>","P03511645",NA,NA,"P03511645_01",NA,NA,NA,NA,"177","hb",NA,NA
"19","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511646","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Weddell, H.A.",NA,"1843","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511646' target='other'> <mi>dwc_moreinfo</mi></a>","P03511646",NA,NA,"P03511646_01",NA,NA,NA,NA,"801","hb",NA,NA
"20","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511642","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Glaziou, A.",NA,"1884","9","19","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511642' target='other'> <mi>dwc_moreinfo</mi></a>","P03511642","auto",NA,"P03511642_01",NA,NA,NA,NA,"15446 a","hb",NA,NA
"21","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511643","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Glaziou, A.",NA,"1875","10","29","Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511643' target='other'> <mi>dwc_moreinfo</mi></a>","P03511643","auto",NA,"P03511643_01",NA,NA,NA,NA,"8216","hb",NA,NA
"22","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511641","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Glaziou, A.",NA,"1868","12","19","Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, au Bico do Papagaio.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511641' target='other'> <mi>dwc_moreinfo</mi></a>","P03511641","auto",NA,"P03511641_01",NA,NA,NA,NA,"3045","hb",NA,NA
"23","2015-09-04 12:13:02-03","MNHN","RECOLNAT_MNHN_P","P03511640","PreservedSpecimen",NA,"Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Glaziou",NA,"1888","12","19","Brasil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, au Pico do Papagaio.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511640' target='other'> <mi>dwc_moreinfo</mi></a>","P03511640","auto",NA,"P03511640_01",NA,NA,NA,NA,"3045","hb",NA,NA
"24","2020-07-10 09:46:12-03","MBML","MBML-HERBARIO","17833",NA,"Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","J. Rossini/Jan.-2003",NA,NA,NA,"R.R. Vervloet; et al","1141","2002","10","03","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Epífita, flores com sépalas verde, pétalas vermelha, caule vináceo, meia encosta, dossel 17m, altitude 830m.","MBML017833",NA,NA,"MBML017833",NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA
"25","2020-07-10 09:46:12-03","MBML","MBML-HERBARIO","32297",NA,"Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","J. Rossini/19-III-2008",NA,NA,NA,"L. Kollmann; A. P. Fontana","10116","2007","11","05","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"800","800","Erva na meia sombra. Flores vermelhas.","MBML032297",NA,NA,"MBML032297",NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA
"26","2020-07-10 09:46:12-03","MBML","MBML-HERBARIO","7982",NA,"Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","A. Chautems/1998",NA,NA,NA,"R. R. dos Santos",NA,"1998","11","10","Brasil","Espírito Santo","Venda Nova do Imigrante","Braço Sul","-41.1347007751465","-20.3397006988525","15909",NA,NA,"Epífita em árvore caída. Flores vermelhas.","MBML007982","auto",NA,"MBML007982",NA,NA,NA,NA,NA,NA,NA,NA
