"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","898834","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","R. de Mello-Silva","R. de Mello-Silva","CFCR8594","1985","11","22","South America","Brazil","Minas Gerais","Diamantina","Diamantina, estrada para Biri-biri.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898834","NY00898834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0041305","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva R de","Glaziou AFM",NA,"1892","04","11","Southern America","Brazil","Minas Gerais",NA,"Diamanti, na, dans le Campo pierreux, Minas",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041305","NL-L0041305","Magnoliopsidae","2007","04","20","type","912180547",NA,NA,NA,NA
"3","2020-12-21 16:46:49-03","MBM","MBM","254483","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva, R.","Mello-Silva, R.; et al.; et al.","1732",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","3,8km na estrada para Biri-Biri","-43.6002998352051","-18.2493991851807",NA,NA,"MBM254483","MBM254483",NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"4","2020-12-21 16:46:49-03","MBM","MBM","152170","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva, R.","Hensold, N.; et al.; et al.","2654",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Estrada Diamantina - Biri-Biri",NA,NA,NA,NA,"MBM152170","MBM152170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:46:49-03","MBM","MBM","105827","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva, R.","Mello-Silva, R.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","Estrada para Biri-Biri","-43.6002998352051","-18.2493991851807",NA,NA,"MBM105827","MBM105827",NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"6","2020-12-21 16:46:49-03","MBM","MBM","152169","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva, R.","Menezes, N.L.; et al.; et al.","1077",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","Estrada para Biri-Biri, 5km de Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"MBM152169","MBM152169",NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA
"7","2020-12-21 16:46:49-03","MBM","MBM","223656","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva, R.","Pirani, J.R.; et al.; et al.","3926",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Monjolos","Estrada Conselheiro Mata - Diamantina","-44.1192016601562","-18.3253002166748",NA,NA,"MBM223656","MBM223656",NA,NA,NA,NA,NA,NA,"32003","auto",NA,NA
"8","2015-09-27 20:26:58-03","MNHN","RECOLNAT_MNHN_P","P00712925","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva","Glaziou, A.",NA,"1892","4","11",NA,"Brésil",NA,NA,"Diamantina, dans le campo pierreux (Minas)",NA,NA,"hb","Reçu le 8 décembre 1892 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00712925' target='other'> <mi>dwc_moreinfo</mi></a>","P00712925","P00712925_01",NA,NA,NA,NA,"isotype",NA,NA,NA,"19942",NA
"9","2015-09-28 03:18:45-03","MNHN","RECOLNAT_MNHN_P","P00712926","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard","Mello-Silva","Glaziou, A.",NA,"1892","4","11",NA,"Brésil",NA,NA,"Diamantina, dans le campo pierreux (Minas)",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00712926' target='other'> <mi>dwc_moreinfo</mi></a>","P00712926","P00712926_01",NA,NA,NA,NA,"isotype",NA,NA,NA,"19942",NA
"10","2020-09-12 05:00:02-03","US","US","3115209","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","barbata","Vellozia barbata","Goethart & Henrard",NA,"N. L. Menezes, J. R. Pirani, A. Furlan, I. Cordeiro & M. T. Rodrigues","743","1980","12","14","South America - Neotropics","Brazil","Minas Gerais","Diamantina","Estrada para Biribiri, 5 Km de Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"US01327426","US01327426_01","Monocotyledonae",NA,NA,NA,NA,NA,"101169","auto",NA,"1"
