"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","dayIdentified"
"1","2020-02-08 08:45:37-03","NBC","NL-BOTANY","U.1065458","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Crinum","stapfianum","Crinum stapfianum","Kraenzl.","Argent GCG; Ramos J; Richards PW; Souza R","1967","10","12","Southern America","Brazil","Central Brazilian Plateau, State of Mato Grosso, Xavantina, Brickworks near Olaria, just S.W. of Xavantina.","-52.233333","-14.633333","-52.233333","-14.633333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065458","NL-U1065458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:02-03","ESALQ","ESA","48943","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum",NA,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","1998","09","08",NA,"Brasil",NA,"-47.6136016845703","-16.7686004638672",NA,NA,NA,"ESA048943","ESA048943_1 ESA048943_2","Magnoliophyta","Dutilh, J.","21340.0","Goiás","Cristalina","85457","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:59:02-03","ESALQ","ESA","38905","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum",NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","1997","10","12",NA,"Brasil","ca. 10km W (em linha reta) de Nova Brasilândia. Contato floresta estacional - savana","-54.9655990600586","-14.9568996429443","-55,016,667","-14,933,333","Erva com bulbo subterrâneo; flores verdes.","ESA038905","ESA038905","Magnoliophyta","Dutilh, J.","20820.0","Mato Grosso","Nova Brasilândia","68729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 09:59:00-03","UNICAMP","UEC","116752","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Fonseca, ML; Alvarenga, D","1999","09","01",NA,"Brazil","Reserva Ecológica do IBGE, Próximo ao Córrego Taquara","-48.405833","-15.931944","-48.405833","-15.931944","flor, Local queimado há 32 dias. Solo argiloso. Área de campo. Erva heliófita, ca. 60cm alt; bulbo branco suculento; cálice avermelhado; gineceu e androceu de cor creme; corola de cor amarelo claro. Rara no local.","UEC090402","UEC090402","Liliopsida","Dutilh, JHA","2050","Distrito Federal","Brasília",NA,NA,"2012","07","1015","1015",NA,NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","169222","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Pastore, JFB; Suganuma, E","2004","11","05",NA,"Brazil","Fazenda Água Fria (entrada).","-47.509167","-14.0725","-47.509167","-14.0725","Flor branca. &nf;Frequente no local.&nf;Planta bulbosa.&nf;; Campo limpo. Relevo inclinado.","UEC007027","UEC007027","Liliopsida","Amaral, AC","1069","Goiás","Alto Paraíso de Goiás",NA,NA,"2005","11",NA,NA,NA,NA,NA,NA
"6","2019-08-20 09:59:00-03","UNICAMP","UEC","63929","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Pereira, BAS","1992","09","06",NA,"Brazil","APA Gama / Cabeça de Veado, Área entre a RECOR e a estrada DF 001","-47.9296989440918","-15.7797002792358",NA,NA,"flor, Erva bulbosa, flores crescendo cerca de 40 dias após a queima da área. Flores amarelas. Cerrado em latossolo vermelho.","UEC090404","UEC090404","Liliopsida","Dutilh, JHA","2225","Distrito Federal","Brasília","70570","auto","2012","07",NA,NA,NA,NA,NA,NA
"7","2019-08-20 09:59:00-03","UNICAMP","UEC","53356","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Azevedo, MLM; Alvarenga, D","1990","09","18",NA,"Brazil","Área do Cristo Redentor","-47.9296989440918","-15.7797002792358",NA,NA,"flor, Cerrado queimado recentemente. Erva ca. 40cm altura, com botão floral creme-esverdeado, flores creme, anteras amarelas, aroma agradável. Ocasional.","UEC090401","UEC090401","Liliopsida","Dutilh, JHA","943","Distrito Federal","Brasília","70570","auto","2012","07",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:18:54-03","UNICAMP","UEC","69936","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Filgueiras, TS; Alvarenga, D","1994","11","25",NA,"Brazil","Chapada dos Veadeiros, Ca. 56 km S de Alto Paraíso.","-47.5099983215332","-14.1324996948242",NA,NA,"Erva bulbosa a 80 cm de altura; flores brancas.; Cerrado.","UEC000387","UEC000387","Liliopsida","Oliveira, RS","3198","Goiás","Alto Paraíso de Goiás","44724","auto","2012","07",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:18:54-03","UNICAMP","UEC","5177","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Bean, MF","1984","10","10",NA,"Brazil","9 km sul da estrada Paríso do Norte ->Caseara no Rio Maroto.","-48.3917007446289","-9.56721973419189",NA,NA,"Flores verde-brancas; bulbo branco.; Campos disturbados de barro, nunca inundado.","UEC000388","UEC000388","Liliopsida","Oliveira, RS","438","Tocantins","Miracema do Tocantins","69402","auto","2012","07",NA,NA,NA,NA,NA,NA
"10","2021-02-12 18:11:50-03","UFES","VIES","29164","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Feresin, G.; Bastiole, J. & Borges, W.A.","2018","09","24",NA,"Brasil","Margem da GO-118, cerca de 40km a frente de São João D#?#Aliança sentido Alto Paraíso de Goiás.",NA,NA,NA,NA,NA,"VIES029164","VIES029164",NA,NA,"s.n.","Goiás","São João d#?#Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
