"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2017-02-14 16:18:00-02","NY","NYBG","439744","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","F. G. Meyer","L. B. Smith","10383","1957","01","24","South America","Brazil","Santa Catarina","Bom Retiro","Between Fazenda Santo Antonio and Fazenda Campo dos Padres, Bom Retiro","-49.4892","-27.7972","1400","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439744","NY00439744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-02-14 16:18:00-02","NY","NYBG","439745","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","F. G. Meyer","L. B. Smith","10383","1957","01","24","South America","Brazil","Santa Catarina","Bom Retiro","Between Fazenda Santo Antonio and Fazenda Campo dos Padres","-49.4892","-27.7972","1400","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439745","NY00439745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-26 18:09:56-03","CPAN-UFMS","COR","12578","PreservedSpecimen","Plantae",NA,NA,"Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","G. Hatschbach","G. Hatschbach; A.C. Cervi & E. Barbosa","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rodovia SC-420, próximo do alto da serra. Campo edáfico, margens da estrada.; Turfoso e úmido;.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Raptante, radicante, flor alva.",NA,NA,"F.G.Mey.","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:04:29-03","ESALQ","ESA","78645","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G.","Hatschbach, G. et al.","72468.0","2001","11","08",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"ESA078645","ESA078645","F.G.Meyer","30102","auto","2001","01","01",NA,NA,NA,NA,NA
"5","2019-08-27 13:34:13-03","IAP","PACA-AGP","60238","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","M. Sobral","Rambo, B.",NA,"1957","01","24",NA,"Brasil","SC",NA,"Campo dos Padres.",NA,NA,NA,NA,NA,"Habitat: in campestribus humidis","PACA060238",NA,"Meyer",NA,NA,"1997","03","21","Magnoliopsida",NA,NA,NA,NA
"6","2019-08-27 13:34:13-03","IAP","PACA-AGP","86114","PreservedSpecimen","Plantae","Magnoliophyta","Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Hatschbach, G.","72468","2001","11","08",NA,"Brasil","SC","Ubirici","Rod. Sc-420, próximo ao alto da serra.",NA,NA,NA,NA,NA,"reptante, radicante Habitat: campo, solo turfoso e úmido Fenofase: flor alva","PACA086114",NA,"Meyer",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"7","2019-11-21 14:46:59-03","UFJF","CESJ","37835","PreservedSpecimen","Plantae","Angiosperma",NA,"Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","G. Hatschbach","G. Hatschbach; A.C. Cervi; E. Barbosa","72468","2001","11",NA,"América do Sul","Brasil","Santa Catarina","Urubici","Rod. SC-240, próximo ao alto da serra.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Reptante, radicante, flor alva. Campo, solo turfoso e úmido.","CESJ037835",NA,"F.G.Meyer","30102","auto","2001",NA,NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:49:06-03","UFMS","CGMS","11840","PreservedSpecimen","Plantae",NA,NA,"Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","G. Hatschbach","G. Hatschbach; A.C. Cervi; E. Barbosa","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rod. SC-420, próximo ao alto da serra.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Flor alva. Habitat: Campo, solo turfoso e úmido. Habito: Reptante. Radicante.","CGMS1041170",NA,"F.G.Mey.","30102","auto","2001",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:51:46-03","UCS","HUCS","19664","PreservedSpecimen","Plantae","Angiospermae","Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Smith, S.F.","Boldo, E.","05","2002","10","07",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Fazenda Ilgo Burigo","-50.0657997131348","-28.7483005523682",NA,NA,NA,"no campo",NA,NA,"F.G. Mey.","42598","auto","2002","12",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:20:08-03","MBM","MBM","173629","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Sobral, M.","Sobral, M.","7733",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","São José dos Ausentes","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"MBM173629","MBM173629","Meyer","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
