"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","individualCount","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02796066","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Moldenhawera","intermedia","Moldenhawera intermedia","G.P.Lewis & L.P.Queiroz","H. C. de Lima","J. G. Jardim","2259","1999","10","26","South America","Brazil","Bahia","Itaju do Colônia","Faz. Nova Esperança ca 13 km de Ibicaraí, rodovia que leva as fazendas. Plantação de cacau-cabruca aproximadamente 600 m da sede da fazenda","-39.7244","-15.1425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474535' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796066","NY02796066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-09-09 09:02:00-03","MO","MOBOT","3223974","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Moldenhawera","intermedia","Moldenhawera intermedia","G.P. Lewis & L.P. Queiroz","G.P Lewis & L.P. Queiroz","Jomar G. Jardim|E.C. Batista|R.D. de Santana","Jardim 2259","1999","10","26","South America","Brazil","Bahia",NA,"Município de Itajú. Faz. Nova Esperança ca. 13 km de Ibicaraí, rodovia que leva as fazendas. Plantaçào de cacau-cabruca aprox. 600 m da sede da Fazenda.",NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-05-08 11:09:41-03","UEFS","HUEFS","73133","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Moldenhawera","intermedia","Moldenhawera intermedia","G.P.Lewis & L.P.Queiroz","L.P.de Queiroz","Jardim, J.G.","2259","1999","10","26",NA,"Brasil","Bahia","Itaju do Colônia","Faz. Nova Esperança ca 13 km de Ibicaraí, rodovia que leva as fazendas. Plantação de cacau-cabruca aproximadamente 600 m da sede da fazenda","-39.7243995666504","-15.1424999237061",NA,NA,"HUEFS0073133","HUEFS0073133 HUEFS0073133_01 HUEFS0073133_02 HUEFS0073133_03 HUEFS0073133_04","Isótipo",NA,"Rosanae","2010","09","26963","auto",NA,NA,NA,NA
"4","2020-05-08 11:09:41-03","UEFS","HUEFS","142097","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Moldenhawera","intermedia","Moldenhawera intermedia","G.P.Lewis & L.P.Queiroz","L.P.de Queiroz","Queiroz, L.P.de","13881","2008","10","02",NA,"Brasil","Bahia","Itaju do Colônia","Fazenda Nova Esperança, ca. 13Km de Ibicaraí.","-39.626944","-14.949722",NA,"Floresta ombrófila semi-decidual.","HUEFS0142097","HUEFS0142097","Parátipo",NA,"Rosanae","2010","09",NA,NA,"39W37'37''","14S56'59''","202","202"
"5","2020-05-08 11:09:41-03","UEFS","HUEFS","205834","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Moldenhawera","intermedia","Moldenhawera intermedia","G.P.Lewis & L.P.Queiroz",NA,"Vivas, C.V.","227","2012","08","20",NA,"Brasil","Bahia","Itapé",NA,"-39.5825","-14.924167",NA,NA,"HUEFS0205834","HUEFS0205834",NA,NA,"Rosanae",NA,NA,NA,NA,"39W34'57''","14S55'27''","168","168"
"6","2020-08-19 16:07:57-03","CEPLAC","CEPEC","145041","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Moldenhawera","intermedia","Moldenhawera intermedia",NA,"L. P. de Queiroz","L. P. de Queiroz","13881","2008","10","02",NA,"Brasil","Bahia","ITAJÚ DO COLÔNIA","Fazenda Nova Esperança, c.a 13Km de Ibicaraí.","-39.626944","-14.949722",NA,"casca descamente em placa, avermelhada. <ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W37'37","14S56'59",NA,NA
